materialid,radius,elneg,vdw,polar
mp-540421,2.0,0.084396,0.046566,0.129269
mp-540421,2.25,0.216346,0.063781,0.22473
mp-540421,2.5,0.371208,0.094173,0.283882
mp-540421,2.75,0.375211,0.265234,0.317183
mp-540421,3.0,0.380071,0.590513,0.378371
mp-540421,3.25,0.387826,0.790687,0.408816
mp-540421,3.5,0.357933,0.53585,0.383845
mp-540421,3.75,0.302399,0.273079,0.338428
mp-540421,4.0,0.253616,0.187673,0.293413
mp-540421,4.25,0.253685,0.132155,0.280672
mp-540421,4.5,0.235178,0.091204,0.241793
mp-540421,4.75,0.216947,0.134216,0.198138
mp-540421,5.0,0.164925,0.296403,0.163062
mp-540421,5.25,0.091409,0.292967,0.107562
mp-540421,5.5,0.069439,0.119308,0.066763
mp-540421,5.75,0.072429,0.028169,0.058134
mp-540421,6.0,0.066545,0.02123,0.054855
mp-540421,6.25,0.059967,0.023912,0.044609
mp-540421,6.5,0.033672,0.011181,0.022289
mp-540421,6.75,0.006432,0.001629,0.003969
mp-540421,7.0,0.000361,6.9e-05,0.000212
mp-540421,7.25,6e-06,1e-06,3e-06
mp-540421,7.5,0.0,0.0,0.0
mp-540421,7.75,0.0,0.0,0.0
mp-540421,8.0,0.0,0.0,0.0
mp-540421,8.25,0.0,0.0,0.0
mp-540421,8.5,0.0,0.0,0.0
mp-540421,8.75,0.0,0.0,0.0
mp-540421,9.0,0.0,0.0,0.0
mp-540421,9.25,0.0,0.0,0.0
mp-540421,9.5,0.0,0.0,0.0
mp-540421,9.75,0.0,0.0,0.0
mp-540421,10.0,0.0,0.0,0.0
mp-540421,10.25,0.0,0.0,0.0
mp-540421,10.5,0.0,0.0,0.0
mp-540421,10.75,0.0,0.0,0.0
mp-540421,11.0,0.0,0.0,0.0
mp-540421,11.25,0.0,0.0,0.0
mp-540421,11.5,0.0,0.0,0.0
mp-540421,11.75,0.0,0.0,0.0
mp-540421,12.0,0.0,0.0,0.0
mp-540421,12.25,0.0,0.0,0.0
mp-540421,12.5,0.0,0.0,0.0
mp-540421,12.75,0.0,0.0,0.0
mp-540421,13.0,0.0,0.0,0.0
mp-540421,13.25,0.0,0.0,0.0
mp-540421,13.5,0.0,0.0,0.0
mp-540421,13.75,0.0,0.0,0.0
mp-540421,14.0,0.0,0.0,0.0
mp-540421,14.25,0.0,0.0,0.0
mp-540421,14.5,0.0,0.0,0.0
mp-540421,14.75,0.0,0.0,0.0
mp-540421,15.0,0.0,0.0,0.0
