materialid,radius,elneg,vdw,polar
mvc-13696,2.0,0.025256,0.002327,0.0177
mvc-13696,2.25,0.219895,0.041345,0.158322
mvc-13696,2.5,0.664118,0.302084,0.513648
mvc-13696,2.75,0.780303,0.755448,0.68607
mvc-13696,3.0,0.428539,0.753258,0.472879
mvc-13696,3.25,0.272,0.728836,0.45344
mvc-13696,3.5,0.318195,0.565501,0.504251
mvc-13696,3.75,0.255347,0.181143,0.292621
mvc-13696,4.0,0.122068,0.025404,0.100656
mvc-13696,4.25,0.050513,0.003563,0.035747
mvc-13696,4.5,0.154219,0.009387,0.107125
mvc-13696,4.75,0.289558,0.034293,0.204539
mvc-13696,5.0,0.185083,0.13533,0.155264
mvc-13696,5.25,0.065303,0.257203,0.107814
mvc-13696,5.5,0.038757,0.160773,0.079561
mvc-13696,5.75,0.015627,0.034787,0.028262
mvc-13696,6.0,0.002638,0.002939,0.003935
mvc-13696,6.25,0.008193,0.000546,0.005765
mvc-13696,6.5,0.036788,0.002057,0.025516
mvc-13696,6.75,0.047826,0.002673,0.033171
mvc-13696,7.0,0.017814,0.000996,0.012356
mvc-13696,7.25,0.001901,0.000106,0.001319
mvc-13696,7.5,5.8e-05,3e-06,4e-05
mvc-13696,7.75,1e-06,0.0,0.0
mvc-13696,8.0,0.0,0.0,0.0
mvc-13696,8.25,0.0,0.0,0.0
mvc-13696,8.5,0.0,0.0,0.0
mvc-13696,8.75,0.0,0.0,0.0
mvc-13696,9.0,0.0,0.0,0.0
mvc-13696,9.25,0.0,0.0,0.0
mvc-13696,9.5,0.0,0.0,0.0
mvc-13696,9.75,0.0,0.0,0.0
mvc-13696,10.0,0.0,0.0,0.0
mvc-13696,10.25,0.0,0.0,0.0
mvc-13696,10.5,0.0,0.0,0.0
mvc-13696,10.75,0.0,0.0,0.0
mvc-13696,11.0,0.0,0.0,0.0
mvc-13696,11.25,0.0,0.0,0.0
mvc-13696,11.5,0.0,0.0,0.0
mvc-13696,11.75,0.0,0.0,0.0
mvc-13696,12.0,0.0,0.0,0.0
mvc-13696,12.25,0.0,0.0,0.0
mvc-13696,12.5,0.0,0.0,0.0
mvc-13696,12.75,0.0,0.0,0.0
mvc-13696,13.0,0.0,0.0,0.0
mvc-13696,13.25,0.0,0.0,0.0
mvc-13696,13.5,0.0,0.0,0.0
mvc-13696,13.75,0.0,0.0,0.0
mvc-13696,14.0,0.0,0.0,0.0
mvc-13696,14.25,0.0,0.0,0.0
mvc-13696,14.5,0.0,0.0,0.0
mvc-13696,14.75,0.0,0.0,0.0
mvc-13696,15.0,0.0,0.0,0.0
