#      R   Electrpneg.  polarizabili       vdWaals
    2.00      0.006977      0.005137      0.006822
    2.28      0.007565      0.007311      0.008034
    2.57      0.007551      0.008083      0.007239
    2.85      0.012335      0.013749      0.012521
    3.13      0.013913      0.015134      0.014315
    3.41      0.018264      0.020478      0.018872
    3.70      0.018110      0.024635      0.019956
    3.98      0.022065      0.015683      0.019643
    4.26      0.024746      0.033083      0.026505
    4.55      0.020782      0.027026      0.020510
    4.83      0.026893      0.018619      0.024402
    5.11      0.025347      0.027462      0.026245
    5.39      0.029679      0.029812      0.029361
    5.68      0.034344      0.048643      0.036174
    5.96      0.038283      0.041131      0.038615
    6.24      0.040961      0.042449      0.042590
    6.53      0.034414      0.039762      0.035292
    6.81      0.039846      0.046948      0.040436
    7.09      0.045368      0.045282      0.043979
    7.37      0.048300      0.044407      0.047613
    7.66      0.054236      0.049129      0.052444
    7.94      0.049859      0.063188      0.053202
    8.22      0.053696      0.044259      0.051091
    8.51      0.056441      0.045159      0.051768
    8.79      0.075126      0.075764      0.074504
    9.07      0.071884      0.072977      0.071737
    9.35      0.075158      0.083978      0.075676
    9.64      0.067623      0.066301      0.066050
    9.92      0.065770      0.070175      0.065027
   10.20      0.079791      0.078338      0.081506
   10.48      0.095529      0.090156      0.092493
   10.77      0.077989      0.094429      0.079991
   11.05      0.104861      0.096600      0.101746
   11.33      0.102716      0.092201      0.100798
   11.62      0.105080      0.105149      0.103818
   11.90      0.109409      0.123885      0.114056
   12.18      0.116140      0.137845      0.118129
   12.46      0.125338      0.115868      0.125592
   12.75      0.113456      0.109951      0.113309
   13.03      0.143601      0.159923      0.145728
   13.31      0.121976      0.113784      0.118326
   13.60      0.107451      0.096966      0.103683
   13.88      0.115472      0.107151      0.115700
   14.16      0.094409      0.094381      0.093756
   14.44      0.089137      0.083306      0.087780
   14.73      0.074469      0.065884      0.073110
   15.01      0.076090      0.074475      0.077764
   15.29      0.085943      0.083042      0.085635
   15.58      0.066733      0.062514      0.066716
   15.86      0.056256      0.059010      0.058616
   16.14      0.050310      0.052719      0.052830
   16.42      0.054131      0.048451      0.054771
   16.71      0.043540      0.042647      0.044519
   16.99      0.041307      0.038910      0.041845
   17.27      0.030059      0.026540      0.029918
   17.56      0.028007      0.023437      0.027758
   17.84      0.023549      0.017181      0.022630
   18.12      0.017573      0.019379      0.018916
   18.40      0.020923      0.019342      0.021216
   18.69      0.015343      0.013772      0.015912
   18.97      0.011616      0.012270      0.012083
   19.25      0.012981      0.013278      0.013877
   19.54      0.010199      0.009974      0.010678
   19.82      0.008571      0.009415      0.009774
   20.10      0.006926      0.005109      0.006846
   20.38      0.006771      0.003619      0.005949
   20.67      0.001706      0.003120      0.002194
   20.95      0.001780      0.001614      0.001771
   21.23      0.001167      0.002653      0.001659
   21.52      0.000916      0.000891      0.000883
   21.80      0.000451      0.000588      0.000409
   22.08      0.000507      0.000179      0.000401
   22.36      0.000000      0.000000      0.000000
   22.65      0.000000      0.000000      0.000000
   22.93      0.000000      0.000000      0.000000
   23.21      0.000000      0.000000      0.000000
   23.49      0.000000      0.000000      0.000000
   23.78      0.000000      0.000000      0.000000
   24.06      0.000000      0.000000      0.000000
   24.34      0.000000      0.000000      0.000000
   24.63      0.000000      0.000000      0.000000
   24.91      0.000000      0.000000      0.000000
   25.19      0.000000      0.000000      0.000000
   25.47      0.000000      0.000000      0.000000
   25.76      0.000000      0.000000      0.000000
   26.04      0.000000      0.000000      0.000000
   26.32      0.000000      0.000000      0.000000
   26.61      0.000000      0.000000      0.000000
   26.89      0.000000      0.000000      0.000000
   27.17      0.000000      0.000000      0.000000
   27.45      0.000000      0.000000      0.000000
   27.74      0.000000      0.000000      0.000000
   28.02      0.000000      0.000000      0.000000
   28.30      0.000000      0.000000      0.000000
   28.59      0.000000      0.000000      0.000000
   28.87      0.000000      0.000000      0.000000
   29.15      0.000000      0.000000      0.000000
   29.43      0.000000      0.000000      0.000000
   29.72      0.000000      0.000000      0.000000
   30.00      0.000000      0.000000      0.000000
