Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-1048143_Al,mp-1048143,mp-1048194,Ba2W3O8,intercalation,-0.5251041766666681,81.9491245386797,659.5631219087585,-43.03182756943765,-346.3393500895959,0.27508105692307794,0.6481904444196438
mp-1172828_Al,mvc-15605,mp-19443,WO3,intercalation,-0.4552674733333335,310.6580838991272,2033.2976311159591,-141.43252092733036,-925.6942750528151,0.0,1.161629063375
mp-1042189_Al,mp-1042580,mp-1042189,Ba2Sb3O8,intercalation,-0.4007998699999999,101.14902235483396,619.2758400131114,-40.54051501044454,-248.2056761713958,0.1442460715144227,0.5385084413839341
mp-1046350_Al,mp-1046389,mp-1046350,Ba2TlW2O7,intercalation,-0.41092905666666457,81.57135173520763,591.916385199436,-33.52003861957356,-243.23564179554631,0.4025704381944406,0.768225567708333
mp-1042691_Al,mp-1045633,mp-1042691,Cu3(SbO3)4,intercalation,-0.47705388999999787,89.6718166087533,547.6686312226929,-42.77828893657218,-261.2674509557599,0.02405554394737397,0.39564185775000027
mp-1045008_Al,mp-1045008,mp-1048501,Ba2W3O7,intercalation,-0.31607044666666645,83.30760250032871,686.5474707512086,-26.331071133007995,-216.99736573820462,0.412853814444448,0.7558274665544911
mp-1048096_Al,mp-1048096,mp-1048188,Ba2Sn3O7,intercalation,-0.29005609333333354,104.45373135390794,635.5024157764898,-30.29744125060407,-184.33134802402446,0.24892496708334377,0.6020070784134566
mp-1043077_Al,mp-1045892,mp-1043077,Cu3(WO3)4,intercalation,-0.28094591999999796,70.22391839357661,576.7872004681456,-19.72912335908816,-162.04601067974642,0.16503336736842122,0.43677292524038336
mp-1041926_Al,mp-1041926,mvc-14876,Ba2Ti3O8,intercalation,-0.24007656999999907,140.2651644256827,739.530829702349,-33.6743795658038,-177.5440250041934,0.20818071846152186,0.33540901406249723
mvc-4354_Al,mvc-4363,mvc-4354,SiWO4,intercalation,-0.10468622583333433,182.37834097479475,1307.9136899056598,-19.092500190396215,-136.9205479119735,0.27322164527777737,0.6838310258124984
mp-1022721_Al,mp-1183161,mp-1022721,Cu,intercalation,-0.025606713333333527,1112.936554717749,4418.981068369184,-28.49864731484526,-113.15558144315762,0.07588176099999977,0.10195939250000041
mp-1022725_Al,mp-1183200,mp-623511,Sn,intercalation,-0.07091524555555556,1208.153045897409,5121.226550027491,-85.67646991850714,-363.17303834083015,0.05914658500000014,0.1743459487500001
mp-1043118_Al,mp-1045851,mp-1043118,Cu3(MoO3)4,intercalation,-0.07116200999999922,101.34515681581765,592.4711288562131,-7.211925062778705,-42.161436396376665,0.019326366372180992,0.33659750000000077
mp-1221647_Al,mp-1221714,mp-1221647,MnCr,intercalation,0.03161188722222219,2557.6268968555155,7619.191000041227,80.85141301991867,240.8570066178736,0.06583245000000026,0.0
mp-867780_Al,mp-867780,mp-90,Cr,intercalation,0.06129441666666654,1814.4428571389328,6922.6519579506585,111.21521650333065,424.31991354894257,0.0,8.881784197001252e-16
mp-30_Al,mp-985806,mp-30,Cu,intercalation,0.08814941000000005,1368.4805631125996,5563.0261248524685,120.6307542348435,490.3774707203317,0.0,0.0
mp-1055908_Al,mp-1104165,mp-1055908,Mn,intercalation,0.03634561499999981,2547.6928201805476,7592.916627703508,92.59746238054593,275.96922447760863,0.14708257000000025,0.0026083515384609512
