Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-1009655_Ca,mp-1009655,mp-568806,C,intercalation,-1.1108578349999998,836.2474954913667,3186.5254655938065,-928.9520823657117,-3539.7767798819023,0.006174732499999891,0.7446883783333336
mp-1183485_Ca,mp-1183485,mp-8634,Mn,intercalation,-0.2397952529166666,918.0054279636795,2089.0416947163467,-220.13334377742328,-500.94228153796814,0.07506572000000133,0.37845930937500016
mvc-12176_Ca,mvc-12415,mvc-12176,TiO2,intercalation,0.44796567374999374,134.13510339968477,522.0402812215439,60.08792196796486,233.8561263020451,0.09618709096153744,0.18873037660714154
mp-1013735_Ca,mp-1013735,mp-568610,Bi,intercalation,0.4375030004166666,298.79309153023763,1306.8124261264397,130.72287404825067,571.7343574121008,0.15254154500000006,0.36573137988235294
mp-1009730_Ca,mp-1009730,mp-623511,Sn,intercalation,0.47895444374999996,539.0862461406105,1640.6292649956586,258.1977531535516,785.7866770159669,0.05914658500000014,0.03183334583333286
mp-1013546_Ca,mp-1013546,mp-7761,Sb,intercalation,0.5766732404166668,442.0814290358262,1382.8517528007894,254.93653021012062,797.4536013034987,0.23427839500000003,0.41791890907142903
mp-1045231_Ca,mp-1045231,mvc-2118,WO2,intercalation,0.640154788750006,59.33251369608657,518.6285395663496,37.981992771125135,332.0025431858206,0.11117587750000091,0.3273133401923065
mp-1044964_Ca,mp-1044964,mp-1048593,TiS2,intercalation,0.8833613887499994,94.33454303511535,303.70853891709135,83.33149294259607,268.28439671303505,0.05548676785714424,0.14381739099999713
mp-1047047_Ca,mp-1047077,mp-1047047,Ti3(P2O7)2,intercalation,0.9053074712500078,100.83977945937416,336.45629879157127,91.29100574377449,304.5964010451344,0.14873565882312967,0.2697150255331131
mp-1157680_Ca,mp-1157680,mp-25301,Ti(SiO3)2,intercalation,0.9163799587500022,223.24112670773903,754.9550558172056,204.57369448374192,691.8256829078765,0.03950412583333396,0.13588234103571395
mp-1041518_Ca,mp-1042163,mp-540010,WO2,intercalation,0.9701898987499995,209.45464585560353,1533.4124306437502,203.210781655365,1487.7012508282507,0.2639074299999997,0.2801818617857137
mvc-15204_Ca,mp-556848,mvc-15204,Ta2Bi2O9,intercalation,0.9665218287499998,55.60881954489199,470.40067282603275,53.74713796115774,454.6525185450475,0.30485852874999964,0.6794695707142893
