Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-1066388_K,mp-1185114,mp-8642,Re,intercalation,-1.9824863853333334,264.922374682824,782.8797087751476,-525.2050009788748,-1552.0483640004552,0.058801822499999545,1.501565244625
mp-1185087_K,mp-973446,mp-8641,W,intercalation,-1.841192332,267.0047346513106,727.099994486549,-491.60707004768784,-1338.7309344458763,0.48005124999999893,1.5009070615
mp-1184863_K,mp-973974,mp-8637,Mo,intercalation,-1.418240365333333,377.06981394109954,683.3021674125347,-534.775630679997,-969.0867155442115,0.4278689600000014,1.1706475140000001
mp-1184897_K,mp-1184897,mp-8636,Nb,intercalation,-1.4046489986666664,382.51167675453246,689.5709426660549,-537.2946437315616,-968.6051341255031,0.3422668800000004,1.1390534689999998
mp-8632_K,mp-973444,mp-8632,V,intercalation,-1.094288468666667,477.92537208802,681.8801712270646,-522.9882235591465,-746.1736083862291,0.25225307999999913,0.8837796215
mp-1184916_K,mp-1184916,mp-8634,Mn,intercalation,-0.8496432653333333,466.83544817020316,677.0916138647877,-396.64359455668153,-575.2863297338947,0.07506572000000133,0.6559988790000002
mp-1184873_K,mp-1184873,mp-8633,Cr,intercalation,-0.7589546786666663,474.94813113957014,667.5591437327877,-360.46410625236615,-506.6471354227128,0.392787160000001,0.6674127990000001
mp-1021516_K,mp-973614,mp-623511,Sn,intercalation,0.07218674800000024,340.68972325891946,762.1993117678078,24.59328319908144,55.02068964435636,0.05914658500000014,0.10713355693749982
mp-1057017_K,mp-1211945,mp-1057017,C,intercalation,0.5101292580000001,297.1098941687608,478.10340153038425,151.56444985676848,243.894533469971,2.3325486971249996,1.3849893787499998
mp-10159_K,mp-10159,mp-10631,Sb,intercalation,0.6058390746666664,336.34300768881525,850.4915063790573,203.7697365487953,515.2609872365473,0.31171507499999995,0.028535317499999824
mp-14017_K,mp-14017,mp-80,Sb,intercalation,0.6333962929999999,336.34300768881525,754.928102896325,213.03841424656605,478.1686618560547,0.28024546000000017,0.0
mp-1223374_K,mp-565706,mp-779840,Na2NiO2,intercalation,0.6142961704999976,152.4803747886807,430.56798981871793,93.66811030909095,264.4962672855204,0.028680289333332,0.07841419430555341
mp-13909_K,mp-13909,mp-949028,Sn,intercalation,0.9846194780000013,37.137584034727894,175.7141895549014,36.56638860645496,173.0116135967403,0.027153814782609142,0.0
mp-1224511_K,mp-541402,mp-1224511,Mo2O3,intercalation,1.0679632679999997,25.827540307767915,132.9817211890409,27.58286435148554,142.01959354531294,0.27222641654761937,0.26911285487934933
mp-1002227_K,mp-976148,mp-1002227,RbSb,intercalation,1.0730205330000002,187.80091229936653,549.5141853948974,201.51423501335256,589.6400041034938,0.7425397562500002,0.011189544166666732
