Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-8642_Rb,mp-974856,mp-8642,Re,intercalation,-2.091132156321839,181.6596358078097,656.1356461183769,-379.8743059434251,-1372.0663485071448,0.058801822499999545,1.5830495728663792
mp-1186876_Rb,mp-1186876,mp-8641,W,intercalation,-1.9443617029885059,182.63634177990852,604.6015172807344,-355.1111085307737,-1175.5640357694033,0.48005124999999893,1.5782840897413792
mp-8637_Rb,mp-974882,mp-8637,Mo,intercalation,-1.5092480996551723,228.19909233080278,564.8863559979454,-344.4090464432993,-852.5536593110343,0.4278689600000014,1.2389033147413797
mp-102_Rb,mp-975050,mp-102,Co,intercalation,-1.2133724029885056,254.9797433715201,664.1584631886859,-309.3853839280938,-805.8715504444087,0.019153610000000043,0.9148177047413795
mp-8632_Rb,mp-974743,mp-8632,V,intercalation,-1.1883766429885059,261.6098203313247,580.6811738860334,-310.89100005816584,-690.0679440693093,0.25225307999999913,0.954345752241379
mp-8634_Rb,mp-974970,mp-8634,Mn,intercalation,-0.9237332696551723,258.251657015175,544.0712586817723,-238.55564752849372,-502.57672270751857,0.07506572000000133,0.7115663822413794
mp-1066029_Rb,mp-1066029,mp-567597,Bi,intercalation,-0.028704659655172104,91.02273797649181,525.412223077393,-2.612776714497106,-15.08177904210393,0.06081613500000005,0.3646023937499998
mp-1022725_Rb,mp-974789,mp-623511,Sn,intercalation,-0.037037716321839054,214.3470323074275,660.2939739655061,-7.93892457703057,-24.455780896754195,0.05914658500000014,0.1733798976400862
mp-1002227_Rb,mp-33018,mp-10631,Sb,intercalation,0.4881555303448275,212.61825990761923,739.7069876249052,103.79077942619824,361.0920568438103,0.31171507499999995,0.0341870274999998
mp-16319_Rb,mp-16319,mp-80,Sb,intercalation,0.5232483620114943,212.61825990761923,655.016728613634,111.25215623039593,342.73643033721146,0.28024546000000017,0.0
mp-1238779_Rb,mp-1238779,mvc-14769,CrS2,intercalation,0.5729970853448263,84.35566333957465,273.249702924283,48.33554922590569,156.5712833469538,0.01916975750000116,0.30236557964285815
mp-504848_Rb,mp-504848,mp-770883,K4Co2O5,intercalation,0.9770907678448237,102.06351833316356,323.9497619734228,99.72532149709502,316.5283216697596,9.769962616701378e-15,-8.881784197001252e-15
mp-16318_Rb,mp-16318,mp-558110,TiS2,intercalation,1.225168770344825,135.72789356001505,494.94101498926506,166.28957645441693,606.3862747276175,0.002017226666666261,0.0
mp-1237229_Rb,mp-975216,mp-547271,ReO3,intercalation,1.3419461553448313,83.84030354846877,703.7683722457919,112.50917300981128,944.4192613885305,0.0,0.13828653660775636
mp-1172828_Rb,mp-975138,mp-19443,WO3,intercalation,1.445985020344831,84.46572506113864,665.8546776907432,122.13617317097146,962.8158896673502,0.0,0.06112520793548448
mp-1209204_Rb,mp-1209204,mp-28344,Zr6CI14,intercalation,1.5954905303448212,11.068200080030909,56.53125639404505,17.659208415651108,90.19508424519401,0.0,0.000452524047618752
mp-1078799_Rb,mp-1110630,mp-1078799,LiNbF6,intercalation,1.50065228534483,139.31046902916805,571.0205942449007,209.0565737210812,856.9033597325732,0.0,0.08114872975000065
mp-1219831_Rb,mp-975531,mp-1219831,Cr5Te8,intercalation,1.7877723753448174,13.077896775790881,76.36826370211942,23.380302583369993,136.52907219969742,0.005644561249991575,8.881784197001252e-16
mp-1220065_Rb,mp-28818,mp-1220065,Cr5Se8,intercalation,1.8403132403448437,6.8572063044969775,35.664634635959324,12.619407553941924,65.63409933261725,-8.881784197001252e-16,1.7763568394002505e-15
mp-554465_Rb,mp-554465,mp-558852,FeF3,intercalation,1.8931728270114965,135.15077585776777,591.9102230434601,255.8637764034473,1120.5883502961926,0.004433570416667365,0.25068958900000027
mp-1110717_Rb,mp-1110717,mp-27826,K2MoCl6,intercalation,2.1362418003448296,56.744040418683625,131.59468555080235,121.21899106284849,281.11806797685773,-1.7763568394002505e-15,0.0865775213906228
