Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-1041213_Mg,mp-1044085,mp-1041213,P4W3O14,intercalation,-0.4581573925000044,58.02997377867786,331.96229026632085,-26.586861473282678,-152.09097731674717,0.21263227785714278,0.41913232625000596
mp-1042571_Mg,mp-1042571,mvc-157,WO2,intercalation,-0.1337115766666662,167.4089526124534,1288.4846853877823,-22.38451500192635,-172.28531879405372,0.31379562451922993,0.4325840341071441
mp-1180365_Mg,mp-1180365,mp-89,Cr,intercalation,-0.15666079833333335,1287.3866945171242,3011.6396936100377,-201.6830273267638,-471.80587869330395,0.40590060500000114,0.3481047646895967
mp-102_Mg,mp-978276,mp-102,Co,intercalation,-0.10899898499999994,1219.6517983238068,3874.4061192674435,-132.94080807071956,-422.30633447794,0.019153610000000043,0.1785027859374999
mp-1009813_Mg,mp-1222079,mp-1009813,SiSn,intercalation,-0.1071170437500002,878.6812757796012,2660.4421030701205,-94.12174065998953,-284.97869314890465,0.14972327249999928,0.3615278233333332
mp-8634_Mg,mp-978285,mp-8634,Mn,intercalation,-0.10731369666666658,1257.7634591143133,3390.722997535805,-134.97524632981072,-363.87101923824787,0.07506572000000133,0.18564596451342208
mp-1077177_Mg,mp-1077177,mp-23,Ni,intercalation,-0.032837110000000225,999.0915984488714,3082.9079001911505,-32.807280718341644,-101.23378583844652,0.0,0.2146944533333337
mp-1094536_Mg,mp-1094536,mp-1094565,Sb,intercalation,-0.003393758750000142,314.62676945764696,1218.1399981896004,-1.0677673518311668,-4.1340732775811135,0.14595057208333317,0.20451648964971758
mp-1047986_Mg,mvc-12425,mp-1047986,TiO2,intercalation,-0.04268633833333373,385.9260179856014,1490.324602584997,-16.473768575369622,-63.61650021243432,0.0998701752884692,0.14879822928572217
mp-1078548_Mg,mp-1078548,mp-6985,Ti,intercalation,-0.05003233142857133,1721.1802597567694,3560.2748882674673,-86.11466120446518,-178.12885318661768,0.063424163333333,0.10987821902964212
mp-1078138_Mg,mp-1078988,mp-8632,V,intercalation,-0.09783884500000017,1697.243890632859,3754.361066237368,-166.05638194282554,-367.32235043363323,0.25225307999999913,0.21546231786073866
