Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-8642_Na,mp-982595,mp-8642,Re,intercalation,-1.7064364650000003,315.0936885534215,1287.677869685066,-537.6873600389116,-2197.3404720041153,0.058801822499999545,1.294527804375
mp-1001833_Na,mp-1096344,mp-1001833,InBi,intercalation,-1.7982269649999998,144.9598721904328,58.99709552779269,-260.67075101578985,-106.09016803475771,0.028715615833333263,1.1805264658333334
mp-1006112_Na,mp-1006112,mp-102,Co,intercalation,-0.872797395,628.6385511105373,1355.5762555952065,-548.6740898058513,-1183.1434246073504,0.019153610000000043,0.6593864487499999
mp-1186037_Na,mp-1186037,mp-568345,Fe,intercalation,-0.6690351772222222,644.192524560724,1214.9421690937315,-430.9874598347147,-812.8390494143757,0.7842520133333322,0.6978393862499996
mp-1186073_Na,mp-1186073,mp-23,Ni,intercalation,-0.5554623016666663,629.8193531153989,1381.2291520733193,-349.8409075156904,-767.2207239397438,0.0,0.41659672624999944
mp-1210274_Na,mp-977200,mp-1210274,C,intercalation,-0.42674192500000063,330.9641733945485,601.478126243269,-141.23628846042362,-256.675933438446,1.2656922737499996,1.0559546865625
mp-11051_Na,mp-1212538,mp-11051,Sn,intercalation,-0.20960741624999965,162.73942832431516,471.8188410208475,-34.11139109306171,-98.89672820444919,0.0,0.1139841214166668
mp-1186036_Na,mp-1186036,mp-30,Cu,intercalation,-0.28366580500000005,606.7558939366455,1317.405988831587,-172.1158990920332,-373.7030303337332,0.0,0.21274935375000026
mp-1120777_Na,mp-1120777,mp-246,TiF3,intercalation,-0.06059229499999996,209.62899120556546,619.0377687656866,-12.70190167568002,-37.50891910119224,0.0,0.23498045780555543
mp-1210088_Na,mp-1210088,mp-540010,WO2,intercalation,0.08647560749999461,112.22058331232515,776.7748884263652,9.704343115937075,67.17208036741047,0.2639074299999997,0.5189592144531243
mp-1022725_Na,mp-864742,mp-623511,Sn,intercalation,0.20989894833333314,428.4140057533419,1168.3242849013943,89.923649258897,245.23003871309615,0.05914658500000014,0.029206055156250077
mp-1221437_Na,mp-1221437,mp-7564,Nb3Te4,intercalation,0.5844459350000009,16.738078856600765,120.01866250336953,9.78250214744978,70.14441942423134,0.0,0.027996353291666942
mp-1183338_Na,mp-1183338,mp-962067,BaSn,intercalation,0.5934970649999995,88.74176720267639,349.5300040000677,52.66797837770165,207.4450315034783,0.28485821166666714,0.06526939249999986
mp-7956_Na,mp-7956,mp-80,Sb,intercalation,0.6771055483333335,421.5631303826629,1115.941513794102,285.4427345548695,755.6101906054857,0.28024546000000017,0.0
mp-1079427_Na,mp-556538,mp-559817,CuO2,intercalation,0.6740725349999963,94.68859430453027,340.2075967767775,63.82698079844093,229.324597185579,-1.7763568394002505e-15,0.006393851757243496
