Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-1019_Y,mp-1019,mp-1200338,Ni,intercalation,0.051221999999991226,24.35994570963537,180.74311082001788,1.2477651391387292,9.25802362242137,0.0,0.006352747058824271
mp-1018642_Y,mp-1018642,mp-1216184,CuS,intercalation,0.034292596666665766,95.67588997755726,519.0947316760478,3.2809747057246605,17.801106265157795,-8.881784197001252e-16,0.2979225345000005
mp-1022725_Y,mp-1094256,mp-623511,Sn,intercalation,0.10808826888888874,625.8331357118786,3520.241303752863,67.64522025240194,380.49678859381174,0.05914658500000014,0.28414081333333385
mp-1187735_Y,mp-1187735,mp-567597,Bi,intercalation,0.15475039555555536,507.07246521925714,3420.239212322381,78.46966456801063,529.2833710015095,0.06081613500000005,0.15059768791666617
mp-1018112_Y,mp-1018112,mp-80,Sb,intercalation,0.39867972666666657,241.87181613207565,1548.102694905344,96.42938954390615,617.1971592567925,0.28024546000000017,0.5625641449999996
mp-133_Y,mp-998897,mp-133,Sb,intercalation,0.561459116666667,381.6681444512671,2424.023178703697,214.2910592434143,1360.989912694504,0.04856705500000036,0.3437151999999992
mp-1207640_Y,mvc-4405,mp-540010,WO2,intercalation,0.5309081458333321,263.84202009370455,2221.029561249382,140.07587768086944,1179.1626862039286,0.2639074299999997,0.7699254601785714
mp-998866_Y,mp-998896,mp-998866,C,intercalation,0.5386189133333336,796.7419027775818,4436.706478819145,429.1402578811936,2389.6940224005284,2.7556467412500005,0.8854906812500003
mp-1172828_Y,mvc-14645,mp-19443,WO3,intercalation,0.6783899733333341,250.6810151856253,1932.3893731757278,170.05948720694946,1310.9135753383,0.0,0.8118882909999972
mp-1048468_Y,mp-1048468,mp-1048501,Ba2W3O7,intercalation,0.759349790000002,78.28483137415337,654.489315421505,59.445570264148934,496.9863242225649,0.412853814444448,0.5790040567948722
mp-1157227_Y,mp-1157227,mvc-4354,SiWO4,intercalation,0.7290687441666668,159.9163947384626,1012.7226427692063,116.59004508363189,738.3444253528932,0.27322164527777737,0.6101128508124987
mp-10631_Y,mp-215,mp-10631,Sb,intercalation,0.8783185899999997,381.6681444512671,2224.6029238440387,335.2262264823531,1953.9101033805728,0.31171507499999995,0.0
mp-1060962_Y,mp-9960,mp-1060962,TlC,intercalation,0.8378165333333335,499.29117241400445,3339.1029840662363,418.3143991958369,2797.555686553363,2.5402935981249994,0.0
mvc-12320_Y,mp-4355,mvc-12320,TiO3,intercalation,0.9638354033333435,145.05238432237982,755.9286927690105,139.80662334782411,728.5908364862663,0.04422810499999841,0.05873373499999879
mp-1045424_Y,mp-1045424,mp-25262,TiO2,intercalation,0.9119770500000023,323.380263386505,1556.3796929919304,294.9153786314486,1419.38256109469,0.17869182333333278,0.2127912221428616
mp-1048138_Y,mp-1048138,mp-1048194,Ba2W3O8,intercalation,0.9313745166666606,77.08404497715574,655.6471215789664,71.79411513330956,610.6530209644972,0.27508105692306906,0.4023418946428503
mp-1044996_Y,mp-1044996,mp-714960,VO2,intercalation,1.0298929008333342,467.88621140915274,2375.4826366283564,481.872687528091,2446.492703516395,0.1589104300000006,0.11388366437500785
mp-1045354_Y,mp-1045354,mvc-12727,VS2,intercalation,1.0583664266666661,252.01295685205875,893.8936612149568,266.72205261721416,946.0670400400572,0.08830045833333244,0.26539109559523677
mp-1046767_Y,mp-1046772,mp-1046767,Sr2GaW2O7,intercalation,1.0121879616666691,98.83224487893685,674.89430811814,100.03680849095218,683.119894074537,0.2697909520196786,0.40825138346156464
mp-1103848_Y,mp-1103848,mp-21021,Mo3Se4,intercalation,1.0936157433333358,62.02965638183267,427.6754203170507,67.83660877272933,467.7125726954282,0.06335038142857208,0.05642253500000027
mp-1042189_Y,mvc-672,mp-1042189,Ba2Sb3O8,intercalation,1.1548952533333319,93.83888307177556,575.1018102387608,108.37408063769514,664.1823508281514,0.1442460715144227,0.303800217301589
mp-1045414_Y,mp-1045465,mp-9027,TiS2,intercalation,1.1619017650000012,256.96542861477553,972.4623461372113,298.5685850514895,1129.9057163728678,0.022005891666666777,0.09003055845238261
mp-1046350_Y,mp-1046386,mp-1046350,Ba2TlW2O7,intercalation,1.2743975300000019,76.74970376275552,596.7804866136232,97.80963290348748,760.5355780926006,0.40257043819444593,0.45065453871793526
mp-1048031_Y,mp-1048031,mp-1048055,Sr2Ti2GaO7,intercalation,1.2258139916666648,148.45761537394705,735.5538488121633,181.98142209485246,901.6521994982164,0.28959649628472217,0.2719893106730984
mp-1118394_Y,mvc-4120,mp-1118394,SnO2,intercalation,1.3904111150000018,205.99439789935494,1139.9695978843797,286.41690046699614,1585.026399660524,0.19165878750000065,0.3630217078571425
mp-1048035_Y,mp-1048035,mp-1048188,Ba2Sn3O7,intercalation,1.3962842266666657,96.67648355932192,605.8195152220584,134.98784908348043,845.8962333114061,0.24892496708333756,0.28987578259619085
mp-1048118_Y,mp-1048118,mp-1048199,BaTi4O7,intercalation,1.3011967099999995,151.79337847190268,707.4979923519772,197.5130446674245,920.5940599799976,0.336936455750001,0.1751265180769277
mp-1045356_Y,mp-1045492,mvc-34,MnS2,intercalation,1.3416092783333324,245.85361763922072,905.1968159254419,329.839494536594,1214.4204469633626,0.012210162499998845,0.08986653416666535
mp-1163922_Y,mp-1163922,mvc-4059,TiSiO4,intercalation,1.3319755191666678,269.06326341225963,1137.6635199148543,358.3856799722224,1515.3399575755668,0.4211355416666649,0.32465337717857423
mp-1104078_Y,mp-1104078,mp-2164,Mo3S4,intercalation,1.3218820799999997,87.29500075238809,484.8198784340804,115.39369716816832,640.8747093297892,0.06622152357142852,0.013990996444444903
mp-1045396_Y,mp-1045429,mvc-11244,CoS2,intercalation,1.400347921666665,239.99016950950443,1050.7297007306659,336.06973509306516,1471.3871526516248,0.0970651466666661,0.21045717851190737
mp-1215930_Y,mp-1215930,mp-35216,BiTe3,intercalation,1.415561463333333,118.12262120580367,753.2204897874836,167.20983052685645,1066.2298987362203,0.19965621374999998,0.022698587250000735
mp-1045362_Y,mp-1045419,mvc-14769,CrS2,intercalation,1.5067591083333343,250.35786606858824,959.6093750129108,377.22899504174234,1445.9001662427618,0.01916975750000116,0.07570310389880852
mp-1047361_Y,mp-1047361,mvc-14876,Ba2Ti3O8,intercalation,1.5316030933333311,126.5900625031423,723.0162823512536,193.8857313150725,1107.3739745795451,0.20818071846153963,0.030511039642828308
mp-1046616_Y,mp-1046616,mp-1046832,Sr2V2GaO7,intercalation,1.5842487283333357,146.79103428147792,735.0443396838074,232.5535093911665,1164.4930604126882,0.23102346015469966,0.16098505017667097
mp-1048392_Y,mp-1048392,mvc-1332,BaV4O7,intercalation,1.5038318149999983,148.3491471156569,682.4962120774761,223.0921671606401,1026.3595173390947,0.33204978868222135,0.23666308262610336
mp-1117059_Y,mvc-14736,mp-1117059,WO3,intercalation,1.6548671933333339,250.6810151856253,2034.0246316388284,414.84378802218663,3366.040633331016,0.002365172499999346,0.22789409699999652
mp-1042691_Y,mp-1045602,mp-1042691,Cu3(SbO3)4,intercalation,1.6322860599999984,83.87899295142331,536.1851244088169,136.9145109214464,875.2075041518768,0.02405554394737397,0.15774013741666426
mp-1045499_Y,mp-1045499,mp-776137,VO2,intercalation,1.7625956883333347,315.5758246513854,1455.7894830853984,556.2325878727684,2565.968266007337,0.09856695499999901,0.14527508636904507
mp-1042300_Y,mp-1047438,mp-1042300,Ta(WO4)2,intercalation,1.797235030000001,105.03122862874558,811.7600599490695,188.76580333552053,1458.9236156953687,0.18846964726398774,0.2813512120833348
mp-1043077_Y,mp-1045900,mp-1043077,Cu3(WO3)4,intercalation,1.8138620800000025,66.62081966069668,567.9040680898048,120.84097852105634,1030.0996541858365,0.16503336736842122,0.21077424480288443
mp-1048546_Y,mp-1048592,mp-1048546,V3Se2ClO8,intercalation,1.822693198333331,142.78929339943954,565.6153700597935,260.2610738739809,1030.9432878807754,0.18748616797711914,0.3616889159618051
mp-1041750_Y,mp-1047532,mp-1041750,Ti(WO4)2,intercalation,1.9212461433333299,127.13209261811934,839.7509787913314,244.25204263645747,1613.3683293632344,0.15297424386363723,0.20189074677083596
mp-1048371_Y,mp-1048386,mp-1048371,BaCr4O7,intercalation,2.011646775000003,147.20344757187507,686.0452411485409,296.12134057684455,1380.0806968605616,0.4915248935416585,0.31648896461538456
mp-1048379_Y,mp-1048379,mvc-1364,Ba2V3O7,intercalation,2.0889613866666683,127.9550986273977,709.1846715007337,267.293260259759,1481.4593947809183,0.35859569594964835,0.12267879862977793
mp-1042479_Y,mp-1042479,mp-1042556,BaCuWO5,intercalation,2.0805212900000005,145.2350832598976,1023.8212293259519,302.16468277713966,2130.0818647666156,0.41920192624999864,0.38512649129629306
mp-1042613_Y,mp-1042613,mp-1042656,W3O8,intercalation,2.183598576666673,104.63592072178264,858.698483124232,228.4828475562914,1875.0527855359041,0.09038046134615385,0.077447800520833
mp-1041585_Y,mp-1043439,mp-1041585,Re(WO4)2,intercalation,2.1765020566666684,104.31459604070012,872.581812652019,227.04093282293653,1899.176109847049,0.19164625055944384,0.1532885464930569
mp-1043118_Y,mp-1045838,mp-1043118,Cu3(MoO3)4,intercalation,2.12761579666667,94.00766864777147,582.8660111204191,200.01220082280463,1240.1149325998947,0.019326366372180104,0.11144298068750302
