Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-25301_Zn,mvc-4912,mp-25301,Ti(SiO3)2,intercalation,-1.1099658324999973,201.93744772896713,769.5327637831971,-224.1436672814077,-854.15507478864,0.03950412583333396,0.2575468797499978
mp-1047047_Zn,mp-1047051,mp-1047047,Ti3(P2O7)2,intercalation,-1.0429916875000012,96.2529814194524,326.14001040516786,-100.39105951758091,-340.16131981375395,0.14873565882312967,0.2557032197443201
mp-1143521_Zn,mp-1163919,mp-1143521,Si2WO6,intercalation,-0.9214705074999991,133.5345609010975,720.5018245866157,-123.04815960232386,-663.9211819565041,0.07780866305555456,0.3171294890416636
mp-1040898_Zn,mp-1040898,mp-1041213,P4W3O14,intercalation,-0.9191581849999957,55.55772527489035,297.7822715131935,-51.0663379263966,-273.70901220924287,0.21263227785714278,0.3223639880965914
mvc-5659_Zn,mvc-5733,mvc-5659,SnO2,intercalation,-0.8806881650000009,146.12616073234415,922.1620198788199,-128.69158035386334,-812.1371771197723,0.08614069750000031,0.39874193107142997
mp-1043490_Zn,mp-1043490,mp-1043572,BiPO5,intercalation,-0.8223532425000023,75.99901049157026,398.43388506479556,-62.498032704534495,-327.65339730490786,0.16345428732142686,0.5018403425833338
mp-1043973_Zn,mp-1045120,mp-1048022,W4O9,intercalation,-0.8276537949999985,56.736905097210894,479.1038996876779,-46.95851482026136,-396.53216077580515,0.16453280085798738,0.33864156785713995
mp-1041160_Zn,mp-1041160,mp-1041196,Ti3P3O13,intercalation,-0.8257624549999982,105.11961928441028,346.39731708988063,-86.80383488895978,-286.04189896555266,0.03227054842481358,0.125137593171873
mp-23_Zn,mp-567903,mp-23,Ni,intercalation,-0.8363039075,431.92527068372016,2330.125303310446,-361.2207916207904,-1948.6928961231486,0.0,1.08407251
mp-1045643_Zn,mp-1045652,mp-1045643,Ti9O13,intercalation,-0.7130028550000014,139.2984494353769,739.2753139077586,-99.32019214449707,-527.105409447254,0.14285303045454611,0.2497824204166612
mp-1045759_Zn,mp-1045822,mp-1045759,Ti5O7,intercalation,-0.7088832100000055,128.62453433173246,680.6880309404696,-91.17977278183443,-482.5283163816632,0.15745089166666482,0.254398240000004
mvc-12500_Zn,mvc-12500,mp-756655,TiO2,intercalation,-0.789101596249998,238.08661215480154,1176.1673259178929,-187.87452569710808,-928.1155143389009,0.07390985333333333,0.2888089017857176
mp-1217459_Zn,mp-1217459,mp-19529,W18O49,intercalation,-0.7568900574999398,6.496076685012705,46.817280534047455,-4.916815855643284,-35.43553415540599,0.0,0.01822654518661082
mp-1172828_Zn,mvc-5731,mp-19443,WO3,intercalation,-0.7207508174999995,180.33126203543486,1368.2347541554643,-129.9739045328463,-986.1563175894618,0.0,0.47942256150000073
mp-1044229_Zn,mp-1044229,mp-25648,WO2,intercalation,-0.7731924424999996,57.714286050753586,494.2719671795762,-44.62424979872582,-382.1673495628562,0.27668941083333287,0.4163976656730757
