mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mp-531949,-336.3515942,-5.338914193650794,1090.686849474874,-0.259149256349206,63,0.0,4.197202561878871,63.4450557,4.197202561878871
mp-769499,-389.43396928,-7.947632026122449,700.7562009253096,-3.136537459795918,49,1.1604,4.8286070756488275,0.9999999,4.8286070756488275
mp-630234,-284.11734626,-6.76469872047619,536.8597350196876,-2.2972087492857143,42,0.0,7.333009097962287,0.58094705,7.333009097962287
mp-774697,-84.83432384,-5.655621589333333,136.07403165618481,-2.2732608215,15,0.0,2.9828384433643906,1.0,2.9828384433643906
mp-571584,-16.12683552,-4.03170888,69.88935748935728,-0.6075881975000001,4,0.0,8.270458553315791,0.0012051,8.270458553315791
mp-7554,-12.41867052,-3.10466763,75.601150313145,-0.40583595875,4,0.0,7.6199696339994585,6e-07,7.6199696339994585
mp-778808,-664.38699922,-7.2215978176086955,1072.1555183284902,-2.9967773335869565,92,0.0,5.180179682690917,0.93849535,5.180179682690917
mp-10179,-15.13465458,-3.783663645,70.61438407270465,-0.5792147000000001,4,0.0,6.100555951143058,1e-07,6.100555951143058
mp-755797,-191.41466184,-8.700666447272727,245.70609747848573,-3.2448305853219703,22,0.0,4.040539317509191,0.9100285,4.040539317509191
mp-772150,-640.02369772,-8.648968888108108,821.3320053801929,-3.2581652367342344,74,0.0,3.9955698892270686,0.1170619,3.9955698892270686
mp-22902,-6.54248123,-3.271240615,48.189535462216845,-0.36813182249999965,2,0.0,7.440327258447531,5.1e-06,7.440327258447531
mp-504106,-202.96245991,-7.2486592825,309.1434297263591,-2.660008551615646,28,0.0,3.218111129936601,2.000000425,3.218111129936601
mp-775424,-193.00223861,-6.892937093214286,291.0277294367525,-2.857960390654763,28,0.03979999999999961,3.4579253409111748,1.0,3.4579253409111748
mp-772826,-455.11213389,-6.692825498382353,988.686060209219,-2.487958945254902,68,0.0,3.296662722236099,0.9949473,3.296662722236099
mp-7955,-24.7439786,-3.092997325,159.0100932179571,-0.6301812824999997,8,0.5321000000000002,2.9779825060008456,0.0,2.9779825060008456
mp-2074,-12.38543439,-3.0963585975,70.63171472825084,-0.633542555,4,0.7159,3.3521009485788444,0.0,3.3521009485788444
mp-558256,-116.03039438,-7.735359625333333,142.86525544002126,-2.9937763657777783,15,0.0,3.955185031748149,2.9999995,3.955185031748149
mp-769069,-286.06411695,-7.1516029237500005,480.1110777076876,-2.86058018454643,40,0.0,2.8158794455794314,2.9999972,2.8158794455794314
mp-25420,-115.67460476,-7.2296627975,186.4640949352222,-3.03702464124994,16,0.14949999999999974,3.0060700779516467,0.9999999,3.0060700779516467
mp-774411,-29.95310855,-5.99062171,46.92544274547555,-2.0574255055000004,5,1.9101000000000004,3.426226790541977,3.0000001,3.426226790541977
mp-30404,-13.37218113,-3.3430452825,72.41110156076515,-0.5388169949999999,4,0.0,7.627414884712846,7.9e-06,7.627414884712846
mp-752433,-170.76002381,-8.538001190500001,242.9209329598799,-3.5883392427083343,20,0.0,5.517232629026952,0.0124078,5.517232629026952
mp-770194,-342.26725199,-7.130567749791666,462.70889424738994,-2.76918528,48,0.2129999999999992,2.674444995773332,0.99999955,2.674444995773332
mp-21471,-25.51782625,-4.252971041666666,107.26298871910765,-0.45100185944444426,6,0.028500000000000192,4.263704538450349,3.68123755,4.263704538450349
mp-766028,-485.40258919,-7.467732141384616,887.1946353224392,-3.0139908829611737,65,0.005599999999999827,2.736013455840338,1.0006824,2.736013455840338
mp-773118,-581.47173187,-8.81017775560606,880.5416687264258,-3.433633043093434,66,0.0,6.550226515877466,0.3120958,6.550226515877466
mp-26533,-272.89528738,-7.580424649444445,504.5129497641919,-2.7712620541534383,36,1.149,3.1443637147725987,1.99999995,3.1443637147725987
mp-773049,-397.72695336,-7.9545390672,687.6206211433084,-2.781977527009999,50,0.0,4.451469214678076,0.2597081,4.451469214678076
mp-780086,-76.84183816,-5.122789210666666,143.49028210229008,-2.2901931212226665,15,2.6208,2.458695242889149,5.0000001,2.458695242889149
mp-758218,-326.09652321,-7.41128461840909,539.3276714393154,-2.8467759786093083,44,0.1708999999999996,2.8172150183948372,1.00042655,2.8172150183948372
mp-754210,-97.03665092,-4.41075686,370.5558746809921,-1.341180413295455,22,0.0,2.023275702438993,4.00000025,2.023275702438993
mp-764013,-224.43886439,-6.601143070294118,309.8472817975874,-2.297231031470588,34,0.7321,3.939247960294895,9.9999929,3.939247960294895
mp-759534,-212.30181582,-5.897272661666666,543.9650563156792,-1.9631226381770839,36,0.5629999999999997,4.353636712762695,1.0,4.353636712762695
mp-774863,-102.00389586,-5.100194793,268.35779572886076,-0.6723714765312507,20,0.0,5.2956977814109605,0.0024479,5.2956977814109605
mp-25400,-174.04772637,-7.25198859875,280.875529158127,-2.5908846886507946,24,0.23389999999999977,2.5626112872138416,0.9999998,2.5626112872138416
mp-772829,-466.30059039,-7.065160460454546,892.8946995925837,-2.7424490552146468,66,0.0,5.468946472793991,1.16e-05,5.468946472793991
mp-763440,-153.80933036,-5.126977678666666,286.51981266082095,-2.2943815892226667,30,2.6846,2.462649062411346,4.9999999,2.462649062411346
mp-850924,-197.46677034,-5.336939738918919,529.7325849267054,-1.9809427949729737,37,0.7617000000000003,2.6307132132334754,8.9999997,2.6307132132334754
mp-773084,-556.16890674,-8.426801617272728,887.2960254235143,-3.28784571885101,66,0.0,5.017468948641372,0.0006792,5.017468948641372
mp-762355,-326.04930811,-7.410211547954546,529.7887578675535,-2.8457029081547636,44,0.14650000000000052,2.867939331008991,0.9999981,2.867939331008991
mp-764983,-105.31150927,-7.020767284666666,147.3910573788964,-2.367196858,15,1.5092999999999996,4.007932726090218,7.9999993,4.007932726090218
mp-11206,-155.09756331,-7.7548781655,216.85072251530028,-3.153455617416667,20,0.0,3.1698370937672684,1.00000005,3.1698370937672684
mp-773055,-433.62267823,-7.74326211125,608.6747022562653,-3.2596074680357146,56,0.0,3.47524807928529,1.0,3.47524807928529
mp-27683,-16.87411529,-4.2185288225,80.21946387855021,-1.0069770307812504,4,0.0,3.9284575627100957,9.6e-06,3.9284575627100957
mp-775511,-188.03112642,-7.23196640076923,383.01339206257876,-2.203291895596153,26,0.0,6.23035224578871,0.0005067,6.23035224578871
mp-772997,-411.3780298,-8.066235878431373,569.1220165013406,-3.007118948415032,51,0.0,4.166555456441431,1.8419862,4.166555456441431
mp-767497,-405.05226953,-7.942201363333333,559.9320346429354,-3.0439700513562093,51,0.0,3.980000135333019,1.9641814,3.980000135333019
mp-35899,-103.2450462,-6.4528153875,170.15015465929554,-2.0297788643750003,16,1.8256000000000006,5.265306377319968,2.99999995,5.265306377319968
mp-780217,-112.46530207,-4.686054252916667,211.53600739954743,-1.8226574541666671,24,1.992,2.765219416155527,0.0,2.765219416155527
mp-757419,-620.00727625,-7.750090953125,849.85001505546,-3.148668405041667,80,0.1631999999999998,3.235307180617626,1.0001631,3.235307180617626
mp-26389,-557.85718328,-7.748016434444444,986.4735158312704,-2.799093305079365,72,0.0,3.216248966470487,2.0,3.216248966470487
mp-771172,-154.43811326,-6.1775245303999995,237.61819165566365,-2.042799690466667,25,0.0,3.66273030994379,2.9999878,3.66273030994379
mp-673706,-225.23996213,-6.435427489428572,683.7143567022417,-0.7344013222142857,35,0.0,5.982446555036144,0.8892437,5.982446555036144
mp-773081,-416.4312478,-7.436272282142857,608.0965346733783,-2.988136367678571,56,0.0,4.152012429215254,0.8040239,4.152012429215254
mp-761144,-391.46173068,-6.116589541875,885.5789977683813,-2.4348489879084827,64,0.17690000000000028,3.0272362004454396,7.9825e-05,3.0272362004454396
mp-773128,-238.58074952,-5.186538033043479,482.4034522105211,-1.7925623555978272,46,1.4011,3.092059770284741,11.9999963,3.092059770284741
mp-760539,-87.00498184,-7.909543803636364,112.50816064882702,-3.1035603029545458,11,0.0,3.741172525694155,0.1662952,3.741172525694155
mp-780874,-108.20145896,-6.011192164444444,227.8062325305593,-1.9235545416577777,18,1.0259999999999998,3.3071957917063286,8.9999993,3.3071957917063286
mp-764142,-448.73768287,-6.599083571617648,647.8925190131611,-2.303718871085883,68,1.7765,3.797962364961762,11.000001725,3.797962364961762
mp-769928,-113.23105495,-7.076940934375,156.25479036650373,-2.467692976875001,16,0.0,4.266684883381605,6.0000004,4.266684883381605
mp-764265,-222.77668285,-6.552255377941176,317.54300698251956,-2.254502625378823,34,0.2265999999999999,3.8954475257640944,23.9999995,3.8954475257640944
mp-768142,-546.53701729,-7.807671675571428,781.4416065560794,-2.876673708607142,70,0.0,4.522584121040529,1.0,4.522584121040529
mp-756376,-153.72342313,-7.6861711564999995,224.85468524212445,-2.7778569689999997,20,0.0,4.7991075896617925,0.0069269,4.7991075896617925
mp-774859,-243.23185439,-7.6009954496875,382.3023146483639,-2.7806226841741077,32,0.0,3.662774110622423,0.9988043,3.662774110622423
mp-7543,-23.59572556,-5.89893139,63.480845512928646,-1.419927624531251,4,0.0,3.19161658892424,2.0,3.19161658892424
mp-754586,-74.28583941,-4.952389294,148.93932075254293,-1.9843548085,15,0.0,4.019303240290702,0.0558715,4.019303240290702
mp-779010,-641.07173129,-6.541548278469388,1253.8314796306781,-2.5610515128753644,98,0.0,2.9940647709242363,2.92736695,2.9940647709242363
mp-781753,-163.44001764,-6.286154524615385,321.1823143643585,-2.4224848896565945,26,1.2104999999999997,2.6709920150119446,0.0,2.6709920150119446
mp-766543,-336.71105177,-8.016929804047619,439.1137286477022,-3.2155447081746034,42,0.0,3.626939515973427,2.9999998,3.626939515973427
mp-764770,-126.53306417,-5.2722110070833335,237.2320087758229,-2.0306201991945834,24,0.0,2.4086025068944683,8.9999998,2.4086025068944683
mp-775796,-229.00874372,-8.178883704285715,303.7754857876507,-3.0766131285714287,28,0.0,4.136754916841589,2.5448548,4.136754916841589
mp-770699,-112.20646144,-5.610323072,291.0859743719919,-1.820415779292,20,1.0707999999999998,3.0343211229959857,4.999999275,3.0343211229959857
mp-775936,-168.16631207,-6.005939716785714,328.0054761319749,-2.131465162188776,28,1.5766,2.981190587356446,0.00010875,2.981190587356446
mp-755288,-25.4026582,-5.08053164,78.62283932289925,-0.8013450676250009,5,0.0,4.0226172109808935,4.0000003,4.0226172109808935
mp-756645,-114.65155025,-7.165721890625,147.27151633126346,-2.9755614631250005,16,0.0,3.45365562377166,0.9524536,3.45365562377166
mp-850397,-299.57180616,-6.512430568695652,449.8248414258485,-2.0676290484782607,46,1.2825999999999995,4.451785561380621,30.0002417,4.451785561380621
mp-770533,-117.08016903,-5.321825865,213.11253484203627,-2.064380794632726,22,2.6041,2.502453371197234,5.00000095,2.502453371197234
mp-767511,-601.40225514,-8.238387056712329,836.7532566249848,-3.3732651571461183,73,0.0,4.374638792400876,2.0003696,4.374638792400876
