mid,helvol,geomvol
mp-705379,8.186,319.685
mp-754650,0.000,28.646
mp-776397,0.000,97.546
mp-760293,0.085,46.924
mp-780401,4.944,156.292
mp-26834,11.529,189.826
mp-19408,0.000,69.362
mp-752553,0.000,36.145
mp-26820,1.563,130.859
mp-753895,0.000,26.696
mp-754644,0.000,29.880
mp-759348,0.266,228.547
mp-770902,0.000,80.178
mp-764977,0.000,50.660
mp-753665,0.164,110.525
mp-757417,0.000,43.632
mp-705437,37.312,406.814
mp-753117,0.000,38.118
mp-758042,0.000,51.776
mp-849581,0.011,171.379
mp-25440,0.001,37.676
mp-760250,0.637,249.799
mp-697814,0.182,164.267
mp-776432,0.000,43.345
mp-25332,0.000,14.380
mp-697800,2.608,195.404
mp-863368,0.000,29.323
mp-764744,0.016,25.767
mp-775891,0.000,62.752
mp-773238,0.503,41.850
mp-25454,0.000,46.569
mp-754877,0.000,31.975
mp-761614,0.000,41.270
mp-761172,0.000,34.253
mp-772668,0.000,23.669
mp-26613,0.000,79.876
mp-863354,0.000,42.943
mp-761166,0.000,23.538
mp-25468,0.010,40.892
mp-674219,0.552,79.066
mp-768142,4.891,148.329
mp-756523,0.000,41.252
mp-776195,0.000,45.462
mp-759176,0.279,82.099
mp-766386,1.217,127.828
mp-754452,0.000,24.524
mp-26388,0.001,103.030
mp-755994,0.720,83.346
mp-699352,0.000,77.570
mp-771188,0.000,138.034
mp-752751,0.001,106.130
mp-752989,0.160,44.580
mp-559680,0.000,56.815
mp-752779,0.001,42.771
mp-780159,0.000,93.065
mp-25871,3.601,143.032
mp-851127,0.000,292.268
mp-757615,0.000,92.723
mp-775339,85.362,207.101
mp-752786,0.000,57.304
mp-770533,0.000,47.950
mp-776142,0.926,108.814
mp-27041,0.000,33.242
mp-752792,0.013,72.287
mp-763567,0.001,63.846
mp-762679,0.314,60.845
mp-768354,0.000,48.584
mp-765102,1.513,107.431
mp-850365,0.003,87.991
mp-31780,2.997,101.856
mp-758308,0.255,151.672
mp-759016,0.000,108.438
mp-761589,0.000,55.680
mp-754254,0.002,60.559
mp-759758,8.596,178.831
mp-758446,0.000,70.078
mp-753275,0.000,36.860
mp-757013,0.000,59.725
mp-25911,15.738,293.893
mp-756319,0.000,29.758
mp-774806,0.000,62.207
mp-753261,0.000,33.429
mp-767649,0.000,50.232
mp-757952,0.764,72.586
mp-772522,0.000,26.940
mp-763349,0.000,34.523
mp-774635,0.000,33.862
mp-774621,0.000,36.472
mp-772536,0.000,78.868
mp-776750,0.000,176.884
mp-766543,0.000,51.230
mp-775271,0.000,64.916
mp-774609,0.000,45.641
mp-767661,0.001,125.806
mp-759957,0.906,82.113
mp-758491,0.000,83.205
mp-771003,0.000,32.112
mp-26571,0.000,63.084
