Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,Co_vol,Cl_vol,H_vol,Zr_vol,U_vol,Pr_vol,Sr_vol,Cs_vol,V_vol,Ta_vol,Ga_vol,Re_vol,Se_vol,Bi_vol,Nb_vol,C_vol,Ge_vol,P_vol,As_vol,Mn_vol,Fe_vol,Y_vol,O_vol,Ca_vol,Rb_vol,Zn_vol,Sc_vol,Pt_vol,La_vol,Sb_vol,Ti_vol,Au_vol,K_vol,Ni_vol,Mg_vol,Al_vol,Mo_vol,Na_vol,Te_vol,In_vol,Sn_vol,Pd_vol,Tl_vol,F_vol,Ba_vol,Cr_vol,S_vol,Cu_vol,B_vol,Li_vol,Si_vol,Nd_vol,W_vol,Co_vol_dis,Cl_vol_dis,H_vol_dis,Zr_vol_dis,U_vol_dis,Pr_vol_dis,Sr_vol_dis,Cs_vol_dis,V_vol_dis,Ta_vol_dis,Ga_vol_dis,Re_vol_dis,Se_vol_dis,Bi_vol_dis,Nb_vol_dis,C_vol_dis,Ge_vol_dis,P_vol_dis,As_vol_dis,Mn_vol_dis,Fe_vol_dis,Y_vol_dis,O_vol_dis,Ca_vol_dis,Rb_vol_dis,Zn_vol_dis,Sc_vol_dis,Pt_vol_dis,La_vol_dis,Sb_vol_dis,Ti_vol_dis,Au_vol_dis,K_vol_dis,Ni_vol_dis,Mg_vol_dis,Al_vol_dis,Mo_vol_dis,Na_vol_dis,Te_vol_dis,In_vol_dis,Sn_vol_dis,Pd_vol_dis,Tl_vol_dis,F_vol_dis,Ba_vol_dis,Cr_vol_dis,S_vol_dis,Cu_vol_dis,B_vol_dis,Li_vol_dis,Si_vol_dis,Nd_vol_dis,W_vol_dis
mp-300531949,mp-531949,mp-21284,MnAs,intercalation,P4mm,-0.6171378366666818,29.165481721142893,122.41342582821312,-17.999122294727773,-75.54595679458073,0.13696870706896558,0.19649929079775585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.135397693177676,19.135397693177676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.135397693177676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.33706898513471,18.33706898513471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.087629332904914,0.0,0.0,0.0
mp-300769499,mp-769499,mp-18989,LaVO4,intercalation,P1,-0.3959762400000164,13.152826442938958,63.50982627705197,-5.208206760247759,-25.148382212241287,0.03570079374999935,0.08300963668367345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.610138789625386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.440555158501546,0.0,0.0,0.0,0.0,0.0,11.610138789625386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41623861399506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.66495445598024,0.0,0.0,0.0,0.0,0.0,11.41623861399506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4270298267493824,0.0,0.0,0.0
mp-300630234,mp-630234,mp-23427,Ti3(BiO3)4,intercalation,C2ce,-0.3258631074999903,45.21940464839924,331.59428193437725,-14.735335718026883,-108.05434314036407,0.0,0.2482133044444437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.910028860690382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.730086582071145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.932521645517786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.901471423828472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.70441427148541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.176103567871353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.450735711914236,0.0,0.0,0.0
mp-300635084,mp-504105,mp-25431,PWO4,intercalation,Pcmn,-0.18850678749999525,93.79268875432844,552.6074403851402,-17.680558448065387,-104.17025333559788,0.10821491666666637,0.5055230550000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.805572632436437,0.0,0.0,0.0,0.0,51.22229052974575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.805572632436437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.416776208348196,0.0,0.0,0.0,0.0,49.667104833392784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.416776208348196,0.0,0.0,12.416776208348196
mp-300774697,mp-774697,mp-37399,NbO6,intercalation,P-1,0.13441497000000258,109.64855714930908,327.06390809219846,14.738407519767945,43.962285394296465,0.03399263000000108,0.0642772166666683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4554570637746185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.73274238264771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.18819944642233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.348940777522323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09364466513394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.79152622017858,0.0,0.0,0.0
mp-300571584,mp-571584,mp-10184,MgSbPt,intercalation,F-43m,0.29064492000000103,76.99584116142431,636.7908674809397,22.378450094694948,185.0800307357289,0.0,0.0802808917500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.578125298419744,0.0,15.578125298419744,0.0,0.0,0.0,0.0,15.578125298419744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.308330136706143,0.0,14.308330136706143,0.0,0.0,0.0,0.0,14.308330136706143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.308330136706143,0.0,0.0,0.0
mp-300007554,mp-7554,mp-5549,MgSnAu,intercalation,F-43m,0.30287679,77.25494028000294,588.6802568345993,23.39872832364898,178.297586526439,0.0,0.0633648781249998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.412979388321636,0.0,0.0,14.412979388321636,0.0,0.0,0.0,0.0,0.0,14.412979388321636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,13.22731196361343,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,0.0
mp-300778808,mp-778808,mp-761986,La3Nb2O12,intercalation,I2_13,0.3559515825000057,32.05274934159484,166.038989018001,11.4092268516167,59.10184089765852,0.05407641151515108,0.07969325885869427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.472620293624316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.835721761745894,0.0,0.0,0.0,0.0,0.0,11.208930440436474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68155073406079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.461604089369557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.76962453621734,0.0,0.0,0.0,0.0,0.0,11.192406134054336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.38481226810867,0.0,0.0,0.0
mp-300766028,mp-766028,mp-776444,KTi2(PO5)2,intercalation,P1,0.4172295200000001,18.33457170806333,50.16363130640282,7.649724553160846,20.92974781142743,0.018146479895833068,0.04353758610842552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.967691419248276,0.0,0.0,0.0,0.0,44.83845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.967691419248276,0.0,4.483845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.483845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.017187076534231,0.0,0.0,0.0,0.0,45.08593538267116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.017187076534231,0.0,4.508593538267116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.635741922833895,0.0,0.0,0.0
mp-300010179,mp-10179,mp-10183,MgSbPd,intercalation,F-43m,0.4378349500000001,103.31070266619456,630.252676813141,45.23303633631817,275.9466492398478,0.0,0.06638028083333403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0
