Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mp-300531949,mp-531949,mp-21284,MnAs,intercalation,P4mm,-0.6171378366666818,29.165481721142893,122.41342582821311,-17.999122294727773,-75.54595679458073,0.13696870706896558,0.19649929079775585
mp-300769499,mp-769499,mp-18989,LaVO4,intercalation,P1,-0.3959762400000164,13.152826442938958,63.50982627705197,-5.208206760247759,-25.148382212241284,0.03570079374999935,0.08300963668367345
mp-300630234,mp-630234,mp-23427,Ti3(BiO3)4,intercalation,C2ce,-0.3258631074999903,45.21940464839924,331.59428193437725,-14.735335718026883,-108.05434314036407,0.0,0.2482133044444437
mp-300635084,mp-504105,mp-25431,PWO4,intercalation,Pcmn,-0.18850678749999525,93.79268875432844,552.6074403851401,-17.680558448065387,-104.17025333559788,0.10821491666666637,0.5055230550000003
mp-300774697,mp-774697,mp-37399,NbO6,intercalation,P-1,0.13441497000000258,109.64855714930908,327.06390809219846,14.738407519767945,43.962285394296465,0.03399263000000108,0.0642772166666683
mp-300571584,mp-571584,mp-10184,MgSbPt,intercalation,F-43m,0.29064492000000103,76.99584116142431,636.7908674809397,22.378450094694948,185.08003073572894,0.0,0.0802808917500002
mp-300007554,mp-7554,mp-5549,MgSnAu,intercalation,F-43m,0.30287679,77.25494028000294,588.6802568345993,23.398728323648985,178.297586526439,0.0,0.0633648781249998
mp-300778808,mp-778808,mp-761986,La3Nb2O12,intercalation,I2_13,0.3559515825000057,32.05274934159484,166.038989018001,11.4092268516167,59.10184089765852,0.05407641151515108,0.07969325885869427
mp-300766028,mp-766028,mp-776444,KTi2(PO5)2,intercalation,P1,0.41722952000000013,18.33457170806333,50.16363130640282,7.649724553160846,20.92974781142743,0.018146479895833068,0.043537586108425515
mp-300010179,mp-10179,mp-10183,MgSbPd,intercalation,F-43m,0.4378349500000001,103.31070266619456,630.252676813141,45.23303633631817,275.9466492398478,0.0,0.06638028083333403
mp-300755797,mp-755797,mp-752989,Ti8O13,intercalation,R-3,0.5379816600000078,44.828337619466254,181.13064771308836,24.11682348756125,97.44496653356389,0.00998982809523774,0.05960772159091121
mp-300631316,mp-631316,mp-1156,GaSb,intercalation,Fm-3m,0.6391824849999996,261.0131458610785,1162.194673334003,166.83503118915152,742.8544793553908,0.0,0.04810869666666662
mp-300865737,mp-865737,mp-568466,InSn,intercalation,Fm-3m,0.6659445899999997,108.32820965151043,555.46360386291,72.14058516180911,369.9079819344078,0.026035591111110982,0.0
mp-300022902,mp-22902,mp-567597,Bi,intercalation,P4/mmm,0.7973245600000002,124.12610491540066,923.5387757208728,98.96879198618568,736.3601479945837,0.045235819999999816,0.0
mp-300504106,mp-504106,mp-25435,TiPO4,intercalation,Pcmn,0.8525211974999971,178.93975506371964,576.3520714626222,152.54993426727842,491.3523581449186,0.08824705406349054,0.2804457706802728
mp-300766157,mp-761103,mp-752971,VO4F,intercalation,P2_1,0.8719516949999938,305.284743286523,780.190469730874,266.1935493663217,680.2884025046769,0.06567989100000028,0.0466336329545447
mp-300772150,mp-772150,mp-656852,Ti13O22,intercalation,Cmce,0.8462950125000015,54.24633710711822,216.74501561756188,45.90840454014793,183.43022570137757,0.01706734221428441,0.0600080137837864
mp-300772826,mp-772826,mp-6488,KTiAsO5,intercalation,Pna2_1,0.8547451724999968,54.61789629588912,180.05676978561027,46.684383191016686,153.9026547501937,0.0,0.10757924897058846
mp-300765649,mp-760001,mp-775326,Ti3NiO8,intercalation,R32,0.9420106133333316,57.53410105838327,223.2681682342873,54.1977338255895,210.32098409619041,0.0,0.09084232911016964
mp-300007955,mp-7955,mp-80,Sb,intercalation,P6_3/mmc,0.9326355816666668,563.9132789297502,1679.3237592407386,525.9255889042048,1566.1970910061395,0.27681376500000043,0.0033612725000002897
mp-300002074,mp-2074,mp-10631,Sb,intercalation,Fm-3m,0.94760715,563.9132789297502,1890.2941017882101,534.3682550937756,1791.2562064573356,0.3082833800000002,0.0
mp-300755457,mp-755457,mp-754052,Fe2S3,intercalation,P2_1/c,0.9598308399999887,60.42712024304832,177.71330710929317,57.99981358166539,170.57471284188884,0.1967011657692304,0.2401459085714279
mp-300775424,mp-775424,mp-774609,Na5Ti5O14,intercalation,P1,0.9815572000000196,44.22398988891986,152.9232443570479,43.40837568819735,150.10291154602277,0.019860431888890414,0.016743655982142336
mp-300021471,mp-21471,mp-530480,FeAs,intercalation,P4/nmm,0.9099936999999638,9.731301086461539,50.620867549646654,8.855422681482803,46.064670558711065,0.0,0.0
mp-300754496,mp-754496,mp-756006,SbS,intercalation,P2_12_12_1,0.9996286349999997,568.6412210232896,1431.8179587512711,568.4300475762441,1431.2862316750186,0.021091121666666268,0.05583823071428595
mp-300011977,mp-11977,mp-1775,SnAu,intercalation,P6_3/mmc,0.92838566,83.07508618627088,741.3772791519742,77.12571871859798,688.2840346145098,0.0,0.0
mp-300770213,mp-770213,mp-755783,Ti(BO3)2,intercalation,P-1,1.052017610000001,143.85546947899394,339.2834479891388,151.33848718671928,356.9321620660934,0.06618041233766281,0.10031993810897433
mp-300773295,mp-755743,mp-756275,TiCrO4,intercalation,Imcm,1.0135090799999995,150.78809059320128,602.0111524026847,152.825098972072,610.1437692213843,0.0,0.08489789750000121
mp-300025462,mp-25400,mp-25418,TiPCO7,intercalation,P2_1/m,1.0727037599999971,239.65172759425832,630.6463151461438,257.0753092808559,676.4966734874116,0.02588491340909016,0.1317715504947925
mp-300769069,mp-769069,mp-769074,Na2Ti3Al(PO4)6,intercalation,P1,1.0067211366666728,98.75824775538237,278.0913000122224,99.42201543550743,279.96038964541725,0.011757039379278744,0.0888065219897376
mp-300558256,mp-558256,mp-2657,TiO2,intercalation,P2,1.0214132333333326,236.28477161178023,934.5499249539586,241.34439255941646,954.5616605586463,0.03673304916666531,0.1279485256666657
mp-300765723,mp-774261,mp-753127,Na3Mn5O9,intercalation,P1,1.1411544050000026,101.27139853933079,326.3170657522445,115.5663025436682,372.3781570098493,0.08013540376984096,0.06118512634469653
mp-300780046,mp-755616,mp-754634,WO6,intercalation,R-3,1.1652569700000024,159.83498755312246,653.044324233375,186.2488332961396,760.9644505318818,0.0354316773076917,0.037831464222222166
mp-300774411,mp-774411,mp-752548,VO2,intercalation,P-3m1,1.1199991200000017,415.21657226507006,1422.6260418488348,465.0421955462954,1593.33991495978,0.06762483041666556,0.09927019266666903
mp-300025401,mp-25420,mp-25436,TiPO4F,intercalation,P1,1.1337237850000017,305.04974604590717,921.0416241885187,345.8421527004552,1044.2067963175566,0.0,0.05592044879761904
mp-300752433,mp-752433,mp-754804,La3Ti4O12,intercalation,Cm,1.1570257300000089,33.206390362423114,183.20736727404068,38.42064804974786,211.9756378616267,0.026957277105262637,0.02631987196874697
mp-300770194,mp-770194,mp-759926,Ti(BO3)2,intercalation,P2_1/c,1.142842832499988,143.85546947899394,384.73351289883385,164.404192209989,439.689937638974,0.04961395461038976,0.07756524998397563
mp-300773118,mp-773118,mp-773060,Ba6Ta9Ti7O42,intercalation,Cm,1.1163450849999998,15.432335983886327,101.08528912141806,17.227812425680142,112.84606567649901,0.0,0.008338360303032033
mp-300030404,mp-30404,mp-12564,SbAu,intercalation,F-43m,1.1882870199999995,80.57965082036173,614.6143840386989,95.7517531459682,730.3382948584807,0.0668190339393937,0.0
mp-300765283,mp-759911,mp-775564,TiV3O8,intercalation,P2_12_12_1,1.1525007474999982,221.2610993857057,835.8354298400649,255.00358243469728,963.300957677657,0.0056391799999993,0.09680178142156937
mp-300773275,mp-756669,mp-755762,Ti3CrO8,intercalation,R-3m,1.2636160599999977,76.28006769732092,300.4803984779882,96.38871860022174,379.6918572319848,0.08289530575586923,0.10575144504694832
mp-300025656,mp-25398,mp-25414,PWCO7,intercalation,P2_1/m,1.2773879475000038,149.04481847281318,565.5721182569457,190.3880547544975,722.4550073034695,0.055549102178028775,0.10204365857638642
mp-300763840,mp-759578,mp-19481,Rb2V(PO4)2,intercalation,P2_12_12_1,1.2400430599999988,64.00188559634745,197.65634363378123,79.36509406066453,245.10237718804532,0.0,0.09223783811309527
mp-300763824,mp-760067,mp-554810,Ba2VP2O9,intercalation,Cc,1.2409634500000033,49.77260220803156,196.7394808042729,61.76598015155663,244.14650485007988,0.0,0.07990577802777654
mp-300765706,mp-763659,mp-775175,VFeO4,intercalation,C2/m,1.2274993949999964,145.13482631560527,609.5914874287554,178.15291149583499,748.2731820159453,0.033069687678571213,0.07899406904166639
mp-300770209,mp-770209,mp-754445,Ti(BO3)2,intercalation,P-1,1.2290766049999968,143.85546947899394,354.67370707152526,176.80939203792252,435.9211557702336,0.08600916688311777,0.10374138019230816
mp-300764160,mp-760232,mp-764983,VCr3O8,intercalation,R-3m,1.2598526099999967,145.01789546238234,561.1318372926809,182.70117409498909,706.9434097672772,0.06538699452083296,0.1029658857352942
mp-300771580,mp-771580,mp-772334,Fe3TeO8,intercalation,C2/m,1.2790132999999964,59.44073432277504,269.9304014725818,76.02548976059556,345.2445735577708,0.06256152983333417,0.12481824667968765
mp-300010189,mp-10189,mp-1907,TiTe2,intercalation,P-3m1,1.2151883800000016,86.45416360184315,468.2774798717145,105.0580950115789,569.0453521557922,0.0,0.008326251874999356
mp-300763838,mp-759615,mp-561006,Na2CaVP2O9,intercalation,P2_1cn,1.3167896600000055,76.60145391174123,228.66377992527381,100.86800245194785,301.1021010221174,0.0,0.08976327486979141
mp-300776371,mp-26533,mp-17242,Nb2(PO4)3,intercalation,C2/c,1.3625221625000077,110.6107846404446,349.74524842282466,150.70964548412118,476.53565220516936,0.0,0.05289671905009996
mp-300773049,mp-773049,mp-773070,KNb2O5,intercalation,Pc,1.3918162299999972,29.079412927241307,129.4461021524774,40.473198871006176,180.16518588605564,0.06851548823718012,0.08637308833846191
mp-300753943,mp-753943,mp-756094,FeS2,intercalation,P3m1,1.3464956499999987,200.22473497747742,545.8237400025257,269.60173466957593,734.9492915801311,0.1162705500000003,0.17666899099999964
