mid,helvol,geomvol
mp-1046793,0.000,24.365
mp-540486,0.149,124.165
mp-1042026,0.000,35.708
mvc-7826,1.268,116.067
mvc-12639,0.000,28.976
mp-27872,0.605,35.351
mvc-12394,0.000,22.084
mvc-5111,0.000,26.796
mp-565256,0.000,69.356
mp-1043875,0.000,27.380
mp-1043103,0.000,95.372
mvc-11034,0.000,28.127
mp-1043541,0.000,125.651
mvc-11476,0.034,65.522
mp-1045898,0.000,48.036
mp-756655,0.000,51.779
mp-25545,0.000,26.647
mvc-15230,7.285,63.703
mp-676282,0.000,72.882
mvc-13125,0.004,30.042
mp-1041012,0.000,100.500
mp-1048911,0.000,26.216
mvc-3716,0.029,29.303
mp-566620,0.000,107.499
mp-770908,0.000,28.067
mp-1041062,0.068,161.165
mp-694554,0.228,131.202
mvc-15135,0.019,106.052
mp-32334,2.951,109.123
mp-1040887,0.000,111.650
mvc-11754,0.451,138.593
mp-1040936,0.280,147.089
mvc-5466,0.000,114.234
mp-1043548,0.000,143.719
mp-776137,0.000,26.701
mp-1047312,0.000,0.000
mp-1048838,0.000,120.119
mvc-11289,0.009,52.476
mp-1046926,0.001,82.806
mvc-5721,0.000,50.643
mp-1041045,0.001,132.840
mvc-13696,0.000,28.384
mp-540430,0.984,77.013
mp-1042090,0.000,0.000
mvc-14220,0.252,72.383
mvc-11190,0.004,73.253
mvc-13593,0.000,141.186
mp-1043495,0.055,158.884
mp-1042648,0.000,35.280
mp-1046669,0.103,28.546
mvc-14931,0.000,47.519
mp-1043418,0.000,37.195
mp-1047762,0.601,26.800
mvc-14047,10.440,29.776
mvc-12027,0.000,47.840
mvc-5295,0.000,134.129
mp-1041848,0.000,36.612
mvc-13559,0.051,65.475
mp-1040943,0.000,111.516
mvc-11633,1.314,86.265
mp-1046025,6.952,54.410
mp-1043704,0.000,110.134
mp-1045799,0.351,122.087
mvc-14769,0.000,46.592
mvc-3728,0.272,58.366
mvc-11960,0.000,30.889
mp-1043121,0.000,24.886
mvc-14217,3.733,93.861
mp-715584,0.001,41.260
mp-25262,0.000,39.657
mvc-12727,0.000,28.855
mp-32006,0.913,42.212
mvc-11233,7.829,24.748
mp-19581,4.711,124.408
mp-1041887,0.000,80.232
mp-1041777,0.845,366.951
mp-1045314,0.000,38.421
mp-1042940,11.971,187.721
mvc-12846,0.001,38.641
mvc-5171,0.010,113.180
mvc-11840,0.001,29.644
mvc-7342,0.000,242.694
mp-19067,6.339,138.526
mp-1043800,0.011,56.326
mp-1045790,0.000,90.423
mp-1048269,4.490,85.191
mp-1044648,0.000,24.763
mvc-5444,0.000,99.372
mvc-12283,0.001,136.172
mp-25502,0.000,27.774
mp-1042297,0.000,30.490
mvc-2979,0.612,46.960
mvc-12125,0.000,34.555
mp-1043361,0.000,3.507
mp-540500,0.008,116.207
mvc-15502,0.001,49.487
mp-540570,0.002,37.795
mp-1045474,0.024,85.205
mp-1044907,0.002,100.553
mvc-11656,0.000,24.627
mp-1044071,0.003,157.102
mvc-13808,0.000,0.000
mvc-12117,0.000,0.000
mp-1048275,4.924,97.974
mvc-12005,0.000,46.566
mp-1042542,0.000,214.101
mvc-13706,0.000,38.901
mp-1043320,0.000,33.037
mvc-11375,3.281,126.407
mp-1047621,0.929,62.382
mp-1045598,0.000,84.052
mvc-14313,0.000,41.181
mvc-11162,0.000,4.519
mp-1041014,0.000,111.586
mp-1046704,12.060,58.474
mp-1046254,0.000,18.288
mp-1046666,0.000,24.404
mvc-14048,9.247,87.627
mvc-13744,0.000,24.601
mp-1041008,0.000,99.472
mp-1040967,0.001,116.492
mp-1043519,0.000,143.341
mp-1043200,0.000,3.693
mvc-14589,0.000,28.170
mp-1042355,0.000,242.843
mp-1046266,0.044,39.523
mp-1118309,0.000,31.092
mp-540258,0.044,119.485
mp-1048837,0.000,101.852
mp-1043067,0.000,24.850
mp-766786,0.005,71.737
mp-1041464,0.000,79.235
mvc-5586,0.000,38.583
mp-1045786,0.000,83.321
mvc-13536,0.976,54.642
mp-558132,0.041,46.311
mp-1045420,0.294,74.428
mvc-14334,1.122,58.590
mvc-13960,0.557,45.043
mp-1045694,0.000,35.171
mvc-78,0.002,53.411
mp-1040902,0.015,146.188
