mid,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity
mvc-12771,-64.4849291,-7.164992122222222,141.0561631729534,-2.519101714166668,9,2.3411999999999997,2.6155955328701217,0.0,2.6155955328701217
mp-1048259,-295.61373372,-6.718493948181819,492.16334269093176,-2.5663427539123376,44,3.9661,3.4676435784437487,2.00004755,3.4676435784437487
mvc-91,-87.51990169,-6.251421549285714,265.5287077200704,-1.2892191458928568,14,1.0583,3.2088676983448168,5.99998885,3.2088676983448168
mp-18900,-104.73650948,-7.481179248571428,157.66308725607917,-2.717388129285713,14,0.0,4.006145244801388,3.9999979,4.006145244801388
mp-566152,-213.73587772,-6.67924617875,466.9667309007872,-2.420071792656249,32,3.1101,5.1807374292757045,0.00039515,5.1807374292757045
mp-1045790,-256.87216605,-7.135337945833332,449.73438484636137,-2.703715821031746,36,4.2169,2.9245542706112992,3.9997588,2.9245542706112992
mp-554955,-42.80150593,-5.35018824125,106.46795696237895,-3.1312707883924995,8,1.5334000000000003,2.9679023212980886,1.9999895,2.9679023212980886
mp-1045786,-248.97839021,-6.916066394722222,437.4362971994673,-2.601652982142857,36,4.454000000000001,3.028400667999841,2.00019935,3.028400667999841
mp-555257,-130.43298425,-6.5216492125,255.19035902795216,-2.7300355409642862,20,3.6187,5.004717489154001,0.0002268,5.004717489154001
mp-1048269,-311.2733491,-7.074394297727273,511.14447377328776,-2.7304470289123373,44,3.8048,3.3018600881324365,3.999603425,3.3018600881324365
mp-770397,-71.53261899,-5.109472785,143.83962664295578,-1.4278392514285716,14,0.2898999999999998,4.749112421738935,1.9997803,4.749112421738935
mp-1045828,-261.64601876,-7.2679449655555555,453.4864933214599,-2.7431120224206347,36,2.7177000000000002,2.8644463034913086,3.0044605,2.8644463034913086
mp-1043162,-122.25527037,-6.1127635185,224.85749265171168,-2.1261306252500005,20,2.4504,4.78944204827762,2.0008355,4.78944204827762
mp-1041845,-605.21385575,-7.565173196875,905.8263496571466,-3.0318837407209998,80,3.1024000000000003,3.3937284189775814,4.9474784625,3.3937284189775814
mvc-13940,-43.36634747,-5.42079343375,117.96780542826095,-3.2384210808925,8,2.4387,3.2971458333087296,2.0,3.2971458333087296
mp-19202,-104.3207966,-7.451485471428571,153.05544502751206,-2.6251005635714284,14,2.8397,4.17251437910745,5.99999925,4.17251437910745
mp-1041840,-574.63185329,-7.182898166125,883.6745421952311,-2.873849186875,80,2.9549000000000003,3.5388610812379087,3.0000824625,3.5388610812379087
mp-1043493,-129.7449334,-6.48724667,232.2838536286767,-2.289638094750001,20,1.3822,4.5955935149920615,4.00100505,4.5955935149920615
mp-2646,-14.88363827,-2.9767276540000003,133.47420896868513,-0.36302216800000053,5,0.21720000000000006,3.9367356074436692,1.4e-06,3.9367356074436692
mp-19067,-262.05826624,-7.082655844324325,489.41150963730064,-2.3868236278378383,37,2.2285999999999997,3.3451902116173806,19.9996378,3.3451902116173806
mp-1044303,-273.12040058,-7.58667779388889,444.32710181478944,-2.9114886693386257,36,2.3987000000000003,3.057643513740448,2.9996845,3.057643513740448
mp-1045773,-253.78652827,-7.049625785277778,442.280936627137,-2.6452723565873018,36,3.0614,2.997028908080473,2.99984625,2.997028908080473
mp-1048235,-305.34630692,-6.939688793636364,499.0819484591641,-2.640363027548702,44,2.9851999999999994,3.422764169166856,2.99999315,3.422764169166856
mp-2343,-7.77285973,-2.5909532433333333,79.18667152448576,-0.18493078833333332,3,0.0,3.5086888591710412,4.22e-05,3.5086888591710412
mp-769657,-84.3355197,-6.023965692857144,136.03059252769722,-1.879783505000001,14,0.0,5.0334509373347505,7.6869906,5.0334509373347505
mp-32006,-99.76308604,-7.125934717142857,159.91584484925704,-2.3410654524171437,14,1.0125000000000006,4.115707883121457,7.9999801,4.115707883121457
mvc-5692,-98.64992431,-7.046423165,178.20207653217813,-2.303569914285714,14,2.886,5.221646735914354,3.0000001,5.221646735914354
mp-1043189,-126.87132199,-6.3435660995,227.12239675867875,-2.1950411772500003,20,1.6486000000000005,4.745187279965577,2.99838185,4.745187279965577
mp-540570,-71.23128048,-7.123128048,145.35510735923737,-2.78139318475,10,2.6932,2.815898794905086,0.9998577,2.815898794905086
mp-1048275,-321.40565851,-7.304674057045455,519.778461546414,-2.8014933119541565,44,3.8787000000000003,3.235423406114364,4.999981075,3.235423406114364
mp-772325,-220.24553073,-6.477809727352941,444.7485218686623,-2.1584077330698532,34,0.17690000000000003,2.8251431697279554,8.0057295,2.8251431697279554
mp-565256,-586.09383013,-7.326172876625,889.8519518819814,-2.9680402443750014,80,3.5914,3.4681914136877436,3.999944425,3.4681914136877436
mp-1043685,-278.81733934,-7.744926092777778,448.9128148298426,-3.054546774153439,36,0.16809999999999992,2.9958619422631605,0.99924055,2.9958619422631605
mp-1042773,-284.66455628,-6.469649006363636,579.2427154805844,-2.103145314519091,44,1.4546000000000001,3.911175998790933,5.000773,3.911175998790933
mp-1047859,-230.49115719,-5.76227892975,543.9675092297852,-3.6526305880829995,40,3.9409,4.232391985211126,3.00036245,4.232391985211126
mp-1048838,-274.03175484,-6.524565591428572,464.09429943514516,-2.2401443950000006,42,1.3814000000000002,4.293466053109915,9.990233550000001,4.293466053109915
