#symbol, electronegativity, polarizability, vdw_radius
H 2.2 4.50711 110.0
He -1 1.38375 140.0
Li 0.98 164.1125 182.0
Be 1.57 37.74 153.0
B 2.04 20.5 192.0
C 2.55 11.3 170.0
N 3.04 7.4 155.0
O 3.44 5.3 152.0
F 3.98 3.74 147.0
Ne -1 2.6611 154.0
Na 0.93 162.7 227.0
Mg 1.31 71.2 173.0
Al 1.61 57.8 184.0
Si 1.9 37.3 210.0
P 2.19 25.0 180.0
S 2.58 19.4 180.0
Cl 3.16 14.6 175.0
Ar -1 11.083 188.0
K 0.82 289.7 275.0
Ca 1.0 160.8 231.0
Sc 1.36 97.0 215.0
Ti 1.54 100.0 211.0
V 1.63 87.0 207.0
Cr 1.66 83.0 206.0
Mn 1.55 68.0 205.0
Fe 1.83 62.0 204.0
Co 1.88 55.0 200.0
Ni 1.91 49.0 197.0
Cu 1.9 46.5 196.0
Zn 1.65 38.67 201.0
Ga 1.81 50.0 187.0
Ge 2.01 40.0 211.0
As 2.18 30.0 185.0
Se 2.55 28.9 190.0
Br 2.96 21.0 185.0
Kr -1 16.78 202.0
Rb 0.82 319.8 303.0
Sr 0.95 197.2 249.0
Y 1.22 162.0 232.0
Zr 1.33 112.0 223.0
Nb 1.6 98.0 218.0
Mo 2.16 87.0 217.0
Tc 2.1 79.0 216.0
Ru 2.2 72.0 213.0
Rh 2.28 66.0 210.0
Pd 2.2 26.14 210.0
Ag 1.93 55.0 211.0
Cd 1.69 46.0 218.0
In 1.78 65.0 193.0
Sn 1.96 53.0 217.0
Sb 2.05 43.0 206.0
Te 2.1 38.0 206.0
I 2.66 32.9 198.0
Xe 2.6 27.32 216.0
Cs 0.79 400.9 343.0
Ba 0.89 272.0 268.0
La 1.1 215.0 243.0
Ce 1.12 205.0 242.0
Pr 1.13 216.0 240.0
Nd 1.14 208.0 239.0
Pm -1 200.0 238.0
Sm 1.17 192.0 236.0
Eu -1 184.0 235.0
Gd 1.2 158.0 234.0
Tb -1 170.0 233.0
Dy 1.22 163.0 231.0
Ho 1.23 156.0 230.0
Er 1.24 150.0 229.0
Tm 1.25 144.0 227.0
Yb -1 139.0 226.0
Lu 1.0 137.0 224.0
Hf 1.3 103.0 223.0
Ta 1.5 74.0 222.0
W 1.7 68.0 218.0
Re 1.9 62.0 216.0
Os 2.2 57.0 216.0
Ir 2.2 54.0 213.0
Pt 2.2 48.0 213.0
Au 2.4 36.0 214.0
Hg 1.9 33.91 223.0
Tl 1.8 50.0 196.0
Pb 1.8 47.0 202.0
Bi 1.9 48.0 207.0
Po 2.0 44.0 197.0
At 2.2 42.0 202.0
Rn -1 35.0 220.0
Fr 0.7 317.8 348.0
Ra 0.9 246.0 283.0
Ac 1.1 203.0 247.0
Th 1.3 217.0 245.0
Pa 1.5 154.0 243.0
U 1.7 129.0 241.0
Np 1.3 151.0 239.0
Pu 1.3 132.0 243.0
Am -1 131.0 244.0
Cm -1 144.0 245.0
Bk -1 125.0 244.0
Cf -1 122.0 245.0
Es -1 118.0 245.0
Fm -1 113.0 245.0
Md -1 109.0 246.0
No -1 110.0 246.0
Lr -1 320.0 246.0
Rf -1 112.0 -1
Db -1 42.0 -1
Sg -1 40.0 -1
Bh -1 38.0 -1
Hs -1 36.0 -1
Mt -1 34.0 -1
Ds -1 32.0 -1
Rg -1 32.0 -1
Cn -1 28.0 -1
Nh -1 29.0 -1
Fl -1 31.0 -1
Mc -1 71.0 -1
Lv -1 -1 -1
Ts -1 76.0 -1
