Battid,Stability Discharge,Stability Charge,energy,energy_dis,energy_per_atom,energy_per_atom_dis,band_gap,band_gap_dis,density,density_dis,total_magnetization,total_magnetization_dis,nsites,nsites_dis,elasticity,elasticity_dis,volume,volume_dis,helvol,geomvol,helvol_dis,geomvol_dis,vf_geomvol,vf_geomvol_dis,vf_helvol,vf_helvol_dis,Capacity_Grav
mp-300673073,0.036604,0.051084,-295.653554,-272.481451,-6.719399,-6.812036,3.9962,0.0,3.378166,3.329178,1e-06,0.96206,44,40,3.378166,3.329178,595.059774,589.967773,8.07,165.928,0.551,143.425,0,0,0,0,88.55769
mp-300763455,0.03484,0.01724,-256.547738,-246.582211,-7.126326,-7.252418,3.7305,3.2428,3.052959,3.106173,3.0,2.0,36,34,3.052959,3.106173,551.165938,534.302295,17.213,152.87,5.264,172.416,0,0,0,0,52.897435
mp-300776893,0.054342,0.011,-110.21983,-104.952333,-6.483519,-6.559521,0.6317,1.522,3.383731,3.290342,4.0,3.0,17,16,3.383731,3.290342,207.923885,210.322421,0.0,43.266,0.0,38.02,0,0,0,0,63.256871
mp-300765901,0.081734,0.000607,-468.496948,-102.536903,-6.164434,-6.408556,1.397,1.6749,3.348528,3.271209,8.0,5.0,76,16,3.348528,3.271209,879.873316,214.597268,0.538,63.306,3.12,244.409,0,0,0,0,237.963682
mp-300761511,0.04558,0.065933,-272.825069,-236.115245,-6.820627,-6.944566,1.7495,0.0,2.942139,2.756818,13.0,10.999999,40,34,2.942139,2.756818,468.422961,474.82668,1.379,125.198,0.556,103.382,0,0,0,0,193.757171
mp-300776627,0.0,0.02902,-302.896994,-127.008839,-5.048283,-4.704031,3.9836,0.1698,2.870754,3.019521,5.0,4.000015,60,27,2.870754,3.019521,661.698904,303.097691,0.156,70.362,0.384,161.978,0,0,0,0,140.573296
mp-300764931,0.01537,0.026361,-577.239768,-508.649667,-6.871902,-7.064579,2.0595,0.2219,3.471239,3.534262,0.0,12.999985,84,72,3.471239,3.534262,909.771747,854.414679,0.0,135.83,0.0,95.176,0,0,0,0,169.111125
mp-300553966,0.01364,0.181447,-197.922331,-157.983158,-4.948058,-4.936974,0.0,0.0138,5.296881,5.0553,0.907472,0.0,40,32,5.296881,5.0553,416.399408,418.058648,0.0,82.092,0.0,36.643,0,0,0,0,161.42379
mp-300762290,0.009135,0.037995,-189.770381,-167.445908,-6.777514,-6.976913,1.5866,0.7956,3.5239,3.538765,14.999997,17.000001,28,24,3.5239,3.538765,298.810179,284.526884,0.0,35.566,0.0,39.219,0,0,0,0,169.063155
mp-300767057,0.009622,0.085206,-209.687608,-196.949695,-7.488843,-7.574988,1.6633,0.0,6.13759,6.129922,3.0,2.049793,28,26,6.13759,6.129922,375.640561,372.349955,0.0,55.852,0.0,50.085,0,0,0,0,38.607132
mp-300778223,0.040071,0.101961,-211.067698,-187.830997,-7.538132,-7.826292,0.4256,0.8815,3.967596,4.118904,16.0,12.0,28,24,3.967596,4.118904,290.129998,268.278981,0.0,56.722,0.0,47.871,0,0,0,0,154.649263
mp-300849695,0.074367,0.163168,-123.755813,-55.652196,-5.625264,-5.56522,0.297,0.1746,3.500378,3.397189,7.000001,3.0,22,10,3.500378,3.397189,216.80448,108.302175,0.0,13.538,0.0,34.689,0,0,0,0,227.661387
mp-300031712,0.016468,0.035774,-401.87054,-382.77768,-7.17626,-7.361109,3.0964,3.0964,2.933554,3.093768,4.0,3.0,56,52,2.933554,3.093768,669.870647,620.278731,0.0,88.438,0.0,122.61,0,0,0,0,90.590542
mp-300773362,0.030225,0.030147,-655.907711,-155.635682,-7.287863,-7.411223,0.4023,1.6609,3.265656,3.254519,1.00137,0.0,90,21,3.265656,3.254519,1130.976783,278.399491,1.802,59.933,2.157,248.122,0,0,0,0,95.801353
mp-300778653,0.056118,0.044948,-168.010151,-164.65564,-8.400508,-8.666086,0.0,1.9311,5.617164,5.559687,2.096167,3.0,20,19,5.617164,5.559687,239.819916,240.226127,0.0,17.159,0.0,13.704,0,0,0,0,33.037376
mp-300764804,0.011664,0.026484,-577.551009,-508.641172,-6.875607,-7.064461,2.2681,0.7937,3.467122,3.506661,9.013992,13.004201,84,72,3.467122,3.506661,910.852084,861.139774,0.0,142.787,0.0,99.493,0,0,0,0,169.111125
mp-300777939,0.030975,0.015996,-183.759661,-171.38607,-5.742489,-5.712869,1.4644,2.1732,2.925359,2.980291,3.0,2.0,32,30,2.925359,2.980291,436.79291,421.007341,0.0,108.49,0.005,117.31,0,0,0,0,69.659956
mp-300540255,0.030576,0.135131,-174.698457,-147.243811,-6.239231,-6.135159,3.2077,1.1557,3.130292,2.975452,2.0,3.000669,28,24,3.130292,2.975452,340.788812,343.028678,0.0,92.745,0.0,68.158,0,0,0,0,166.877465
mp-300761748,0.046211,0.108857,-85.079241,-72.354245,-6.077089,-6.02952,0.0,0.3746,4.578332,4.456399,1.0,4.999998,14,12,4.578332,4.456399,134.441286,132.947065,0.0,25.26,0.0,24.737,0,0,0,0,144.609889
mp-300031979,0.055613,0.06943,-254.811206,-240.70795,-7.078089,-7.079646,1.2762,0.1604,2.596446,2.76566,4.0,3.0,36,34,2.596446,2.76566,483.196465,445.297657,0.009,104.698,0.069,122.032,0,0,0,0,139.334195
mp-300765804,0.056364,0.055022,-76.544698,-72.498118,-5.10298,-5.178437,3.5211,2.5609,2.742042,2.659765,3.0,2.0,15,14,2.742042,2.659765,148.110756,148.359022,0.017,55.783,0.066,54.505,0,0,0,0,109.584023
mp-300764764,0.042219,0.063543,-296.290622,-142.838321,-6.4411,-6.492651,0.6794,0.5113,3.872755,3.636358,17.0,16.0,46,22,3.872755,3.636358,435.917193,228.958334,0.0,54.95,0.0,46.013,0,0,0,0,104.028882
mp-300772420,0.025122,0.063373,-162.951545,-138.874469,-5.819698,-5.786436,0.0,0.0,5.334543,5.36834,1.0,3.0,28,24,5.334543,5.36834,272.299934,261.997629,0.0,44.212,0.0,39.143,0,0,0,0,122.552776
mp-300770943,0.09744,0.084972,-260.186627,-236.236319,-6.504666,-6.56212,2.3246,0.0,3.464453,3.407585,4.000002,6.369396,40,36,3.464453,3.407585,450.034503,444.015486,0.011,95.394,0.016,89.655,0,0,0,0,114.179296
mp-300025044,0.0,0.032982,-182.459635,-159.672019,-6.516416,-6.653001,1.6879,0.0727,3.912859,4.010788,5.0,4.0,28,24,3.912859,4.010788,340.85901,321.041693,0.0,48.156,0.0,40.903,0,0,0,0,133.474684
mp-300775125,0.087391,0.055414,-276.535315,-267.766598,-6.584174,-6.694165,2.2156,1.6764,2.980502,3.142097,12.0,14.0,42,40,2.980502,3.142097,507.883935,474.427719,0.001,95.442,1.738,119.035,0,0,0,0,58.800895
mp-300763466,0.024256,0.024506,-256.928781,-246.335157,-7.136911,-7.245152,4.1469,3.0077,3.487598,3.535688,3.0,2.0,36,34,3.487598,3.535688,482.47724,469.395288,0.807,122.588,13.308,145.389,0,0,0,0,52.897435
mp-300773927,0.038554,0.088274,-260.616581,-234.351062,-6.515415,-6.509752,0.0245,0.0,3.167928,2.943395,4.0,10.0,40,36,3.167928,2.943395,444.082184,462.295125,0.067,128.546,0.003,98.878,0,0,0,0,186.750618
mp-300767478,0.000762,0.016548,-387.515728,-344.18588,-6.919924,-7.170539,3.8735,1.4416,3.431425,3.44959,16.999999,18.999999,56,48,3.431425,3.44959,609.859171,579.918078,0.0,70.476,0.0,81.95,0,0,0,0,170.135062
mp-300767969,0.022868,0.031731,-419.538269,-402.894268,-7.491755,-7.601779,0.8319,0.8101,6.625629,6.658105,5.001075,5.999369,56,53,6.625629,6.658105,738.507509,729.712045,8.56,128.858,7.888,135.906,0,0,0,0,27.286457
mp-300778774,0.058565,0.075256,-760.43888,-655.145967,-5.760901,-5.64781,4.5112,0.4319,2.206356,2.014989,5.000001,4.973548,132,116,2.206356,2.014989,1520.281192,1573.144381,4.152,503.354,0.0,383.422,0,0,0,0,212.289438
mp-300026173,0.01216,0.077812,-103.857182,-97.234177,-6.491074,-6.482278,3.3947,0.0,6.270895,6.060291,0.0,0.78367,16,15,6.270895,6.060291,226.622957,232.596588,0.042,46.842,0.816,42.492,0,0,0,0,31.316592
mp-300773352,0.001031,0.01373,-196.191408,-174.08187,-7.006836,-7.253411,3.7761,0.7703,3.404979,3.450372,9.0,9.0,28,24,3.404979,3.450372,306.85566,289.456824,0.0,29.398,0.0,46.028,0,0,0,0,170.380296
mp-300771489,0.064208,0.063511,-147.326531,-134.751524,-6.138605,-6.125069,3.4704,0.3314,2.787476,2.639035,2.0,1.0,24,22,2.787476,2.639035,272.416437,279.004512,0.0,68.298,0.0,44.268,0,0,0,0,117.217781
mp-300031986,0.007217,0.005499,-345.992094,-333.148401,-7.208169,-7.242357,1.2147,0.0994,2.746768,2.670983,8.000001,6.998658,48,46,2.746768,2.670983,638.00591,647.477917,15.584,195.947,10.618,175.747,0,0,0,0,148.468682
mp-300764017,0.007263,0.075002,-154.312764,-128.898682,-5.51117,-5.370778,0.9366,0.3308,4.815197,5.224351,1.0,3.000001,28,24,4.815197,5.224351,260.27511,231.066543,0.0,44.893,0.0,33.836,0,0,0,0,209.217036
mp-300540004,0.323923,0.264078,-91.764073,-89.517733,-6.554577,-7.459811,0.0,0.0,9.416323,7.593365,0.007449,0.0,14,12,9.416323,7.593365,154.698026,188.801012,2.526,70.486,0.0,35.094,0,0,0,0,61.1043
mp-300761910,0.029573,0.016865,-113.266631,-99.730838,-4.356409,-4.155452,0.0008,0.0,3.386892,3.721427,3.0,0.000376,26,24,3.386892,3.721427,294.074574,261.444656,0.0,20.425,0.0,62.491,0,0,0,0,89.367401
mp-300765803,0.061603,0.121393,-118.599039,-35.296119,-5.929952,-5.882687,0.0,0.0,4.153715,4.236155,17.0,3.0,20,6,4.153715,4.236155,219.958308,70.07869,1.277,16.196,0.0,38.126,0,0,0,0,278.228891
mp-300767570,0.000741,0.007922,-397.281261,-352.28518,-7.094308,-7.339275,3.585,0.6661,3.365486,3.419099,19.000002,17.0,56,48,3.365486,3.419099,620.01801,583.327745,1.217,127.828,2.509,128.654,0,0,0,0,170.626237
mp-300771635,0.102658,0.058925,-116.33285,-109.933078,-7.270803,-7.852363,0.0,0.0,4.612114,4.325666,2.949971,2.407087,16,14,4.612114,4.325666,159.660913,164.904716,0.002,44.28,0.081,37.698,0,0,0,0,120.875781
mp-300025401,0.05592,0.0,-115.674605,-107.867522,-7.229663,-7.704823,0.1495,2.4746,3.00607,2.978432,1.0,0.0,16,14,3.00607,2.978432,186.464095,180.454846,0.011,41.247,0.123,51.144,0,0,0,0,305.049746
mp-300761981,0.089135,0.098349,-198.802901,-189.426579,-6.626763,-6.765235,2.0556,2.2183,2.428248,2.453098,9.0,5.0,30,28,2.428248,2.453098,389.146898,375.80786,0.0,113.09,0.007,126.112,0,0,0,0,183.90522
mp-300773284,0.04251,0.076131,-81.574882,-70.520401,-5.09843,-5.037171,0.6479,0.4758,5.008663,4.962526,5.999996,4.0,16,14,5.008663,4.962526,152.319515,149.090508,0.0,28.625,0.049,43.52,0,0,0,0,116.67037
mp-300018951,0.015052,0.02252,-572.749987,-85.004833,-6.818452,-7.083736,3.5133,1.5872,3.56816,3.723473,4.0,5.0,84,12,3.56816,3.723473,880.999551,134.517663,0.0,17.936,0.0,67.299,0,0,0,0,169.890533
mp-300769907,0.047822,0.069214,-92.798678,-87.115276,-5.799917,-5.807685,0.0,0.2675,4.73267,4.67406,5.0,4.0,16,15,4.73267,4.67406,149.029402,148.43222,0.144,40.571,0.907,46.625,0,0,0,0,63.100056
mp-300031962,0.04394,0.04163,-399.68883,-365.79305,-7.26707,-7.465164,2.9786,0.2415,3.240922,3.218611,44.999999,39.0,55,49,3.240922,3.218611,663.954532,647.071147,22.935,192.099,32.76,190.195,0,0,0,0,124.094409
mp-300767596,0.011355,0.078459,-206.226603,-195.538355,-7.365236,-7.520706,1.8513,0.8024,3.439087,3.370626,2.0,3.0,28,26,3.439087,3.370626,289.639335,288.683263,0.0,23.456,0.0,27.154,0,0,0,0,256.217543
mp-300768142,0.012052,0.007069,-546.537017,-542.913856,-7.807672,-7.868317,0.0,3.2491,4.522584,4.505356,1.0,0.0,70,69,4.522584,4.505356,781.441607,781.871501,7.048,159.27,4.891,148.329,0,0,0,0,12.59287
mp-300756376,0.037428,0.024199,-153.723423,-150.033147,-7.686171,-7.896481,0.0,2.8733,4.799108,4.734392,0.006927,0.0,20,19,4.799108,4.734392,224.854685,225.493795,0.652,73.285,1.021,65.77,0,0,0,0,41.242547
mp-300770234,0.007789,0.078308,-210.814964,-188.700877,-6.587968,-6.739317,0.8225,0.5188,4.301278,4.064398,8.999999,9.00001,32,28,4.301278,4.064398,286.207868,291.545372,0.075,58.309,0.0,41.214,0,0,0,0,144.606842
mp-300776857,0.049429,0.095656,-221.215512,-203.162639,-7.900554,-8.46511,0.0,0.8115,4.215326,4.249643,11.620924,8.0,28,24,4.215326,4.249643,302.992992,289.697546,0.001,51.318,0.0,64.386,0,0,0,0,139.381173
mp-300032398,0.060449,0.10927,-348.620779,-321.335177,-6.225371,-6.179523,0.0,0.0,3.18597,3.068545,1.0,1.558759,56,52,3.18597,3.068545,561.772336,568.245341,0.0,64.942,0.0,44.139,0,0,0,0,99.464
mp-300019107,0.0,0.023463,-100.840517,-89.877141,-7.202894,-7.489762,2.2191,0.0405,3.527422,3.713966,5.0,4.000001,14,12,3.527422,3.713966,166.474801,151.906402,0.0,26.33,0.0,36.624,0,0,0,0,151.576538
mp-300777941,0.045349,0.020754,-206.009056,-175.333628,-5.885973,-5.844454,1.1398,2.0941,2.845197,2.895687,6.002652,1.0,35,30,2.845197,2.895687,456.001213,428.148593,0.0,108.684,0.048,118.56,0,0,0,0,358.236026
mp-300697808,0.514188,0.522637,-250.399576,-237.759828,-6.589463,-6.60444,0.0,0.0121,2.699224,2.640321,10.679568,12.0,38,36,2.699224,2.640321,516.200186,518.985525,1.657,148.282,0.028,127.821,0,0,0,0,63.882337
mp-300766730,0.0,0.008981,-488.039392,-438.635342,-6.421571,-6.45052,1.789,0.7207,3.001909,3.041622,6.000001,7.999982,76,68,3.001909,3.041622,1061.470641,1017.296537,0.46,313.931,0.617,298.539,0,0,0,0,165.213319
mp-300765853,0.063308,0.096395,-104.879854,-94.47612,-6.554991,-6.748294,1.3928,0.0,3.343165,3.38698,4.0,3.0,16,14,3.343165,3.38698,196.511082,187.163061,0.201,49.019,0.419,53.807,0,0,0,0,135.485553
mp-300779999,0.036197,0.01427,-114.1436,-97.616551,-5.70718,-5.74215,0.9351,1.4647,4.710246,4.874843,1.0,0.0,20,17,4.710246,4.874843,230.382733,215.510939,0.0,25.592,0.0,27.358,0,0,0,0,123.036964
mp-300853271,0.00153,0.022393,-557.199093,-506.963255,-6.964989,-7.041156,1.1754,1.0579,2.967166,3.21665,8.0,6.0,80,72,2.967166,3.21665,930.371787,829.546689,0.0,127.26,0.0,175.766,0,0,0,0,249.609158
