mid,helvol,geomvol
mp-1044474,237.048,192.385
mp-1046793,214.828,215.802
mvc-16013,126.974,141.956
mp-540486,1753.098,493.180
mp-1042026,415.861,239.751
mp-715923,270.370,213.373
mvc-7826,954.809,464.266
mvc-12639,156.190,144.880
mp-1040961,3349.111,744.915
mp-27872,117.582,138.520
mp-1046527,2278.832,621.732
mvc-12394,497.655,299.359
mvc-5111,293.770,192.444
mp-565256,12230.082,871.532
mvc-5073,2544.357,540.590
mp-1046557,3064.620,691.227
mvc-10214,1803.176,680.618
mp-117,12.042,29.817
mp-1046509,2265.227,622.396
mp-1043875,186.413,191.663
mvc-4514,2167.660,574.923
mp-1043103,2796.174,630.285
mvc-11034,193.549,193.512
mp-1043541,7690.618,751.622
mvc-11476,248.166,210.360
mvc-5626,851.133,367.702
mp-1045898,260.726,251.265
mp-1044166,896.991,441.074
mp-756655,349.965,276.155
mp-1046407,3162.935,736.965
mp-25545,97.535,129.028
mvc-3748,703.959,404.284
mvc-15602,367.284,216.905
mvc-15230,105.341,134.484
mp-676282,1737.981,550.851
mvc-13125,237.518,185.056
mp-1041012,726.267,431.911
mp-1048911,109.929,140.441
mvc-3716,116.016,135.526
mp-566620,1722.456,638.853
mp-1043837,1546.541,420.493
mp-770908,75.616,115.385
mp-1047430,278.805,214.144
mp-1044743,349.274,243.656
mp-1041062,2727.776,686.252
mp-1040980,2862.534,739.616
mp-694554,1740.242,512.769
mvc-15135,610.217,431.783
mp-1042624,3934.917,857.124
mp-32334,1719.617,493.925
mp-1040887,2110.856,598.850
mp-1046897,251.012,200.533
mvc-11754,527.204,372.298
mp-555257,393.270,232.507
mp-1040936,1790.707,604.473
mvc-5466,857.850,509.973
mp-1043548,7584.354,768.838
mp-1042977,309.859,234.308
mp-776137,109.028,126.538
mp-1047312,412.425,273.296
mp-1048838,827.598,459.544
mvc-11289,250.908,212.617
mvc-14167,212.534,204.006
mp-1046926,1797.688,475.284
mp-1042809,1988.496,547.733
mvc-5721,386.810,230.709
mp-1041045,2125.170,605.035
mp-1044869,1878.641,637.094
mvc-13696,80.561,116.689
mvc-5643,740.286,333.864
mp-1047467,328.097,250.679
mp-540430,1700.228,456.731
mp-1042090,386.644,251.941
mvc-14220,215.042,195.435
mvc-11190,275.629,229.082
mvc-13593,9746.317,909.192
mp-1043213,352.815,206.889
mp-1043495,2777.115,687.631
mp-1042648,256.626,230.923
mp-1046669,179.306,150.886
mvc-14931,1279.392,511.236
mp-1043418,225.427,216.133
mp-1047762,97.068,110.549
mvc-14047,38.510,51.639
mp-1042857,345.757,206.660
mvc-12027,532.184,310.962
mp-1042810,540.251,313.092
mvc-5295,889.319,550.042
mp-1041848,125.151,149.934
mvc-13559,273.341,222.118
mp-1040943,850.519,462.099
mvc-11633,621.205,317.901
mp-1046025,200.072,175.882
mp-1043704,1934.359,509.967
mp-1042860,1017.867,544.172
mp-1045799,1198.704,432.478
mvc-14769,247.827,193.649
mvc-3728,237.344,198.877
mp-1046588,3062.293,712.584
mp-25139,384.566,253.290
mvc-11960,187.852,182.085
mp-1043471,1048.539,379.544
mp-1043121,184.960,186.186
mvc-14217,194.830,196.038
mp-570543,1511.359,545.464
mp-715584,260.951,215.324
mvc-5236,1680.563,535.697
mp-25262,98.126,133.391
mvc-12727,226.236,182.746
mp-1041181,2933.692,533.891
mp-32006,131.915,147.102
mp-557993,149.246,153.870
mp-1048882,158.832,161.754
mvc-11233,32.822,43.586
mp-19581,12745.442,785.476
mp-1041887,12120.181,861.846
mp-1041777,2579.754,1036.701
mp-1045314,113.508,136.938
mp-767563,1315.355,458.708
mp-1042940,1142.380,541.427
mvc-12846,104.050,141.918
mvc-5171,676.128,454.155
mp-1042566,20283.840,1176.020
mp-1041093,1199.157,547.857
mp-1043624,160.687,168.540
mp-1047386,253.654,207.206
mp-1045917,1456.518,479.429
mvc-5754,957.137,396.607
mvc-11840,188.125,186.884
mvc-13015,238.633,192.154
mp-1047570,872.831,377.624
mp-1044085,2171.600,517.112
mvc-5316,3676.382,668.116
mp-1048407,1969.986,563.028
mvc-7342,8640.608,988.754
mp-19067,975.604,473.296
mp-1043800,657.113,309.141
mp-1047477,1870.668,668.535
mp-1045790,1353.666,431.888
mp-1048269,1990.444,493.396
mvc-3518,725.582,423.155
mp-1044648,129.803,145.485
mvc-5444,561.178,408.684
mvc-12283,3242.379,774.819
mp-1047222,87.845,96.280
mp-25502,258.885,187.112
mp-1040999,2343.356,692.700
mp-1042297,137.251,137.206
mvc-2979,121.113,146.941
mvc-12125,95.636,129.007
mp-675435,2061.149,660.107
mp-1041600,2296.201,666.958
mp-1043361,202.280,196.394
mp-1041873,13783.924,943.627
mp-540500,1741.790,500.081
mvc-15502,183.130,179.097
mp-1042644,3810.243,1129.610
mp-540570,116.453,135.189
mvc-8398,338.624,203.447
mp-1045474,314.375,230.152
mp-1044907,793.604,450.626
mvc-11656,87.368,118.851
mp-1044071,2611.330,655.839
mvc-13808,0.009,26.209
mvc-12117,333.032,222.873
mvc-15798,197.699,198.933
mp-1048275,1989.356,497.090
mp-1043241,279.264,224.427
mvc-12005,244.204,228.596
mp-1042875,1912.380,576.010
mp-1041642,232.583,206.174
mp-1042542,7080.225,1081.061
mvc-13706,106.549,137.081
mp-1043320,167.165,180.362
mp-1042619,248.100,193.382
mvc-11375,10579.812,764.803
mp-1047621,171.472,165.312
mp-1045598,1381.321,437.073
mvc-14313,139.361,150.566
mvc-11162,9.646,45.186
mp-1041014,851.693,462.387
mvc-5220,2244.351,690.413
mp-1046704,189.880,164.928
mp-1046254,214.252,175.562
mp-1046666,190.363,158.205
mvc-14048,331.818,251.927
mvc-5088,4925.516,791.116
mvc-13744,15.799,49.201
mp-1041008,2926.211,645.144
mp-1040967,624.648,428.391
mp-1044122,767.946,340.240
mp-1043519,7838.800,773.101
mp-1041231,2505.862,520.118
mp-2646,70.327,105.667
mp-1043200,222.245,210.477
mvc-14589,91.799,126.200
mp-1041528,1775.274,587.229
mp-1042355,8775.691,980.327
mp-1046266,225.890,187.153
mp-1043188,1582.852,457.984
mp-1118309,103.606,133.936
mp-540258,1235.841,430.558
mp-1044887,2034.622,649.584
mp-1048837,724.930,443.890
mp-1043067,155.292,166.239
mp-1046746,564.315,338.756
mp-766786,191.063,192.666
mp-1042247,10065.835,1069.078
mp-1042978,468.577,323.325
mvc-3752,389.976,258.960
mp-1041464,1429.121,465.185
mp-1043783,1276.459,438.426
