Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge
mvc-1200000907,mvc-907,mvc-1031,P4W3O14,intercalation,P2_1/c,-0.4767799900000008,58.02997593006469,332.9452370351649,-27.66753134363653,-158.74162678417383,0.21133506190476226,0.41852794181818176
mvc-1200013445,mvc-13445,mvc-13808,MnN,intercalation,P-4m2,-0.32318670249999937,330.4857316654862,1335.53793299652,-106.8085938402681,-431.62810062881044,0.17135172499999918,0.524768723416666
mvc-1200000579,mvc-7780,mvc-157,WO2,intercalation,C2/m,0.3407895391666653,167.40895881892556,1292.2011153743897,57.051221928272895,440.3686226190892,0.5493224907692298,0.45706259142857064
mvc-1200005140,mvc-5140,mvc-5145,Si2WO6,intercalation,C2/c,-0.03088226499999902,148.7680265784924,813.909930493274,-4.5942936203239,-25.135382159624072,0.11484803555555523,0.4456607346249992
mvc-1200570543,mp-570543,mp-117,Sn,intercalation,Fd-3m,-0.008809333750000037,640.7239385579774,2460.996044677547,-5.64435101637174,-21.679735514994515,0.0,0.2038831883333332
mvc-1200000425,mvc-425,mvc-519,Ti3(P2O7)2,intercalation,P2_1/c,0.08415460000000141,103.92347565946768,356.8611472938307,8.745638524732385,30.03150710605391,0.14945700369160875,0.2839161432402575
mvc-1200006430,mvc-6430,mvc-6739,Ti(SiO3)2,intercalation,Pcab,0.1989854862500059,238.93691745525035,803.0055100265431,47.54497870291051,159.78644187406567,0.0476991252777772,0.18082791987500002
mvc-1200002343,mp-2343,mp-55,Sn,intercalation,Fm-3m,0.1578485799999999,640.7239385579774,2248.100783959418,101.13736387338392,354.8595164448807,0.054982090000000206,0.0
mvc-1200002354,mvc-2354,mvc-12425,TiO2,intercalation,P-1,0.15597993500000118,257.2840215288756,948.0629082826268,40.13114495461292,147.8787908098362,0.14358693857142946,0.21875886812499967
mvc-1200004871,mvc-4871,mp-25301,Ti(SiO3)2,intercalation,C2/c,0.2400036374999991,238.93691745525035,783.0868630371165,57.34572932229711,187.94369560737155,0.039459981388889176,0.16520906012499914
mvc-1200004584,mvc-10665,mvc-12404,TiO2,intercalation,P-1,0.3376707149999996,514.5680430577512,1918.156287519823,173.75455901546144,647.7052050885635,0.06085621916666639,0.10087236355769313
mvc-1200002838,mvc-2838,mvc-12627,VO2,intercalation,P-1,0.3126543200000035,249.9082230165816,990.5986054450799,78.13488552965853,309.7149333783832,0.14208926000000055,0.2759407539583343
mvc-1200007794,mvc-253,mvc-13677,MoO2,intercalation,C2/m,0.31473537249999944,191.31439532562118,1036.4717719979376,60.21340747742153,326.2143292455054,0.09088052499999755,0.1738691973076918
mvc-1200002646,mp-2646,mp-80,Sb,intercalation,P-3m1,0.40130358916666664,508.1893409366257,2000.6069304568703,203.93820649411072,802.8507417040499,0.27681376500000043,0.0
mvc-1200005982,mvc-5982,mvc-5965,WO2,intercalation,Pmnb,0.48240561375,117.55484682915618,1045.9123457511841,56.70911803390633,504.5539870808022,0.11478143208333336,0.42311577571428494
mvc-1200000483,mvc-483,mvc-610,BaTi4O8,intercalation,P-31m,0.48750283250000226,111.4186229664324,469.8190020617035,54.316894289385594,229.03809426740486,0.2185093739758006,0.21389927199999903
mvc-1200010233,mvc-10233,mvc-10292,Ti3P3O13,intercalation,P2_1/m,0.6716123375000044,114.3360425504165,358.24329431588825,76.78949679778518,240.60061628919573,0.03324277720425961,0.12734500359464285
mvc-1200011138,mvc-11138,mvc-11500,TiO2,intercalation,Pmnb,0.6250294262500019,291.26252440960326,1268.1822137257163,182.0476485198615,792.6512014254417,0.07390985333333333,0.11655160392857233
mvc-1200005801,mvc-5801,mp-715923,WO3,intercalation,Cm,0.7946968062499983,209.26952072028612,1299.271055664778,166.30581976187923,1032.5265583898629,0.0016398868749991635,0.40308285600000104
mvc-1200001904,mvc-1904,mvc-1923,Ti9O13,intercalation,C2/m,0.7241157674999988,155.9574024163925,745.9485194269871,112.93121414805223,540.1530846603606,0.1376183750000024,0.09354106958333475
mvc-1200000321,mvc-321,mvc-379,Ti2O3,intercalation,Cmcm,0.7450700299999972,171.93144901250855,813.9097422746318,128.10096987369272,606.4197560938499,0.13049300650000184,0.0792465681818193
mvc-1200009158,mvc-9158,mvc-11458,WO2,intercalation,R-3m,0.7764995625000032,60.38680646013012,498.2054928471995,46.890328797063404,386.85634723094887,0.27686013833333334,0.38517350769230774
mvc-1200675435,mvc-16492,mp-21021,Mo3Se4,intercalation,P-1,0.7860283737499997,85.3597966443359,524.4552463428735,67.09522213997803,412.2367043875443,0.0645735321428571,0.0497922880645163
mvc-1200007881,mvc-7881,mvc-7913,Cu3(SbO3)4,intercalation,Im3,0.8094326725000051,59.96019657328575,372.44267554159956,48.53374215594033,301.4672702166892,0.029089138947369086,0.21502088100000005
mvc-1200005367,mvc-5367,mvc-5346,TiP2O7,intercalation,P-1,0.8011982174999978,217.79612837013102,702.3492479486275,174.49786982854965,562.7209655189043,0.10315983375000037,0.23719376311471851
mvc-1200677217,mp-676282,mp-2164,Mo3S4,intercalation,P-1,0.8243534174999992,121.7184161580444,604.3771663712424,100.33899233257104,498.2203825570993,0.06656829857142821,0.03485022200000021
mvc-1200008440,mvc-8440,mvc-8510,Ti(Si2O5)2,intercalation,P4/ncc,0.9542451787499964,155.5928010373065,441.67535395211206,148.47368023805714,421.4665770815011,0.18307066449999887,0.16340797835937515
mvc-1200006890,mvc-6890,mvc-7131,Si2WO6,intercalation,Pcab,0.9605231437499986,148.7680265784924,737.423255109344,142.89513257865687,708.3121032719844,0.20799454763888825,0.3312115137499987
mvc-1200012394,mvc-12394,mvc-12466,TiO2,intercalation,Pnmm,0.9595762575000001,291.26252440960326,1160.7942741665365,279.4886031229695,1113.870625332154,0.15088674708333372,0.0869469896428594
mvc-1200011476,mvc-11476,mvc-11241,VS2,intercalation,R-3m,0.9915877725000007,110.61485809633358,376.25354473541245,109.68434074514708,373.088414319417,0.0005265833333325531,0.048231311538461163
mvc-1200012610,mvc-12231,mvc-12077,VO2,intercalation,C2/m,0.9705566350000012,499.8164460331632,1963.4937677284527,485.10016797960657,1905.681904050001,0.07967789583333484,0.09223777442307757
mvc-1200016768,mp-38816,mp-9027,TiS2,intercalation,Ibmm,0.9162188624999991,215.88071115775895,704.8913541610808,197.79397961265278,645.8347546955495,0.022005891666666777,0.030760063653847425
mvc-1200016779,mvc-16779,mvc-34,MnS2,intercalation,Imma,1.0554657375000005,204.24760733831883,670.5385623456976,215.57635151194918,707.7304782283918,0.012788893333333107,0.060756129999999686
mvc-1200008639,mvc-8639,mvc-8689,BiPO5,intercalation,F2dd,1.051947864999999,80.7021584419632,423.05297978898494,84.89446327391484,445.0296788709104,0.16462469982142824,0.45389137479166664
mvc-1200012952,mvc-12952,mvc-11598,NiS2,intercalation,R-3m,1.0635658075000016,103.96258775675572,383.3688647752516,110.57105359730369,407.73801623504943,0.07196980798611108,0.12337453383814179
mvc-1200011190,mvc-11190,mvc-1,NiS2,intercalation,Fd-3m,1.0226311875,198.56494640806392,730.8849689845006,203.05870694115228,747.4257637585205,0.06974231048611124,0.1772220495684529
mvc-1200001387,mvc-1387,mvc-1311,P2WO7,intercalation,P2_1/c,1.0329970949999954,140.2894601400078,665.93396702367,144.9186047837457,687.9078533972738,0.20020388849999904,0.3410966486363636
mvc-1200008387,mvc-8387,mvc-8319,Cu3(WO3)4,intercalation,P-1,1.0505723675000063,46.92564281489995,388.7130929528363,49.2987836685091,408.3712343417112,0.16801323210526142,0.2580534212884613
mvc-1200012657,mvc-12603,mvc-12639,FeO2,intercalation,C2/m,1.7979990758333326,358.4721684478148,1354.8079889620528,644.5326275811417,2435.943512085387,0.1522856802884629,0.13674796500000053
mvc-1200013559,mvc-13559,mvc-14047,MnS2,intercalation,R-3m,1.0656700975,107.08231785508158,365.2931476921494,114.11442410915078,389.2819843171747,0.0,0.02524237153846265
mvc-1200009760,mvc-9760,mvc-9702,Ti2P2O9,intercalation,Pmcn,1.0943812462499984,164.43579322022458,529.1739202838345,179.9554483124564,579.1180143632201,0.06469367846153773,0.1328090969829958
mvc-1200012953,mvc-12953,mvc-11234,FeS2,intercalation,R-3m,1.0287864024999998,106.31184676820021,392.5984468261203,109.37218237978792,403.8999437373318,0.20260270500000033,0.2118063761538478
mvc-1200006035,mvc-6035,mvc-6071,SnO2,intercalation,Cmcm,1.0935070700000011,164.56630488569226,958.9904706378915,179.95441787628022,1048.6628597051629,0.3050671533333338,0.3975566989285717
mvc-1200005993,mvc-5993,mvc-4323,SnO2,intercalation,Imma,1.1280168975000002,164.56630488569226,875.914797137052,185.6335726701977,988.0466919408794,0.19165878750000065,0.2904895775000007
mvc-1200012970,mvc-12970,mvc-13558,FeS2,intercalation,Fd-3m,1.1664474899999995,202.84560254209148,740.8299175760784,236.60874394276013,864.1391978735231,0.24776432333333265,0.21907345642857123
mvc-1200014048,mvc-14048,mvc-12727,VS2,intercalation,I4_1/amd,1.1180023924999993,210.6637297198657,663.3697738251968,235.52255383978306,741.6489942487535,0.07388917499999881,0.11482020357142808
mvc-1200012366,mvc-12366,mvc-11600,TiO2,intercalation,R-3m,1.1123210675000017,155.92764164853057,578.9479373905958,173.44160081125125,643.9759877452317,0.15142285083333284,0.1197243327884614
mvc-1200009654,mvc-9654,mvc-9655,Pr(WO3)2,intercalation,Pc,1.1193533075000026,85.23437433003548,696.5861576250737,95.40737881901853,779.7260194963444,0.10509917625000043,0.1824063504999991
mvc-1200010153,mvc-10153,mvc-10117,P2W2O9,intercalation,Pmcn,1.1274535750000005,89.64798977702905,492.89283371745194,101.0739465656749,555.713787466622,0.044996742115383626,0.15615674660714163
mvc-1200004650,mvc-4650,mvc-4715,TiO2,intercalation,Cm,1.158754498124999,291.26252440960326,1144.8997218689785,337.5017602948701,1326.6577026177392,0.1841223029166663,0.05852654017857262
mvc-1200006041,mvc-6041,mvc-11423,TiO2,intercalation,Cmcm,1.1327567374999994,291.26252440960326,1268.9242600757461,329.9295869062361,1437.382504978003,0.14720832749999957,0.0343139214285717
mvc-1200009736,mvc-9736,mvc-9726,TiO2,intercalation,P3m1,1.2291791624999995,291.26252440960326,1145.180754881261,358.0138258214318,1407.6323211960655,0.1723953738888877,0.02835355404761941
mvc-1200002347,mvc-2347,mvc-2220,P4WO12,intercalation,C2/c,1.2524872849999975,102.28932194678067,367.4194068022033,128.116075129614,460.1881352820012,0.026948733823529913,0.17334359944444522
mvc-1200008070,mvc-8070,mvc-8064,Ti(GeO3)2,intercalation,C2/c,1.2070533324999992,171.01049072115342,769.3648884510972,206.41878271742843,928.664452513387,0.030407825277777967,0.13223208575000012
mvc-1200006075,mvc-6075,mvc-6033,SbO2,intercalation,Cmcm,1.2712407675000001,161.54103035706544,925.2123531109984,205.3575434138567,1176.1676618693068,0.27681073749999996,0.47078912785714255
mvc-1200008358,mvc-8358,mvc-8590,Mo2O5,intercalation,Cmcm,1.2817836625000003,180.97981882680372,738.6224961928438,231.97697501440697,946.7542483749558,0.11646418760203936,0.3419090106249989
mvc-1200000857,mvc-857,mp-32416,V3(P2O7)2,intercalation,P2_1/c,1.2772214874999968,102.09774481024226,347.6981410792669,130.4014334969327,444.087536950245,0.02182277049450576,0.0698596281534094
mvc-1200009476,mvc-9476,mvc-5331,SbO2,intercalation,P3m1,1.2694248633333345,161.54103035706544,847.9833899608645,205.06420038374384,1076.451198910008,0.1668002125000001,0.37701322190476194
mvc-1200006370,mvc-6370,mvc-5659,SnO2,intercalation,P2_1/c,1.247175819999999,164.56630488569226,894.8109698395689,205.24311624018307,1115.9866050546586,0.08614069750000031,0.16600009392857196
mvc-1200013666,mvc-13666,mvc-15363,SnO2,intercalation,P-1,1.2766224850000008,306.2785031795229,1430.5823996296317,391.00202383112315,1826.3136580124446,0.0686384775000013,0.17692094062500008
mvc-1200000899,mvc-899,mvc-1011,TiP2O7,intercalation,P2_1/c,1.2179182749999988,217.79612837013102,692.5096323813917,265.2578849662283,843.420136890828,0.13583880250000036,0.1911346333419912
mvc-1200009460,mvc-9460,mvc-5171,TiO2,intercalation,P3m1,1.2222222716666664,291.26252440960326,1140.6862383303192,355.98754423527316,1394.172125470987,0.17114497722222133,0.02926946857142987
mvc-1200011755,mvc-11755,mvc-11754,V2S5,intercalation,Pmnm,1.2156423099999998,187.08737369599422,527.6850329000179,227.4313271316316,641.4762523470035,0.24180070625000116,0.2538497831250002
mvc-1200010263,mvc-10263,mvc-10331,Sn3P3O13,intercalation,P2_1/m,1.2688055775000002,78.67187760913346,303.75227726300676,99.81931710286592,385.4025835696295,0.08520227835526217,0.16852769831250036
mvc-1200009561,mvc-9561,mvc-11115,TiO2,intercalation,R3m,1.2108885974999986,291.26252440960326,1147.6269898698993,352.6864696866536,1389.6484362167073,0.181589499166666,0.0414601085714299
mvc-1200006307,mvc-6307,mvc-5746,SbO2,intercalation,Pcmb,1.3600366237500021,161.54103035706544,900.710706832438,219.70171752391988,1224.999548695867,0.15516050083333432,0.34114725178571437
