,Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,P_vol,Sn_vol,As_vol,N_vol,V_vol,Mo_vol,Mn_vol,Ni_vol,Bi_vol,Te_vol,Fe_vol,Ti_vol,Nb_vol,S_vol,Ge_vol,F_vol,Ta_vol,Sb_vol,Cr_vol,Si_vol,Co_vol,Mg_vol,W_vol,Sr_vol,Se_vol,Pr_vol,Ba_vol,O_vol,Cu_vol,P_vol_dis,Sn_vol_dis,As_vol_dis,N_vol_dis,V_vol_dis,Mo_vol_dis,Mn_vol_dis,Ni_vol_dis,Bi_vol_dis,Te_vol_dis,Fe_vol_dis,Ti_vol_dis,Nb_vol_dis,S_vol_dis,Ge_vol_dis,F_vol_dis,Ta_vol_dis,Sb_vol_dis,Cr_vol_dis,Si_vol_dis,Co_vol_dis,Mg_vol_dis,W_vol_dis,Sr_vol_dis,Se_vol_dis,Pr_vol_dis,Ba_vol_dis,O_vol_dis,Cu_vol_dis,helvol,geomvol,helvol_dis,geomvol_dis,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity,energy_dis,energy_per_atom_dis,volume_dis,formation_energy_per_atom_dis,nsites_dis,band_gap_dis,density_dis,total_magnetization_dis,elasticity_dis,elneg_r2.0,diselneg_r2.0,elneg_r2.25,diselneg_r2.25,elneg_r2.5,diselneg_r2.5,elneg_r2.75,diselneg_r2.75,elneg_r3.0,diselneg_r3.0,elneg_r3.25,diselneg_r3.25,elneg_r3.5,diselneg_r3.5,elneg_r3.75,diselneg_r3.75,elneg_r4.0,diselneg_r4.0,elneg_r4.25,diselneg_r4.25,elneg_r4.5,diselneg_r4.5,elneg_r4.75,diselneg_r4.75,elneg_r5.0,diselneg_r5.0,elneg_r5.25,diselneg_r5.25,elneg_r5.5,diselneg_r5.5,elneg_r5.75,diselneg_r5.75,elneg_r6.0,diselneg_r6.0,elneg_r6.25,diselneg_r6.25,elneg_r6.5,diselneg_r6.5,elneg_r6.75,diselneg_r6.75,elneg_r7.0,diselneg_r7.0,elneg_r7.25,diselneg_r7.25,elneg_r7.5,diselneg_r7.5,elneg_r7.75,diselneg_r7.75,elneg_r8.0,diselneg_r8.0,elneg_r8.25,diselneg_r8.25,elneg_r8.5,diselneg_r8.5,elneg_r8.75,diselneg_r8.75,elneg_r9.0,diselneg_r9.0,elneg_r9.25,diselneg_r9.25,elneg_r9.5,diselneg_r9.5,elneg_r9.75,diselneg_r9.75,elneg_r10.0,diselneg_r10.0,elneg_r10.25,diselneg_r10.25,elneg_r10.5,diselneg_r10.5,elneg_r10.75,diselneg_r10.75,elneg_r11.0,diselneg_r11.0,elneg_r11.25,diselneg_r11.25,elneg_r11.5,diselneg_r11.5,elneg_r11.75,diselneg_r11.75,elneg_r12.0,diselneg_r12.0,elneg_r12.25,diselneg_r12.25,elneg_r12.5,diselneg_r12.5,elneg_r12.75,diselneg_r12.75,elneg_r13.0,diselneg_r13.0,elneg_r13.25,diselneg_r13.25,elneg_r13.5,diselneg_r13.5,elneg_r13.75,diselneg_r13.75,elneg_r14.0,diselneg_r14.0,elneg_r14.25,diselneg_r14.25,elneg_r14.5,diselneg_r14.5,elneg_r14.75,diselneg_r14.75,elneg_r15.0,diselneg_r15.0
0,mvc-1200540570,mvc-12771,mp-540570,Mg0.5 –1VO3,intercalation,Ccmm,2.58,217,612,561,1580,0.02,0.0,0.0,0.0,0.0,0.0,13.759406438035278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.759406438035278,0.0,0.0,0.0,0.0,0.0,41.27821931410585,0.0,0.0,0.0,0.0,0.0,14.178749478303454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089374739151727,0.0,0.0,0.0,0.0,0.0,42.53624843491036,0.0,116.453,135.189,98.986,128.361,-64.4849291,-7.164992122222222,141.0561631729534,-2.519101714166668,9,2.3412,2.6155955328701217,0.0,2.6155955328701217,-71.23128048,-7.123128048,145.35510735923737,-2.78139318475,10,2.6932,2.815898794905086,0.9998577,2.815898794905086,0.43993000000000004,0.26509699999999997,0.12206199999999999,0.12409200000000001,0.45309499999999997,0.8153520000000001,0.309313,0.9488719999999999,1.538583,0.823258,0.161667,0.015327,0.08505700000000001,0.42605,0.538714,0.260048,0.13683199999999998,0.105111,0.207828,0.177574,0.0069180000000000005,0.0392,1e-06,2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mvc-1200001234,mp-1048259,mp-32334,Mg0 –1NiP2O7,intercalation,P21/c,4.44,209,732,926,3250,0.16,0.0,15.45792846399278,0.0,0.0,0.0,0.0,0.0,0.0,7.72896423199639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.10274962397472,0.0,16.254766062542437,0.0,0.0,0.0,0.0,0.0,0.0,8.127383031271219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.127383031271219,0.0,0.0,0.0,0.0,0.0,56.89168121889853,0.0,1719.6170000000004,493.925,1955.194,466.774,-295.61373372,-6.718493948181819,492.16334269093176,-2.5663427539123376,44,3.9661,3.4676435784437487,2.00004755,3.4676435784437487,-253.51141814,-6.3377854535,517.5337703648295,-1.930852635803572,40,0.06180000000000002,2.9857171412592884,4.009803975,2.9857171412592884,0.059743,0.073026,0.042645999999999996,0.058645,0.278855,0.27571599999999996,0.187872,0.156255,0.210792,0.32898,0.28174099999999996,0.244606,0.368004,0.29930500000000004,0.254073,0.277437,0.356952,0.398362,0.308283,0.33127199999999996,0.319688,0.30894099999999997,0.327336,0.344326,0.179447,0.163295,0.190056,0.22567800000000002,0.263682,0.17672000000000002,0.14637,0.1506,0.075292,0.061314999999999995,0.041589999999999995,0.053140999999999994,0.021471,0.034898,0.031265,0.034919,0.026647000000000004,0.002561,0.027191000000000003,1e-06,0.0010019999999999999,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mvc-1200000091,mvc-91,mvc-14769,Mg0 –0.5CrS2,intercalation,Fd3m,1.65,209,670,345,1107,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.62991991128058,0.0,0.0,0.0,0.0,18.31495995564029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.12856903003452,0.0,0.0,0.0,0.0,15.06428451501726,0.0,0.0,7.53214225750863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.827,193.649,328.084,242.047,-87.51990169,-6.2514215492857135,265.52870772007043,-1.2892191458928568,14,1.0583,3.2088676983448168,5.99998885,3.2088676983448168,-77.74379823,-6.478649852499999,218.40069591679105,-0.9568028752083334,12,0.0,3.5317089408251965,2.0420449,3.5317089408251965,0.002304,0.000143,0.713708,0.261301,0.426809,0.9522370000000001,0.0004940000000000001,0.007039,0.020625,0.062270000000000006,1.207419,0.740872,0.41417299999999996,0.268491,0.0013039999999999998,0.197222,0.15925699999999998,0.028803,0.231607,0.390085,0.027712,0.27842100000000003,0.220306,0.132287,0.003511,0.058321000000000005,0.0,5.4000000000000005e-05,0.0059229999999999994,0.0,0.429658,0.007872,0.060167,0.369856,1.6e-05,0.085935,0.0,0.020943,0.0,0.054247000000000004,0.0,0.024902,0.0,3.4e-05,0.0,0.0,2.2e-05,0.0,0.023938,7.8e-05,0.050841000000000004,0.032417,0.00020800000000000001,0.026129000000000003,0.0,4.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mvc-1200011622,mp-18900,mp-776137,Mg0 –0.5VO2,intercalation,Fd3m,2.36,282,1129,665,2664,0.1,0.0,0.0,0.0,0.0,0.0,27.56475630085644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.12951260171288,0.0,0.0,0.0,0.0,0.0,25.37055483065056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.68527741532528,0.0,0.0,0.0,0.0,0.0,50.74110966130112,0.0,109.028,126.538,137.52700000000002,152.408,-104.73650948,-7.481179248571428,157.66308725607917,-2.717388129285713,14,0.0,4.006145244801388,3.9999979,4.006145244801388,-92.11240838,-7.676034031666667,145.11283743421743,-2.385666885833333,12,0.8155000000000001,3.796372769617872,1.00000005,3.796372769617872,0.46814700000000004,0.89223,0.092908,0.161934,0.0651,0.012602,1.351932,0.8481620000000001,0.649465,0.635491,0.292497,0.050985,0.41455299999999995,0.273008,0.168775,0.292559,0.239271,0.119374,0.053524,0.104029,0.000118,0.000207,0.006235,0.000991,0.12506,0.27915999999999996,0.072324,0.168993,9.2e-05,0.030074,0.0,0.058507,0.0,0.000799,0.0,0.0,0.0,0.0,0.0,0.00010400000000000001,0.0,0.040369,0.0,0.030376999999999998,0.0,4.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,mvc-1200006900,mp-1041848,mp-776137,Mg0 –0.5VO2,intercalation,Imma,2.11,282,1131,594,2385,0.1,0.07,0.0,0.0,0.0,0.0,27.56475630085644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.12951260171288,0.0,0.0,0.0,0.0,0.0,25.492619945715894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.746309972857947,0.0,0.0,0.0,0.0,0.0,50.985239891431796,0.0,109.028,126.538,125.151,149.934,-103.72567383,-7.408976702142858,156.90815649853243,-2.6451855828571422,14,1.3261000000000005,4.0254199742481545,3.9996595,4.0254199742481545,-92.11240838,-7.676034031666667,145.11283743421743,-2.385666885833333,12,0.8155000000000001,3.796372769617872,1.00000005,3.796372769617872,0.46814700000000004,0.628505,0.092908,0.21349200000000002,0.0651,0.003177,1.351932,0.617405,0.649465,0.918056,0.292497,0.026541000000000002,0.41455299999999995,0.28317,0.168775,0.361509,0.239271,0.125424,0.053524,0.11377000000000001,0.000118,0.000226,0.006235,0.000553,0.12506,0.250564,0.072324,0.246671,9.2e-05,0.046682,0.0,0.076024,0.0,0.001016,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.011049,0.0,0.075175,0.0,0.000987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,mvc-1200010960,mp-566152,mvc-11632,Mg0 –1VBiO5,intercalation,P21/c,4.2,147,762,618,3203,0.29,0.0,0.0,0.0,0.0,0.0,8.166585823578448,0.0,0.0,0.0,8.166585823578448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.83292911789224,0.0,0.0,0.0,0.0,0.0,8.5659207290505,0.0,0.0,0.0,8.5659207290505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5659207290505,0.0,0.0,0.0,0.0,0.0,42.82960364525249,0.0,866.79,468.032,905.502,442.951,-213.73587772,-6.67924617875,466.9667309007872,-2.420071792656249,32,3.1101,5.1807374292757045,0.00039515,5.1807374292757045,-173.75328165,-6.205474344642857,489.8007669804018,-1.5670371833928567,28,0.12879999999999994,4.609617966616544,1.000000075,4.609617966616544,0.030583,0.062246,0.15662,0.132427,0.056379,0.070278,0.16353099999999998,0.347301,0.49036,0.45598999999999995,0.305692,0.23220100000000002,0.21070500000000003,0.090137,0.162741,0.15323900000000001,0.25561999999999996,0.188031,0.313697,0.384773,0.246705,0.23197399999999999,0.295218,0.313284,0.251558,0.137985,0.350889,0.20865999999999998,0.17269400000000001,0.282029,0.14431,0.17631,0.064873,0.076891,0.127641,0.093236,0.052584000000000006,0.075003,0.075363,0.175531,0.032615,0.102266,0.016878,0.010201,0.022583000000000002,8e-06,0.000162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,mvc-1200002206,mp-1045790,mvc-2213,MgFe(PO3)4,intercalation,C2/c,4.03,135,400,546,1614,0.06,0.0,17.398704859723143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.349676214930786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.196114579169425,0.0,17.788277413418072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447069353354518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447069353354518,0.0,0.0,0.0,0.0,0.0,53.36483224025421,0.0,1206.397,435.824,1353.6660000000004,431.888,-256.87216605,-7.135337945833332,449.73438484636137,-2.703715821031746,36,4.2169,2.9245542706112992,3.9997588,2.9245542706112992,-237.52141514,-6.985923974705884,459.8043397195313,-2.3879908402100845,34,0.6860999999999999,2.6849546784656653,3.99999985,2.6849546784656653,0.037032,0.041749,0.030898000000000002,0.066275,0.40268899999999996,0.382558,0.206696,0.10992,0.20318599999999998,0.295073,0.316949,0.274825,0.200125,0.294756,0.22584,0.268079,0.390237,0.351458,0.285065,0.30101999999999995,0.24622199999999997,0.256824,0.29283000000000003,0.262266,0.211364,0.213637,0.224379,0.211362,0.169217,0.206954,0.107394,0.154756,0.177041,0.067044,0.07535,0.072127,0.085423,0.05996,0.051565999999999994,0.033144,0.001831,0.018065,0.002875,0.02249,0.041989,0.033042,0.013784000000000001,0.002613,1.9e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mvc-1200554955,mp-554955,mvc-11142,Mg0 –1CrF6,intercalation,R3,5.2,282,837,1466,4353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.00683134372815,0.0,0.0,8.66780522395469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.354983895484466,0.0,0.0,9.39249731591408,0.0,0.0,9.39249731591408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.133,102.448,54.754,94.477,-42.80150593,-5.35018824125,106.46795696237896,-3.1312707883924995,8,1.5334000000000003,2.9679023212980886,1.9999895,2.9679023212980886,-30.80272163,-4.400388804285714,115.36945906864176,-2.093673852448571,7,2.0818,2.389081976030751,0.0,2.389081976030751,1.1e-05,0.45693500000000004,0.094822,0.026827999999999998,1.516142,0.562021,0.046801,0.7194520000000001,0.012766,0.10307000000000001,0.7172270000000001,0.604668,0.07781,0.006968000000000001,1.6e-05,0.0,0.0,1e-06,0.00010800000000000001,0.028079000000000003,0.26553899999999997,1.3362049999999999,1.257264,0.12275699999999999,0.011493000000000001,2.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.004143,0.0,0.028472000000000004,0.0,0.00037799999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mvc-1200002204,mp-1045786,mp-32343,MgNi(PO3)4,intercalation,C2/c,4.98,134,411,670,2050,0.1,0.0,17.864892793838166,0.0,0.0,0.0,0.0,0.0,0.0,4.4662231984595415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.59467838151449,0.0,18.288377190501105,0.0,0.0,0.0,0.0,0.0,0.0,4.572094297625276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.572094297625276,0.0,0.0,0.0,0.0,0.0,54.865131571503326,0.0,1215.659,426.482,1337.317,420.078,-248.97839021,-6.916066394722222,437.4362971994672,-2.601652982142857,36,4.4540000000000015,3.0284006679998416,2.00019935,3.0284006679998416,-225.83058293,-6.6420759685294115,447.80565393369193,-2.1682461763865546,34,0.4399,2.778021137035596,2.00000035,2.778021137035596,0.01379,0.050445,0.034431,0.047923,0.404998,0.389156,0.24878899999999998,0.13676300000000002,0.200207,0.288129,0.304871,0.351715,0.192695,0.24132399999999998,0.25657199999999997,0.316608,0.357709,0.330329,0.282522,0.321737,0.25536,0.22597199999999998,0.312525,0.25955700000000004,0.232435,0.204344,0.21921,0.229377,0.128838,0.222219,0.10618,0.12338900000000001,0.16302,0.041407,0.101022,0.06819,0.070681,0.041754,0.045226,0.031162,0.00309,0.044338999999999996,0.007170999999999999,0.022580000000000003,0.054777,0.01153,0.003878,5e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,mvc-1200016516,mp-555257,mvc-11923,Mg1.5 –2BiPO6,intercalation,Ccmm,4.39,70,349,306,1533,0.16,0.0,7.757479205368438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.757479205368438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.636218808052654,0.0,0.0,0.0,0.0,0.0,46.544875232210636,0.0,7.837286673439458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.837286673439458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.674573346878915,0.0,0.0,0.0,0.0,0.0,47.02372004063674,0.0,380.79,234.899,393.27,232.507,-130.43298425,-6.5216492125,255.19035902795216,-2.7300355409642862,20,3.6187,5.004717489154001,0.0002268,5.004717489154001,-120.05212361,-6.318532821578947,257.81570882148577,-2.411799217857143,19,0.0,4.797210601235516,1.9886505,4.797210601235516,0.173238,0.16500499999999999,0.19788499999999998,0.21143,0.46618100000000007,0.409761,0.170626,0.18501099999999998,0.508624,0.586779,0.521195,0.553983,0.257425,0.22648400000000002,0.55061,0.5243770000000001,0.530149,0.5378970000000001,0.2666,0.202502,0.030608,0.04753,0.027007,0.037761,0.086801,0.134852,0.042287,0.017799000000000002,0.014506999999999999,0.01407,0.022547,0.042546,0.05973099999999999,0.036866,0.07032100000000001,0.064331,0.003658,0.001015,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
