,Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,Co_vol,Cl_vol,H_vol,Zr_vol,U_vol,Pr_vol,Sr_vol,Cs_vol,V_vol,Ga_vol,Re_vol,Se_vol,Bi_vol,Nb_vol,C_vol,Ge_vol,P_vol,As_vol,Mn_vol,Fe_vol,Y_vol,O_vol,Ca_vol,Rb_vol,Zn_vol,Sc_vol,Pt_vol,La_vol,Sb_vol,Ti_vol,Au_vol,K_vol,Ni_vol,Mg_vol,Al_vol,Mo_vol,Na_vol,Te_vol,In_vol,Sn_vol,Pd_vol,F_vol,Ba_vol,Cr_vol,S_vol,Cu_vol,B_vol,Li_vol,Si_vol,W_vol,Co_vol_dis,Cl_vol_dis,H_vol_dis,Zr_vol_dis,U_vol_dis,Pr_vol_dis,Sr_vol_dis,Cs_vol_dis,V_vol_dis,Ga_vol_dis,Re_vol_dis,Se_vol_dis,Bi_vol_dis,Nb_vol_dis,C_vol_dis,Ge_vol_dis,P_vol_dis,As_vol_dis,Mn_vol_dis,Fe_vol_dis,Y_vol_dis,O_vol_dis,Ca_vol_dis,Rb_vol_dis,Zn_vol_dis,Sc_vol_dis,Pt_vol_dis,La_vol_dis,Sb_vol_dis,Ti_vol_dis,Au_vol_dis,K_vol_dis,Ni_vol_dis,Mg_vol_dis,Al_vol_dis,Mo_vol_dis,Na_vol_dis,Te_vol_dis,In_vol_dis,Sn_vol_dis,Pd_vol_dis,F_vol_dis,Ba_vol_dis,Cr_vol_dis,S_vol_dis,Cu_vol_dis,B_vol_dis,Li_vol_dis,Si_vol_dis,W_vol_dis,helvol,geomvol,helvol_dis,geomvol_dis,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity,energy_dis,energy_per_atom_dis,volume_dis,formation_energy_per_atom_dis,nsites_dis,band_gap_dis,density_dis,total_magnetization_dis,elasticity_dis,elneg_r2.0,diselneg_r2.0,elneg_r2.25,diselneg_r2.25,elneg_r2.5,diselneg_r2.5,elneg_r2.75,diselneg_r2.75,elneg_r3.0,diselneg_r3.0,elneg_r3.25,diselneg_r3.25,elneg_r3.5,diselneg_r3.5,elneg_r3.75,diselneg_r3.75,elneg_r4.0,diselneg_r4.0,elneg_r4.25,diselneg_r4.25,elneg_r4.5,diselneg_r4.5,elneg_r4.75,diselneg_r4.75,elneg_r5.0,diselneg_r5.0,elneg_r5.25,diselneg_r5.25,elneg_r5.5,diselneg_r5.5,elneg_r5.75,diselneg_r5.75,elneg_r6.0,diselneg_r6.0,elneg_r6.25,diselneg_r6.25,elneg_r6.5,diselneg_r6.5,elneg_r6.75,diselneg_r6.75,elneg_r7.0,diselneg_r7.0,elneg_r7.25,diselneg_r7.25,elneg_r7.5,diselneg_r7.5,elneg_r7.75,diselneg_r7.75,elneg_r8.0,diselneg_r8.0,elneg_r8.25,diselneg_r8.25,elneg_r8.5,diselneg_r8.5,elneg_r8.75,diselneg_r8.75,elneg_r9.0,diselneg_r9.0,elneg_r9.25,diselneg_r9.25,elneg_r9.5,diselneg_r9.5,elneg_r9.75,diselneg_r9.75,elneg_r10.0,diselneg_r10.0,elneg_r10.25,diselneg_r10.25,elneg_r10.5,diselneg_r10.5,elneg_r10.75,diselneg_r10.75,elneg_r11.0,diselneg_r11.0,elneg_r11.25,diselneg_r11.25,elneg_r11.5,diselneg_r11.5,elneg_r11.75,diselneg_r11.75,elneg_r12.0,diselneg_r12.0,elneg_r12.25,diselneg_r12.25,elneg_r12.5,diselneg_r12.5,elneg_r12.75,diselneg_r12.75,elneg_r13.0,diselneg_r13.0,elneg_r13.25,diselneg_r13.25,elneg_r13.5,diselneg_r13.5,elneg_r13.75,diselneg_r13.75,elneg_r14.0,diselneg_r14.0,elneg_r14.25,diselneg_r14.25,elneg_r14.5,diselneg_r14.5,elneg_r14.75,diselneg_r14.75,elneg_r15.0,diselneg_r15.0
0,mp-300774697,mp-774697,mp-37399,NbO6,intercalation,P-1,0.13441497000000258,109.64855714930908,327.06390809219846,14.738407519767945,43.962285394296465,0.03399263000000108,0.0642772166666683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.455457063774617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.732742382647714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.18819944642233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.348940777522322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09364466513394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.791526220178575,0.0,0.0,0.022,36.215,0.0,24.493,-84.83432384,-5.655621589333332,136.0740316561848,-2.2732608215,15,0.0,2.98283844336439,1.0,2.98283844336439,-82.76390471,-5.911707479285715,134.12993884156455,-2.424033274464286,14,3.5111,2.9401418855251533,1e-07,2.9401418855251533,0.42178999999999994,0.39850399999999997,0.37946799999999997,0.471254,0.32300100000000004,0.341588,0.515595,0.420038,0.5870609999999999,0.689603,0.490543,0.66762,0.434346,0.41203900000000004,0.298597,0.21449200000000002,0.185657,0.111925,0.108795,0.080564,0.034446,0.045523,0.013425,0.009436,0.014797,0.004905,0.035366,0.030429,0.06669,0.06099400000000001,0.040746,0.035039999999999995,0.010967,0.005767,0.015569999999999999,0.000272,0.01711,4e-06,0.005509,0.0,0.000508,0.0,1.3000000000000001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,mp-300571584,mp-571584,mp-10184,MgSbPt,intercalation,F-43m,0.29064492000000103,76.99584116142431,636.7908674809397,22.378450094694948,185.0800307357289,0.0,0.0802808917500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.578125298419746,0.0,15.578125298419746,0.0,0.0,0.0,0.0,15.578125298419746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.308330136706145,0.0,14.308330136706145,0.0,0.0,0.0,0.0,14.308330136706145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.308330136706145,0.0,0.0,0.409,17.051,0.006,26.209,-16.12683552,-4.03170888,69.88935748935728,-0.6075881975000001,4,0.0,8.270458553315791,0.0012050999999999993,8.270458553315791,-13.92733502,-4.642445006666667,64.19257650350525,-0.7129416466666664,3,0.0,8.824871407459812,0.0,8.824871407459812,0.004577,0.001217,0.10531800000000001,0.041667,0.6981350000000001,0.409482,1.385275,1.169366,1.055008,1.074344,0.560582,0.520829,0.17261400000000002,0.19528800000000002,0.01794,0.030858,0.000546,0.0014810000000000001,5e-06,2.1e-05,0.0,0.0,0.0,6.1e-05,0.0,0.003102,0.0,0.045433999999999995,0.0,0.190657,0.0,0.229221,0.0,0.078957,0.0,0.007792,0.0,0.00022,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,mp-300007554,mp-7554,mp-5549,MgSnAu,intercalation,F-43m,0.30287679,77.25494028000294,588.6802568345993,23.39872832364898,178.297586526439,0.0,0.0633648781249998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.412979388321636,0.0,0.0,14.412979388321636,0.0,0.0,0.0,0.0,0.0,14.412979388321636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,13.22731196361343,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,0.002,22.766,0.002,24.807,-12.41867052,-3.10466763,75.601150313145,-0.40583595875,4,0.0,7.619969633999458,6e-07,7.619969633999458,-10.20697208,-3.402324026666667,69.3819073112855,-0.4398726816666662,3,0.0,8.13688597045998,2e-06,8.13688597045998,0.0015019999999999999,0.000334,0.049614,0.016621,0.470577,0.23717399999999997,1.3042120000000001,0.9808680000000001,1.210408,1.28607,0.6590560000000001,0.870516,0.262283,0.482545,0.040457,0.117032,0.001866,0.008654,2.5e-05,0.000185,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,mp-300778808,mp-778808,mp-761986,La3Nb2O12,intercalation,I2_13,0.3559515825000057,32.05274934159484,166.038989018001,11.4092268516167,59.10184089765852,0.05407641151515108,0.07969325885869427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.472620293624316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.835721761745894,0.0,0.0,0.0,0.0,0.0,11.208930440436477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68155073406079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.461604089369558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.76962453621734,0.0,0.0,0.0,0.0,0.0,11.192406134054336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.38481226810867,0.0,0.0,8.535,265.432,19.05,262.60200000000003,-664.38699922,-7.2215978176086955,1072.1555183284902,-2.9967773335869565,92,0.0,5.180179682690917,0.93849535,5.180179682690917,-655.01775257,-7.443383551931817,1070.5749369903951,-3.1132518027272726,88,3.5219,5.1447636559728736,0.0,5.1447636559728736,0.031426,0.033112,0.044834,0.048995,0.079305,0.076919,0.140774,0.136993,0.180829,0.191241,0.146145,0.146825,0.098801,0.09300900000000001,0.11622,0.11386099999999999,0.177521,0.172032,0.215058,0.217613,0.231357,0.233802,0.224516,0.22725,0.210466,0.211234,0.213117,0.20754899999999998,0.22563899999999998,0.22520300000000001,0.204596,0.20812399999999998,0.145201,0.142801,0.12471600000000001,0.123244,0.137507,0.143901,0.142019,0.15001199999999998,0.147432,0.14866300000000002,0.150311,0.14413499999999999,0.12018399999999999,0.11356600000000001,0.084227,0.078998,0.078308,0.075187,0.073163,0.070449,0.062748,0.063378,0.055398,0.059251,0.046454,0.049747,0.034762,0.036558999999999994,0.025446,0.025454,0.013674,0.013926,0.005719,0.005594,0.0057090000000000005,0.005794,0.004502,0.004169,0.001643,0.001184,0.00026000000000000003,0.000202,1.6e-05,1.9e-05,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,mp-300766028,mp-766028,mp-776444,KTi2(PO5)2,intercalation,P1,0.4172295200000001,18.33457170806333,50.16363130640282,7.649724553160846,20.92974781142743,0.018146479895833068,0.04353758610842552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.967691419248276,0.0,0.0,0.0,0.0,44.83845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.967691419248276,0.0,4.483845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.483845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.017187076534231,0.0,0.0,0.0,0.0,45.085935382671146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.017187076534231,0.0,4.508593538267116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.635741922833893,0.0,0.0,4.245,216.828,1.045,217.691,-485.40258919,-7.467732141384616,887.1946353224392,-3.0139908829611737,65,0.005599999999999827,2.7360134558403377,1.0006824,2.7360134558403377,-483.07650409,-7.54807037640625,892.0913561798947,-3.0545514834761915,64,3.1523000000000003,2.7080754027928804,1.35e-06,2.7080754027928804,0.02768,0.025965,0.056302,0.056018,0.13073099999999999,0.128142,0.192349,0.18954100000000002,0.156912,0.15773299999999998,0.114691,0.115098,0.101349,0.103467,0.11227999999999999,0.12225,0.172742,0.18141,0.21590700000000002,0.214216,0.218942,0.220415,0.234391,0.23152399999999998,0.256632,0.247538,0.256348,0.25453600000000004,0.20838600000000002,0.21134099999999997,0.18406199999999998,0.18263800000000002,0.219885,0.221881,0.246687,0.24753899999999998,0.216766,0.21204299999999998,0.167248,0.161847,0.14275,0.13989100000000002,0.117245,0.117987,0.087818,0.093649,0.056674,0.059146000000000004,0.031049,0.030871,0.016131,0.015149000000000001,0.017491999999999997,0.016212,0.023878,0.023777,0.013675999999999999,0.014662,0.002794,0.0032530000000000002,0.000197,0.00025699999999999996,5e-06,7.000000000000001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,mp-300010179,mp-10179,mp-10183,MgSbPd,intercalation,F-43m,0.4378349500000001,103.31070266619456,630.252676813141,45.23303633631817,275.9466492398478,0.0,0.06638028083333403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.398,17.03,0.006,26.48,-15.13465458,-3.783663645,70.61438407270465,-0.5792147000000001,4,0.0,6.100555951143058,1e-07,6.100555951143058,-12.78796405,-4.262654683333333,64.11159307548014,-0.6260469733333333,3,0.0,6.5395536033677,1e-07,6.5395536033677,0.004654999999999999,0.001044,0.10652,0.037422000000000004,0.702182,0.38547,1.3862649999999999,1.164165,1.052807,1.207603,0.558403,0.781678,0.170982,0.358267,0.017647,0.061202,0.000533,0.003104,5e-06,4.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,mp-300755797,mp-755797,mp-752989,Ti8O13,intercalation,R-3,0.5379816600000078,44.828337619466254,181.13064771308842,24.11682348756125,97.44496653356389,0.00998982809523774,0.05960772159091121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.65229432496136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.40141189228391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.90873988643401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.55922454549785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.069903068187231,0.0,0.0,0.16,44.58,0.0,38.676,-191.41466184,-8.700666447272727,245.70609747848573,-3.2448305853219703,22,0.0,4.040539317509191,0.9100285,4.040539317509191,-188.9678246,-8.998467838095237,246.90282098185745,-3.3736861089087307,21,0.15479999999999985,3.974273530106938,0.0,3.974273530106938,0.222038,0.211358,0.20990100000000003,0.197044,0.305613,0.29079499999999997,0.7661180000000001,0.789176,0.915523,0.9328290000000001,0.53488,0.534028,0.389341,0.38943099999999997,0.316985,0.322808,0.118906,0.11423,0.025513,0.022281,0.052244000000000006,0.051032999999999995,0.087489,0.085448,0.042671,0.043963,0.005964,0.008375,0.000245,0.0008380000000000001,0.000164,8.6e-05,0.001275,0.000604,0.002889,0.0023,0.001875,0.002513,0.000349,0.000787,1.9e-05,7.099999999999999e-05,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,mp-300631316,mp-631316,mp-1156,GaSb,intercalation,Fm-3m,0.6391824849999996,261.0131458610785,1162.194673334003,166.83503118915152,742.8544793553908,0.0,0.04810869666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.643032917354052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.643032917354052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.056928042142506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.056928042142506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11385608428501,0.0,0.0,0.0,8.345,0.0,19.147,-12.57957362,-3.144893405,76.58769327458977,-0.4014033625,4,0.109,4.452629206718023,2.92e-05,4.452629206718023,-7.48313637,-3.741568185,60.08520231653681,-0.16256075000000036,2,0.0,5.291901911576134,0.0,5.291901911576134,0.015278,0.000236,0.257536,0.01253,1.2437989999999999,0.190687,1.721054,0.8430290000000001,0.682293,1.205891,0.07749600000000001,0.958189,0.002522,0.613719,2.4e-05,0.162459,0.0,0.012961000000000002,0.0,0.000298,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,mp-300865737,mp-865737,mp-568466,InSn,intercalation,Fm-3m,0.6659445899999997,108.32820965151043,555.46360386291,72.14058516180911,369.9079819344078,0.026035591111110985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.817294848535873,12.817294848535873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.817294848535873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.480952584064765,12.480952584064765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.96190516812953,0.0,0.0,0.97,20.724,0.0,20.031,-11.78988147,-2.9474703675,80.12208950114629,-0.3031700970833331,4,0.0,5.127599223189532,5.83e-05,5.127599223189532,-9.11929775,-3.039765916666666,78.01958305689054,-0.15002310611111072,3,0.0,5.118050453032941,1e-07,5.118050453032941,0.00020099999999999998,0.00010400000000000001,0.011635,0.006855,0.193439,0.129967,0.9277139999999999,0.711966,1.358019,1.20959,0.88246,0.9904379999999999,0.48043800000000003,0.695667,0.134003,0.231015,0.011789,0.02369,0.0003,0.0007019999999999999,2e-06,6e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,mp-300022902,mp-22902,mp-567597,Bi,intercalation,P4/mmm,0.7973245600000002,124.12610491540066,923.5387757208728,98.96879198618568,736.3601479945837,0.045235819999999816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.39325795744461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.751393231089626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.751393231089626,0.0,0.0,0.29,17.61,0.0,16.063,-6.54248123,-3.271240615,48.18953546221685,-0.3681318224999997,2,0.0,7.440327258447533,5.1e-06,7.440327258447533,-7.6748576,-3.8374288,70.43925719963414,0.06081613500000005,2,0.0,9.853031579004735,5e-08,9.853031579004735,0.0,1e-06,4.7e-05,0.000229,0.004258,0.013909999999999999,0.11093900000000001,0.242537,0.828134,1.211629,1.7711270000000001,1.734177,1.085252,0.71113,0.190521,0.083548,0.009583,0.0028120000000000003,0.000138,2.7000000000000002e-05,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
