Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,Co_vol,Cl_vol,H_vol,Zr_vol,U_vol,Pr_vol,Sr_vol,Cs_vol,V_vol,Ta_vol,Ga_vol,Re_vol,Se_vol,Bi_vol,Nb_vol,C_vol,Ge_vol,P_vol,As_vol,Mn_vol,Fe_vol,Y_vol,O_vol,Ca_vol,Rb_vol,Zn_vol,Sc_vol,Pt_vol,La_vol,Sb_vol,Ti_vol,Au_vol,K_vol,Ni_vol,Mg_vol,Al_vol,Mo_vol,Na_vol,Te_vol,In_vol,Sn_vol,Pd_vol,Tl_vol,F_vol,Ba_vol,Cr_vol,S_vol,Cu_vol,B_vol,Li_vol,Si_vol,Nd_vol,W_vol,Co_vol_dis,Cl_vol_dis,H_vol_dis,Zr_vol_dis,U_vol_dis,Pr_vol_dis,Sr_vol_dis,Cs_vol_dis,V_vol_dis,Ta_vol_dis,Ga_vol_dis,Re_vol_dis,Se_vol_dis,Bi_vol_dis,Nb_vol_dis,C_vol_dis,Ge_vol_dis,P_vol_dis,As_vol_dis,Mn_vol_dis,Fe_vol_dis,Y_vol_dis,O_vol_dis,Ca_vol_dis,Rb_vol_dis,Zn_vol_dis,Sc_vol_dis,Pt_vol_dis,La_vol_dis,Sb_vol_dis,Ti_vol_dis,Au_vol_dis,K_vol_dis,Ni_vol_dis,Mg_vol_dis,Al_vol_dis,Mo_vol_dis,Na_vol_dis,Te_vol_dis,In_vol_dis,Sn_vol_dis,Pd_vol_dis,Tl_vol_dis,F_vol_dis,Ba_vol_dis,Cr_vol_dis,S_vol_dis,Cu_vol_dis,B_vol_dis,Li_vol_dis,Si_vol_dis,Nd_vol_dis,W_vol_dis,helvol,geomvol,helvol_dis,geomvol_dis,energy,energy_per_atom,volume,formation_energy_per_atom,nsites,band_gap,density,total_magnetization,elasticity,energy_dis,energy_per_atom_dis,volume_dis,formation_energy_per_atom_dis,nsites_dis,band_gap_dis,density_dis,total_magnetization_dis,elasticity_dis
mp-300774697,mp-774697,mp-37399,NbO6,intercalation,P-1,0.13441497000000258,109.64855714930908,327.06390809219846,14.738407519767945,43.962285394296465,0.03399263000000108,0.0642772166666683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.455457063774618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.732742382647714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.18819944642233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.348940777522322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.09364466513394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.791526220178575,0.0,0.0,0.0,0.022000000000000002,36.215,0.0,24.493000000000002,-84.83432384,-5.6556215893333315,136.0740316561848,-2.2732608215,15,0.0,2.98283844336439,1.0,2.98283844336439,-82.76390471,-5.911707479285715,134.12993884156455,-2.424033274464286,14,3.5111,2.9401418855251533,1e-07,2.9401418855251533
mp-300571584,mp-571584,mp-10184,MgSbPt,intercalation,F-43m,0.29064492000000103,76.99584116142431,636.7908674809397,22.378450094694948,185.0800307357289,0.0,0.0802808917500002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.578125298419746,0.0,15.578125298419746,0.0,0.0,0.0,0.0,15.578125298419746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.308330136706145,0.0,14.308330136706145,0.0,0.0,0.0,0.0,14.308330136706145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.308330136706145,0.0,0.0,0.0,0.409,17.051,0.006,26.209,-16.12683552,-4.03170888,69.88935748935728,-0.6075881975000001,4,0.0,8.270458553315791,0.0012050999999999997,8.270458553315791,-13.92733502,-4.642445006666667,64.19257650350525,-0.7129416466666664,3,0.0,8.824871407459812,0.0,8.824871407459812
mp-300007554,mp-7554,mp-5549,MgSnAu,intercalation,F-43m,0.30287679,77.25494028000294,588.6802568345993,23.39872832364898,178.297586526439,0.0,0.0633648781249998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.412979388321636,0.0,0.0,14.412979388321636,0.0,0.0,0.0,0.0,0.0,14.412979388321636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,13.22731196361343,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.22731196361343,0.0,0.0,0.0,0.002,22.766,0.002,24.807,-12.41867052,-3.10466763,75.601150313145,-0.40583595875,4,0.0,7.619969633999458,6e-07,7.619969633999458,-10.20697208,-3.402324026666667,69.3819073112855,-0.4398726816666662,3,0.0,8.13688597045998,2e-06,8.13688597045998
mp-300778808,mp-778808,mp-761986,La3Nb2O12,intercalation,I2_13,0.3559515825000057,32.05274934159484,166.038989018001,11.4092268516167,59.10184089765852,0.05407641151515108,0.07969325885869427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.472620293624316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.835721761745894,0.0,0.0,0.0,0.0,0.0,11.208930440436475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68155073406079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.461604089369558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.76962453621734,0.0,0.0,0.0,0.0,0.0,11.192406134054336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.38481226810867,0.0,0.0,0.0,8.535,265.432,19.05,262.60200000000003,-664.38699922,-7.221597817608695,1072.1555183284902,-2.9967773335869565,92,0.0,5.180179682690917,0.93849535,5.180179682690917,-655.01775257,-7.443383551931817,1070.5749369903951,-3.1132518027272726,88,3.5219,5.1447636559728736,0.0,5.1447636559728736
mp-300766028,mp-766028,mp-776444,KTi2(PO5)2,intercalation,P1,0.4172295200000001,18.33457170806333,50.16363130640282,7.649724553160846,20.92974781142743,0.018146479895833068,0.04353758610842552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.967691419248276,0.0,0.0,0.0,0.0,44.83845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.967691419248276,0.0,4.483845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.483845709624138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.017187076534231,0.0,0.0,0.0,0.0,45.08593538267115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.017187076534231,0.0,4.508593538267116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.635741922833894,0.0,0.0,0.0,4.245,216.828,1.045,217.69099999999997,-485.40258919,-7.467732141384616,887.1946353224392,-3.0139908829611737,65,0.005599999999999827,2.7360134558403377,1.0006824,2.7360134558403377,-483.07650409,-7.54807037640625,892.0913561798947,-3.0545514834761915,64,3.1523000000000003,2.7080754027928804,1.35e-06,2.7080754027928804
mp-300010179,mp-10179,mp-10183,MgSbPd,intercalation,F-43m,0.4378349500000001,103.31070266619456,630.252676813141,45.23303633631817,275.9466492398478,0.0,0.06638028083333403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,0.0,0.0,15.597803018600327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.161420695398247,0.0,0.0,0.0,0.39799999999999996,17.03,0.006,26.48,-15.13465458,-3.783663645,70.61438407270465,-0.5792147000000001,4,0.0,6.100555951143058,1e-07,6.100555951143058,-12.78796405,-4.262654683333333,64.11159307548014,-0.6260469733333333,3,0.0,6.5395536033677,1e-07,6.5395536033677
mp-300755797,mp-755797,mp-752989,Ti8O13,intercalation,R-3,0.5379816600000078,44.828337619466254,181.13064771308842,24.11682348756125,97.44496653356389,0.00998982809523774,0.05960772159091121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.65229432496136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.40141189228391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.90873988643401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.55922454549785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.069903068187231,0.0,0.0,0.0,0.16,44.58,0.0,38.676,-191.41466184,-8.700666447272727,245.70609747848573,-3.2448305853219703,22,0.0,4.040539317509191,0.9100285,4.040539317509191,-188.9678246,-8.998467838095237,246.90282098185742,-3.3736861089087307,21,0.15479999999999985,3.974273530106938,0.0,3.974273530106938
mp-300631316,mp-631316,mp-1156,GaSb,intercalation,Fm-3m,0.6391824849999996,261.0131458610785,1162.194673334003,166.83503118915152,742.8544793553908,0.0,0.04810869666666662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.643032917354052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.643032917354052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.056928042142506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.056928042142506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.11385608428501,0.0,0.0,0.0,0.0,8.345,0.0,19.147000000000002,-12.57957362,-3.144893405,76.58769327458977,-0.40140336249999997,4,0.109,4.452629206718023,2.9199999999999998e-05,4.452629206718023,-7.48313637,-3.741568185,60.08520231653681,-0.16256075000000036,2,0.0,5.291901911576134,0.0,5.291901911576134
mp-300865737,mp-865737,mp-568466,InSn,intercalation,Fm-3m,0.6659445899999997,108.32820965151043,555.46360386291,72.14058516180911,369.9079819344078,0.026035591111110985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.817294848535873,12.817294848535873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.817294848535873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.480952584064765,12.480952584064765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.96190516812953,0.0,0.0,0.0,0.97,20.724,0.0,20.031,-11.78988147,-2.9474703675,80.12208950114629,-0.3031700970833331,4,0.0,5.127599223189532,5.8299999999999994e-05,5.127599223189532,-9.11929775,-3.039765916666666,78.01958305689054,-0.15002310611111072,3,0.0,5.118050453032941,1e-07,5.118050453032941
mp-300022902,mp-22902,mp-567597,Bi,intercalation,P4/mmm,0.7973245600000002,124.12610491540066,923.5387757208728,98.96879198618568,736.3601479945837,0.045235819999999816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.39325795744461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.751393231089626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.751393231089626,0.0,0.0,0.0,0.29,17.61,0.0,16.063,-6.54248123,-3.271240615,48.18953546221685,-0.36813182249999965,2,0.0,7.440327258447532,5.0999999999999995e-06,7.440327258447532,-7.6748576,-3.8374288,70.43925719963414,0.06081613500000005,2,0.0,9.853031579004735,5e-08,9.853031579004735
