Battid,Co_vol,H_vol,V_vol,Bi_vol,Sb_vol,Nb_vol,C_vol,P_vol,As_vol,Mn_vol,O_vol,La_vol,Na_vol,Fe_vol,W_vol,Ti_vol,K_vol,Ni_vol,Mg_vol,Mo_vol,Te_vol,Sn_vol,F_vol,Ba_vol,Cr_vol,S_vol,Cu_vol,B_vol,Li_vol,Si_vol,Cl_vol,Zr_vol,U_vol,Pr_vol,Cs_vol,Ta_vol,Ga_vol,Re_vol,Y_vol,Ca_vol,Rb_vol,Sc_vol,Pt_vol,Au_vol,Al_vol,In_vol,Pd_vol,Tl_vol,Nd_vol,Sr_vol,Se_vol,Ge_vol,Zn_vol,Co_vol_dis,H_vol_dis,V_vol_dis,Bi_vol_dis,Nb_vol_dis,C_vol_dis,P_vol_dis,As_vol_dis,Mn_vol_dis,Fe_vol_dis,O_vol_dis,La_vol_dis,Sb_vol_dis,Ti_vol_dis,K_vol_dis,Ni_vol_dis,Mg_vol_dis,Mo_vol_dis,Na_vol_dis,Te_vol_dis,Sn_vol_dis,F_vol_dis,Ba_vol_dis,Cr_vol_dis,S_vol_dis,Cu_vol_dis,B_vol_dis,Li_vol_dis,Si_vol_dis,W_vol_dis,Ge_vol_dis,Sr_vol_dis,Nd_vol_dis,Tl_vol_dis,Pd_vol_dis,In_vol_dis,Al_vol_dis,Au_vol_dis,Pt_vol_dis,Sc_vol_dis,Zn_vol_dis,Rb_vol_dis,Ca_vol_dis,Y_vol_dis,Re_vol_dis,Ga_vol_dis,Ta_vol_dis,Cs_vol_dis,Pr_vol_dis,U_vol_dis,Zr_vol_dis,Cl_vol_dis,Se_vol_dis,Average_Voltage
mp-300763301,11.36298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.451921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.36298,11.36298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.746369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.985476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.492738,11.746369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.674933
mp-300773195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.594696,0.0,0.0,54.378786,0.0,0.0,0.0,0.0,0.0,0.0,6.797348,0.0,0.0,0.0,6.797348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.972928,0.0,0.0,0.0,47.891711,0.0,0.0,0.0,0.0,5.986464,0.0,0.0,0.0,0.0,5.986464,0.0,0.0,0.0,0.0,0.0,0.0,11.972928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.533249
mp-300767490,0.0,0.0,0.0,0.0,0.0,1.853909,0.0,0.0,0.0,0.0,55.617268,0.0,0.0,0.0,0.0,22.246907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.977362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851949,0.0,0.0,0.0,0.0,0.0,55.558467,0.0,0.0,22.223387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.66754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.006133
mp-300032476,0.0,0.0,7.950041,0.0,0.0,0.0,0.0,15.900081,0.0,0.0,55.650285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.91337,0.0,0.0,0.0,15.82674,0.0,0.0,0.0,55.393591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.91337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.604045
mp-300777360,0.0,0.0,26.070414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.485898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.422853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.916182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.140951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56498
mp-300775189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.770708,0.0,6.885354,55.082832,0.0,0.0,6.885354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03236,0.0,6.51618,6.51618,52.129441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.03236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.618384
mp-300026409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.611497,0.0,0.0,52.834491,0.0,0.0,0.0,0.0,4.402874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.816905,0.0,0.0,0.0,53.450715,0.0,0.0,4.454226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.454226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.221038
mp-300025660,11.328802,0.0,0.0,0.0,0.0,0.0,0.0,16.993203,0.0,0.0,56.644009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.153773,0.0,0.0,0.0,0.0,0.0,16.730659,0.0,0.0,0.0,55.768863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.576886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.533092
mp-300763044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.198131,0.0,0.0,0.0,0.0,0.0,0.0,12.549533,0.0,0.0,0.0,12.549533,0.0,0.0,0.0,0.0,0.0,0.0,12.549533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.530904,0.0,0.0,0.0,0.0,12.382726,0.0,0.0,0.0,0.0,12.382726,0.0,0.0,0.0,0.0,0.0,0.0,24.765452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.366456
mp-300774516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.020457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.438779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.316336,0.0,0.0,18.340152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.452792,0.0,0.0,0.0,0.0,0.0,3.340799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.022398,0.0,8.908799,17.817597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.601953
mp-300770287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.531742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.421957,0.0,0.0,0.0,0.0,0.0,16.843914,16.843914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.599944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.766657,0.0,0.0,0.0,0.0,0.0,15.533315,23.299972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.928911
mp-300849220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.375898,0.0,0.0,6.921987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.843974,0.0,0.0,6.921987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.605193,52.841542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.210385,0.0,0.0,13.210385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821613
mp-300775195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.679105,0.0,12.539179,54.716418,0.0,0.0,1.139925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.834777,0.0,11.765212,1.069565,51.339107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.834777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.792068
mp-300779996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.269085,0.0,0.0,23.269085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.903627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.93376,21.93376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.90064,0.0,0.0,0.0,0.0,0.0,10.96688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.676758
mp-300690866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.947517,0.0,11.947517,47.790069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.973759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.986483,0.0,11.986483,0.0,47.945933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.986483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.915525
mp-300026267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.149238,0.0,0.0,54.447715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53731,0.0,4.53731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.745011,0.0,0.0,0.0,53.235033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.436253,0.0,8.872506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.405548
