Battid,Discharged_ID,Charged_ID,Reduced_Cell_Formula,Type,Spacegroup,Average_Voltage,Capacity_Grav,Capacity_Vol,Specific_E_Wh/kg,E Density Wh/l,Stability Charge,Stability Discharge,P_vol,Sn_vol,As_vol,N_vol,V_vol,Mo_vol,Mn_vol,Ni_vol,Bi_vol,Te_vol,Fe_vol,Ti_vol,Nb_vol,S_vol,Ge_vol,F_vol,Ta_vol,Sb_vol,Cr_vol,Si_vol,Co_vol,Mg_vol,W_vol,Sr_vol,Se_vol,Pr_vol,Ba_vol,O_vol,Cu_vol,P_vol_dis,Sn_vol_dis,As_vol_dis,N_vol_dis,V_vol_dis,Mo_vol_dis,Mn_vol_dis,Ni_vol_dis,Bi_vol_dis,Te_vol_dis,Fe_vol_dis,Ti_vol_dis,Nb_vol_dis,S_vol_dis,Ge_vol_dis,F_vol_dis,Ta_vol_dis,Sb_vol_dis,Cr_vol_dis,Si_vol_dis,Co_vol_dis,Mg_vol_dis,W_vol_dis,Sr_vol_dis,Se_vol_dis,Pr_vol_dis,Ba_vol_dis,O_vol_dis,Cu_vol_dis
mvc-1200540570,mvc-12771,mp-540570,Mg0.5 –1VO3,intercalation,Ccmm,2.58,217,612,561,1580,0.02,0.0,0.0,0.0,0.0,0.0,13.759406438035281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.759406438035281,0.0,0.0,0.0,0.0,0.0,41.27821931410584,0.0,0.0,0.0,0.0,0.0,14.178749478303454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089374739151727,0.0,0.0,0.0,0.0,0.0,42.53624843491036,0.0
mvc-1200001234,mp-1048259,mp-32334,Mg0 –1NiP2O7,intercalation,P21/c,4.44,209,732,926,3250,0.16,0.0,15.45792846399278,0.0,0.0,0.0,0.0,0.0,0.0,7.72896423199639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.102749623974724,0.0,16.254766062542434,0.0,0.0,0.0,0.0,0.0,0.0,8.127383031271217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.127383031271217,0.0,0.0,0.0,0.0,0.0,56.891681218898526,0.0
mvc-1200000091,mvc-91,mvc-14769,Mg0 –0.5CrS2,intercalation,Fd3m,1.65,209,670,345,1107,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.62991991128058,0.0,0.0,0.0,0.0,18.31495995564029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.12856903003452,0.0,0.0,0.0,0.0,15.06428451501726,0.0,0.0,7.53214225750863,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mvc-1200011622,mp-18900,mp-776137,Mg0 –0.5VO2,intercalation,Fd3m,2.36,282,1129,665,2664,0.1,0.0,0.0,0.0,0.0,0.0,27.564756300856438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.129512601712875,0.0,0.0,0.0,0.0,0.0,25.37055483065056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.68527741532528,0.0,0.0,0.0,0.0,0.0,50.74110966130112,0.0
mvc-1200010960,mp-566152,mvc-11632,Mg0 –1VBiO5,intercalation,P21/c,4.2,147,762,618,3203,0.29,0.0,0.0,0.0,0.0,0.0,8.166585823578448,0.0,0.0,0.0,8.166585823578448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.832929117892235,0.0,0.0,0.0,0.0,0.0,8.5659207290505,0.0,0.0,0.0,8.5659207290505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5659207290505,0.0,0.0,0.0,0.0,0.0,42.829603645252504,0.0
mvc-1200002206,mp-1045790,mvc-2213,MgFe(PO3)4,intercalation,C2/c,4.03,135,400,546,1614,0.06,0.0,17.398704859723143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.349676214930786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.196114579169425,0.0,17.788277413418072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447069353354518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.447069353354518,0.0,0.0,0.0,0.0,0.0,53.36483224025421,0.0
mvc-1200554955,mp-554955,mvc-11142,Mg0 –1CrF6,intercalation,R3,5.2,282,837,1466,4353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.006831343728145,0.0,0.0,8.66780522395469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.35498389548447,0.0,0.0,9.39249731591408,0.0,0.0,9.39249731591408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mvc-1200002204,mp-1045786,mp-32343,MgNi(PO3)4,intercalation,C2/c,4.98,134,411,670,2050,0.1,0.0,17.864892793838166,0.0,0.0,0.0,0.0,0.0,0.0,4.4662231984595415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.59467838151449,0.0,18.288377190501105,0.0,0.0,0.0,0.0,0.0,0.0,4.572094297625276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.572094297625276,0.0,0.0,0.0,0.0,0.0,54.86513157150332,0.0
mvc-1200016516,mp-555257,mvc-11923,Mg1.5 –2BiPO6,intercalation,Ccmm,4.39,70,349,306,1533,0.16,0.0,7.757479205368438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.757479205368438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.636218808052657,0.0,0.0,0.0,0.0,0.0,46.54487523221063,0.0,7.837286673439458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.837286673439458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.674573346878915,0.0,0.0,0.0,0.0,0.0,47.023720040636746,0.0
mvc-1200001236,mp-1048269,mp-690058,Mg0 –1FeP2O7,intercalation,P21/c,3.68,211,701,777,2580,0.11,0.0,15.692510162434257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.846255081217128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.9237855685199,0.0,15.65115228761782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.82557614380891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.82557614380891,0.0,0.0,0.0,0.0,0.0,54.779033006662374,0.0
