,R,elneg,vdw,polar
0,2.0,0.249203,0.166663,0.350825
1,2.25,0.201732,0.090519,0.249132
2,2.5,0.056927,0.301131,0.097811
3,2.75,1.074407,0.526323,0.66069
4,3.0,0.703324,0.70671,0.556095
5,3.25,0.281882,0.416061,0.412048
6,3.5,0.310595,1.148205,0.617479
7,3.75,0.40276,0.406976,0.447392
8,4.0,0.2586,0.117375,0.196109
9,4.25,0.176511,0.025499,0.11734
10,4.5,0.070773,0.040116,0.093903
11,4.75,0.058437,0.016255,0.057605
12,5.0,0.059914,0.001428,0.030656
13,5.25,0.008396,0.003119,0.009744
14,5.5,0.08469,0.032902,0.100966
15,5.75,0.00185,0.000719,0.002206
16,6.0,0.0,0.0,0.0
17,6.25,0.0,0.0,0.0
18,6.5,0.0,0.0,0.0
19,6.75,0.0,0.0,0.0
20,7.0,0.0,0.0,0.0
21,7.25,0.0,0.0,0.0
22,7.5,0.0,0.0,0.0
23,7.75,0.0,0.0,0.0
24,8.0,0.0,0.0,0.0
25,8.25,0.0,0.0,0.0
26,8.5,0.0,0.0,0.0
27,8.75,0.0,0.0,0.0
28,9.0,0.0,0.0,0.0
29,9.25,0.0,0.0,0.0
30,9.5,0.0,0.0,0.0
31,9.75,0.0,0.0,0.0
32,10.0,0.0,0.0,0.0
33,10.25,0.0,0.0,0.0
34,10.5,0.0,0.0,0.0
35,10.75,0.0,0.0,0.0
36,11.0,0.0,0.0,0.0
37,11.25,0.0,0.0,0.0
38,11.5,0.0,0.0,0.0
39,11.75,0.0,0.0,0.0
40,12.0,0.0,0.0,0.0
41,12.25,0.0,0.0,0.0
42,12.5,0.0,0.0,0.0
43,12.75,0.0,0.0,0.0
44,13.0,0.0,0.0,0.0
45,13.25,0.0,0.0,0.0
46,13.5,0.0,0.0,0.0
47,13.75,0.0,0.0,0.0
48,14.0,0.0,0.0,0.0
49,14.25,0.0,0.0,0.0
50,14.5,0.0,0.0,0.0
51,14.75,0.0,0.0,0.0
52,15.0,0.0,0.0,0.0
