materialid,radius,elneg,vdw,polar
mvc-78,2.0,0.017981,0.014478,0.018936
mvc-78,2.25,1.017298,0.847959,1.081953
mvc-78,2.5,0.297689,0.374463,0.363125
mvc-78,2.75,0.088162,0.020464,0.061945
mvc-78,3.0,0.642611,0.132883,0.443712
mvc-78,3.25,0.043525,0.044605,0.041197
mvc-78,3.5,0.470169,0.444146,0.433228
mvc-78,3.75,0.030435,0.027974,0.030276
mvc-78,4.0,0.253542,0.798786,0.387822
mvc-78,4.25,0.270008,0.548042,0.350125
mvc-78,4.5,0.236804,0.11349,0.199832
mvc-78,4.75,0.035226,0.007361,0.02437
mvc-78,5.0,1.7e-05,4e-06,1.2e-05
mvc-78,5.25,8e-06,2e-06,5e-06
mvc-78,5.5,0.036878,0.007626,0.025464
mvc-78,5.75,0.333971,0.07648,0.232923
mvc-78,6.0,0.068621,0.198111,0.104925
mvc-78,6.25,0.024831,0.13631,0.048319
mvc-78,6.5,0.030083,0.124177,0.051895
mvc-78,6.75,0.047303,0.070827,0.061844
mvc-78,7.0,0.000367,0.000549,0.00048
mvc-78,7.25,0.0,0.0,0.0
mvc-78,7.5,7.7e-05,1.6e-05,5.3e-05
mvc-78,7.75,0.030662,0.00634,0.021171
mvc-78,8.0,0.023697,0.0049,0.016362
mvc-78,8.25,3.5e-05,7e-06,2.4e-05
mvc-78,8.5,0.0,0.0,0.0
mvc-78,8.75,0.0,0.0,0.0
mvc-78,9.0,0.0,0.0,0.0
mvc-78,9.25,0.0,0.0,0.0
mvc-78,9.5,0.0,0.0,0.0
mvc-78,9.75,0.0,0.0,0.0
mvc-78,10.0,0.0,0.0,0.0
mvc-78,10.25,0.0,0.0,0.0
mvc-78,10.5,0.0,0.0,0.0
mvc-78,10.75,0.0,0.0,0.0
mvc-78,11.0,0.0,0.0,0.0
mvc-78,11.25,0.0,0.0,0.0
mvc-78,11.5,0.0,0.0,0.0
mvc-78,11.75,0.0,0.0,0.0
mvc-78,12.0,0.0,0.0,0.0
mvc-78,12.25,0.0,0.0,0.0
mvc-78,12.5,0.0,0.0,0.0
mvc-78,12.75,0.0,0.0,0.0
mvc-78,13.0,0.0,0.0,0.0
mvc-78,13.25,0.0,0.0,0.0
mvc-78,13.5,0.0,0.0,0.0
mvc-78,13.75,0.0,0.0,0.0
mvc-78,14.0,0.0,0.0,0.0
mvc-78,14.25,0.0,0.0,0.0
mvc-78,14.5,0.0,0.0,0.0
mvc-78,14.75,0.0,0.0,0.0
mvc-78,15.0,0.0,0.0,0.0
