Battid,helvol,geomvol
mp-1045917,1.027,137.817
mp-1047375,0.000,27.526
mp-1043432,2.062,137.462
mvc-15456,0.000,32.336
mvc-11190,0.005,73.253
mp-1041993,0.032,62.710
mp-566152,0.213,88.057
mp-1048269,6.375,110.038
mp-1042861,5.463,183.779
mp-1041401,0.000,161.821
mp-1043372,0.000,148.537
mp-715584,0.001,41.260
mp-1044814,2.596,162.272
mvc-11755,0.018,81.784
mvc-12627,0.006,41.010
mp-1045783,0.002,92.212
mp-675435,40.197,260.290
mvc-8438,0.000,58.497
mvc-15363,4.953,44.442
mvc-13490,0.006,90.021
mp-1118394,0.000,24.682
mp-1044887,2.717,157.636
mp-1041708,0.000,129.463
mp-1043195,0.757,66.277
mvc-12610,0.000,29.013
mp-1040938,0.000,107.252
mp-1044853,0.000,110.033
mvc-13808,0.000,0.000
mp-1047807,0.000,224.159
mp-1045694,0.000,10.551
mp-540570,0.001,36.341
mp-19574,4.384,121.293
mvc-11309,0.739,148.605
mp-1046949,0.004,81.337
mvc-5643,0.000,44.230
mp-1040921,0.051,119.328
mvc-7342,0.000,243.818
mp-1047467,8.342,110.791
mvc-3950,0.000,22.550
mvc-11632,8.297,163.267
mp-1041196,0.386,123.445
mp-1046254,0.000,21.945
mp-1043556,0.782,79.624
mp-1046897,0.292,65.916
mvc-12425,0.000,42.109
mp-1042571,0.048,48.444
mp-1041727,0.539,82.267
mp-1044743,0.000,30.639
mvc-14378,0.000,13.158
mp-1043299,0.004,44.415
mvc-2078,0.000,22.896
mp-1044267,3.314,135.597
mvc-3898,7.278,145.138
mp-1047145,0.085,25.520
mvc-11923,0.023,58.725
mp-1041374,0.000,56.520
mp-1042710,0.000,11.577
mp-1042940,12.989,198.589
mvc-12027,0.000,47.840
mvc-11637,0.142,115.330
mp-1046669,0.039,26.915
mp-1045786,0.000,83.321
mvc-10450,0.000,103.248
mp-1042864,2.280,67.101
mp-1046421,0.001,75.627
mp-694636,0.113,53.675
mvc-14220,4.573,82.517
mp-1048266,2.895,110.631
mvc-13960,0.831,55.553
mvc-4871,0.000,29.048
mp-1043300,1.433,87.825
mp-1047380,0.000,23.135
mp-1045938,0.000,17.814
mvc-13696,0.000,31.538
mp-1046557,0.902,111.671
mp-1190609,0.000,39.641
mp-1047927,0.231,120.033
mp-25545,0.000,33.659
mvc-5115,0.000,34.562
mp-540363,0.008,43.573
mp-1044869,2.839,185.449
mp-25139,0.001,72.589
mp-1046590,0.000,10.892
mp-1043624,0.006,48.290
mp-1043215,0.000,124.865
mvc-12664,3.448,45.886
mp-1045790,0.000,92.802
mp-1043494,0.737,103.517
mp-1044122,0.892,76.948
mp-1046527,0.893,115.593
mvc-3716,0.011,42.733
mp-1043363,0.000,44.440
mvc-14697,3.464,82.902
mp-1042247,0.000,307.590
mp-1043245,0.773,57.233
mp-1116755,0.558,59.351
mp-1043243,0.000,43.805
mvc-5074,0.140,170.377
mp-1041375,0.000,50.153
mvc-2263,0.000,47.358
mp-1040954,0.000,127.982
mp-1046588,0.583,150.492
mp-25519,0.002,19.072
mp-1045643,0.004,34.929
mp-1047057,0.429,177.222
mvc-4503,9.919,153.677
mp-1048245,0.000,90.438
mvc-13744,0.000,24.601
mvc-3752,0.000,42.375
mp-1044166,0.157,92.998
mp-1046203,0.000,59.165
mp-25523,0.000,67.582
mvc-13651,0.000,6.892
mvc-12083,0.000,27.637
mvc-11986,0.000,36.492
mp-1044382,3.350,136.219
mp-1047047,1.053,140.678
mp-1043493,0.000,23.228
mp-1047477,0.002,158.981
mp-1045307,0.000,37.087
mvc-12615,0.004,81.426
mvc-11234,6.620,23.726
mp-117,1.656,13.762
mp-1047381,2.970,26.870
mp-1046916,0.000,35.305
mp-1043444,0.000,83.681
mp-1040930,0.377,195.546
mp-1042608,0.000,28.376
mp-1042617,0.075,216.082
mp-1045724,0.000,11.902
mp-31998,0.052,108.961
mp-1044867,0.574,168.235
mvc-5860,0.012,156.815
mp-1046283,0.002,44.033
mp-1043316,0.870,48.988
mp-1046644,0.008,72.456
mp-540273,0.209,68.730
mp-714883,0.000,24.961
mp-1043013,0.068,91.044
mvc-3748,0.159,113.095
mvc-11600,8.500,22.448
mp-766786,0.018,69.688
mvc-15230,6.718,56.625
mp-1044247,0.050,168.534
mp-1046704,10.792,56.975
mvc-11423,1.781,36.184
mp-1043525,0.000,144.627
mvc-13134,0.000,22.497
mp-19139,0.000,65.917
mp-1041093,0.043,159.020
mp-504100,0.000,23.842
mvc-8434,0.001,84.564
mp-540262,0.192,59.836
mp-676910,0.000,111.312
mp-1043361,0.000,17.535
mvc-14769,0.000,48.048
mvc-15486,0.000,56.036
mp-1046983,0.000,73.813
mvc-8271,0.000,86.303
mp-1043783,0.000,93.844
mp-1041071,0.003,124.776
mvc-13181,0.005,156.848
mp-1041443,0.111,140.292
mp-1045734,0.000,12.673
mp-1043159,0.006,62.071
mp-1043320,0.000,29.465
mp-1117059,0.012,45.898
mvc-14215,1.327,71.498
mp-1048407,0.974,151.385
mvc-12580,0.000,18.929
mvc-12287,6.770,141.390
mp-1045679,0.009,79.686
mp-1043189,0.000,20.189
mp-1042355,0.000,240.605
mvc-5032,0.004,155.104
mp-33325,0.154,183.351
mvc-11241,8.426,27.653
mvc-13203,0.000,71.354
mp-1047312,0.000,0.000
mvc-5236,0.000,98.729
mp-1042943,0.000,15.556
mp-1048259,4.491,88.863
mp-1043379,0.000,42.362
mp-1046697,0.509,39.210
mp-1118049,0.002,27.449
mp-677217,0.006,62.183
mvc-4648,1.578,218.307
mvc-12111,0.000,13.668
mp-1040928,0.000,114.516
mvc-5145,2.057,54.080
mvc-6176,0.566,215.472
mp-1043728,0.296,243.867
mp-1043241,0.003,70.743
mp-1042857,0.000,25.672
mp-1046640,0.162,93.832
mvc-14048,8.432,94.016
mvc-3347,8.539,45.882
mp-557993,0.000,27.434
mvc-11375,1.515,121.637
mp-540321,0.200,65.281
mp-1048900,0.000,27.220
mp-1047762,0.000,23.450
mp-1042809,0.511,138.065
mp-1047570,0.000,44.330
mvc-2213,1.429,126.159
mp-1046958,0.000,119.536
mvc-5928,0.608,196.613
mp-565256,0.000,69.356
mp-558836,6.338,70.989
mvc-11598,9.967,29.417
mvc-13125,0.000,27.638
mvc-14313,0.000,45.041
mvc-5220,5.159,215.239
mp-1043526,0.000,146.642
mvc-5171,0.000,112.464
mp-1041777,0.777,379.782
mp-1043685,4.282,102.584
mp-690058,4.441,109.242
mp-1044873,3.539,291.518
mvc-5111,0.000,30.450
mvc-5119,0.000,39.416
mp-1044164,3.740,99.749
mp-1040952,0.003,127.273
mp-1042045,0.000,130.824
mvc-13015,0.015,31.674
mvc-16013,0.000,30.284
mp-1045828,0.000,90.492
mp-1040910,0.000,109.286
mp-1043529,2.970,110.567
mvc-6713,12.872,171.001
mp-1043121,0.000,25.808
mp-1046025,5.921,55.675
mp-1046820,0.000,23.866
mp-770908,0.000,25.988
mp-1041840,0.000,74.073
mvc-5116,0.000,38.065
mvc-5774,3.740,40.133
mp-540010,4.378,79.296
mvc-5444,0.001,85.376
mvc-14553,0.000,21.914
mvc-5586,0.000,42.717
mp-1048924,1.174,144.304
mp-694554,0.175,134.813
mp-1042810,0.001,64.224
mvc-7826,0.000,106.158
mp-1040943,0.000,99.854
mp-1040887,0.000,98.117
mvc-4902,0.265,37.695
mp-1047643,1.477,37.689
mvc-12174,0.000,120.647
mvc-11162,0.000,4.519
mp-1041391,0.180,156.086
mp-1046793,0.000,38.287
mp-1042928,0.954,151.353
mp-1047303,0.000,21.105
mp-1042672,71.453,358.323
mp-19581,3.993,117.903
mvc-5466,0.000,115.594
mvc-12366,0.000,33.311
mp-1043704,0.000,120.908
mvc-12125,0.000,28.796
mp-1042624,0.000,136.132
mp-1042619,0.000,29.751
mvc-5310,0.026,154.021
mp-1045788,0.001,98.956
mvc-9896,0.000,86.160
mp-765763,0.074,124.432
mp-1041845,0.000,78.594
mp-540486,0.029,124.165
mp-1043103,0.000,89.843
mp-1041473,0.004,125.855
mp-687212,0.000,90.702
mp-1041677,0.001,39.724
mp-1043180,0.000,24.387
mvc-11656,0.000,27.839
mp-1048275,6.179,102.099
mp-1041001,0.000,117.645
mvc-14224,4.465,81.751
mvc-5754,0.000,40.124
mp-1042691,0.009,39.303
mp-1043381,0.000,38.634
mp-1042609,10.077,283.292
mvc-3453,0.003,119.046
mp-1048838,0.000,102.829
mvc-12231,2.873,40.758
mp-1044937,0.000,98.470
mp-1044751,0.150,47.680
mp-2646,7.268,44.491
mvc-5456,0.001,127.293
mp-1047430,0.054,82.277
mp-1043213,0.000,26.024
mvc-3948,0.000,31.399
mvc-5316,0.026,121.476
mp-1041583,0.000,4.000
mp-570543,0.000,145.457
mp-1042542,0.000,224.656
mp-1042026,0.000,42.509
mvc-13694,0.000,29.852
mvc-12639,0.000,24.147
mp-1046266,0.033,38.361
mp-1045866,0.000,45.304
mp-1047060,1.541,59.212
mp-1041066,0.000,91.716
mp-1044639,0.000,77.046
mp-676282,0.000,88.136
mp-19067,7.500,139.969
mvc-13559,0.056,67.133
mvc-5322,0.397,64.664
mvc-14931,0.000,47.519
mp-1043716,0.336,109.934
mp-2343,1.898,21.034
mp-1042977,0.055,71.199
mvc-11658,0.000,27.986
mp-779941,0.000,69.830
mp-1047865,0.000,73.879
mp-1040967,0.001,107.724
mp-1041395,22.390,208.391
mvc-12953,0.017,64.777
mp-1041528,0.000,124.942
mvc-4715,0.009,172.595
mp-1046893,0.799,78.269
mp-1043253,0.000,19.226
mp-1043548,0.000,143.719
mvc-11754,0.452,138.593
mp-1043530,0.000,54.880
mp-1041642,3.790,86.878
mvc-12952,0.117,64.757
mvc-10961,0.000,93.943
mp-1045833,0.000,52.378
mp-1043495,0.055,158.884
mp-1041465,0.000,134.673
mvc-5801,0.010,17.127
mp-1041213,0.015,155.157
mp-1041873,0.000,124.683
mp-1042648,0.000,31.004
mp-1041008,0.000,99.472
mp-715923,0.065,25.605
mp-1041687,0.000,35.731
mp-1046883,0.540,97.795
mp-697788,0.016,111.461
mp-1044452,1.710,273.590
mvc-12603,0.000,40.159
mvc-12005,0.000,42.333
mp-1043703,3.134,144.037
mp-540258,0.138,114.335
mvc-14589,0.000,29.296
mp-566620,0.000,107.499
mp-1047621,1.817,43.667
mp-1046509,0.630,119.087
mp-1043619,0.002,143.852
mp-1047859,0.000,83.295
mvc-3935,12.258,198.434
mp-1045889,0.000,35.004
mp-765928,0.030,142.836
mp-1048590,1.245,138.262
mp-1045898,0.026,40.646
mp-1043062,0.000,29.047
mp-1042757,0.432,135.930
mp-25262,0.000,38.455
mp-1044910,2.521,153.398
mp-32334,4.568,105.677
mp-1047641,0.000,7.728
mp-763405,0.000,29.086
mp-1044455,0.106,189.817
mp-756655,0.000,48.327
mvc-15669,0.000,30.568
mp-1041887,0.000,80.232
mp-1042772,0.487,133.827
mp-1042773,0.545,143.661
mp-1042978,0.159,110.884
mp-540180,0.007,123.112
mp-1047808,0.000,70.252
mvc-12394,0.000,22.084
mp-18900,0.000,26.277
mp-1041014,0.000,99.187
mp-1043448,2.257,101.139
mp-1043700,0.161,231.296
mvc-5864,0.000,109.339
mvc-11093,0.000,29.157
mvc-4650,0.228,135.208
mp-1043471,1.033,94.886
mvc-12117,0.000,0.000
mp-1042667,0.003,40.999
mvc-5295,0.002,129.621
mvc-12204,0.000,119.772
